Loan Applicant,Project Description,L17#,"Estimated
Construction Start Date",Project Loan Amount,Facility No.
Amboy,Replace approximately 350 lead service lines.,6559,2023-10-19 0:00:00,"$4,000,000",IL1030050
"Aqua Illinois, Inc.",Replace lead service lines in Peotone Township.,TBD,2024-03-01 0:00:00,"$395,000",IL1970750
"Aqua Illinois, Inc.",Replace lead service lines in the City of Danville.,TBD,2024-03-01 0:00:00,"$2,210,000",IL1835120
"Aqua Illinois, Inc.",Replace lead service lines in the City of University Park.,TBD,2024-03-01 0:00:00,"$360,000",IL1975030
"Aqua Illinois, Inc.",Replace lead service lines in North Maine Township.,TBD,2024-03-01 0:00:00,"$1,330,000",IL0315350
"Aqua Illinois, Inc.",Replace lead service lines in the City of Kankakee.,TBD,2024-03-01 0:00:00,"$2,920,000",IL0915030
DeKalb,Replace 200 lead service lines.,6266,2023-08-01 0:00:00,"$4,000,000",IL0370100
Delavan,Replace approximately 50 lead service lines.,6546,2024-03-01 0:00:00,"$1,325,000",IL1790150
East Moline,Replace approximately 2000 lead service lines over 4 phases.,TBD,2024-08-01 0:00:00,"$10,000,000",IL1610250
Eureka,Replace 125-160 lead service lines.,TBD,2024-11-01 0:00:00,"$1,600,000",IL2030200
Genoa,"Replace 176 lead service lines, 37 galvanized and 14 lines of unknown material.",6374,2023-10-01 0:00:00,"$4,000,000",
Grand Ridge,Replace lead service lines.,TBD,2024-06-01 0:00:00,"$650,000",IL0990200
Hennepin Public Water District No. 1,Replace 333 lead service lines.,6591,2024-06-01 0:00:00,"$1,389,000",IL1555100
LaGrange,Phase 1 - Replace approximately 246 lead service lines.,6547,2025-03-01 0:00:00,"$4,006,000",IL0311530
LaGrange,Phase 2 - Replace approximately 246 lead service lines.,6548,2026-03-01 0:00:00,"$3,986,000",IL0311530
LaGrange,Phase 3 - Replace approximately 246 lead service lines.,6549,2027-03-01 0:00:00,"$3,986,000",IL0311530
LaGrange,Phase 4 - Replace approximately 246 lead service lines.,6550,2028-03-01 0:00:00,"$3,986,000",IL0311530
LaGrange,Phase 5 - Replace approximately 246 lead service lines.,6551,2029-03-01 0:00:00,"$3,986,000",IL0311530
Lanark,Investigate and replace lead service lines.,6561,2023-11-01 0:00:00,"$4,000,000",IL0150100
Lemont,"Replace 2,135 water services with unknown material.",TBD,2025-03-01 0:00:00,"$30,436,560",IL0311620
Lockport,Replace lead service lines.,6116,2024-03-06 0:00:00,"$1,850,000",IL1970500
Markham,Replace 180 lead service lines.,6347,2023-10-01 0:00:00,"$1,051,380",IL0311770
Morris,Replace lead service lines.,TBD,2024-03-01 0:00:00,"$13,250,000",IL0630300
Mount Olive,Replace 350 lead service lines and 83 galvanized water service lines.,6241,2024-09-15 0:00:00,"$6,000,000",IL1170700
Niles,Replace lead service lines.,6401,2023-09-01 0:00:00,"$4,000,000",IL0312010
Oak Lawn,"Replace 2,219 lead service lines over 5 phases.",3938,2024-06-01 0:00:00,"$26,504,389",IL0312220
Port Byron,Replace 125-160 lead service lines.,TBD,2024-08-26 0:00:00,"$1,600,000",IL0501722
Savanna,Replace lead service lines.,TBD,2024-08-26 0:00:00,"$2,500,000",IL0150250
West Dundee,Phase 1 - Replace 258 lead service lines.,6562,2024-07-01 0:00:00,"$3,875,000",IL0890950
West Dundee,Phase 2 - Replace 174 lead service lines.,6563,2025-07-01 0:00:00,"$2,609,000",IL0890950
West Dundee,Phase 3 - Replace 103 lead service lines.,6564,2026-07-01 0:00:00,"$1,556,000",IL0890950
West Dundee,Phase 4 - Replace 52 lead service lines.,6565,2027-07-01 0:00:00,"$792,000",IL0890950
West Dundee,Phase 5 - Replace 49 lead service lines.,6566,2028-07-01 0:00:00,"$768,000",IL0890950
Western Springs,Replace approximately 583 lead service lines over multiple years.,3761,2024-03-01 0:00:00,"$13,391,078",IL0313180
Wyanet,Replace 190 lead service lines.,6572,2024-05-01 0:00:00,"$2,314,053",IL0111150
