Rank,Project Sponsor,Project Number,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points
1,Newark City,"0714001-
012",Construction of a cover for the Cedar Grove Reservoir,285000,50000000,12730000,62730000,500,50,20,0,0,0,80,2.85,652.85
2,Passaic Valley Water Commission,"1605002-
024",Installation of a 2.0 MG storage tank next to existing Verona storage tank,347052,2970000,1566800,4536800,500,0,20,0,0,0,80,3.47,603.47
3,Passaic Valley Water Commission,"1605002-
014",Levine Reservoir Water Storage Improvements - Phase 1,314900,17142000,5186920,22328920,500,0,20,0,0,0,80,3.15,603.15
4,Newark City,"0714001-
020",Phase-2 Lead Service Line Replacement (LSLR) Project,280139,12989172,418386,15693186,250,50,20,0,5,0,80,2.9,407.9
5,Trenton City,"1111001-
011",Lead Service line replacement,391000,13000000,2900000,15900000,250,50,15,0,5,0,80,3.91,403.91
6,Newark City,"0714001-
019",Phase-1 Lead Service Line Replacement (LSLR) Project,280139,6000000,1528353,7528353,250,50,15,0,5,0,80,2.8,402.8
8,Hopatcong Borough,"1912001-
009",Installation of 48-inch pipe at wells to increase chlorine contact time at nine wells,7900,750000,525000,1275000,350,0,15,0,0,0,0,0.08,365.08
9,Newark City,"0714001-
021",Phase 3-10 Lead Service Line Replacement (LSLR) Project,280000,120000000,100000,144929550,250,0,20,0,5,0,80,2.94,357.94
10,Passaic Valley Water Commission,"1605002-
002",Lead Service Line Replacement in Main System,306707,21918500,66200,26302200,250,0,15,0,5,0,80,3.1,353.1
10,Passaic Valley Water Commission,"1605002-
026",PVWC Lead Service Line Replacement,147000,1400000,578000,1978000,250,0,20,0,0,0,80,3.1,353.1
11,New Brunswick City,"1214001-
005",Water Treatment Plant Improvements,50000,10435000,3443100,13878100,250,0,15,5,0,0,80,0.55,350.55
12,Orange City,"0717001-
011",Orange Twp PFOA in Well 8 Drinking Water System,30731,1200000,-,1550000,250,0,0,5,5,0,80,0.3,340.3
12,Orange City,"0717001-
013",Orange Twp | Well 5 Rehabilitation Project,30731,500000,173000,700000,250,0,0,5,5,0,80,0.3,340.3
