Rank,Project #,PWSID,Public Water System,Town of PWS,Project Name,Points,Amount Requested,Project Serves a Disadvantaged Community,Small System,Population Served by Project,Lead Service Line,Lead Service Line Estimated Amount,Emerg. Contam,Emerg. Contam. Estimated Amount
1,SFY 23-15,CT0320312,Town of Coventry (George Hersey  Robertson School),Coventry,CTWC - South Coventry to Nathan Hale System  Interconnection,110,"$5,000,000",No,Yes,176,No,$,Yes,"$     5,000,000"
2,SFY 23-13,CT0720041,SCWA-Tower-Ferry View Division,Ledyard,Replacement Pump Station and Storage Facilities,95,"$1,124,000",Yes,Yes,897,No,$,No,$                      -
3,SFY 23-70,CT0700204,Killingworth Town Hall,Killingworth,PFAS/Sodium Remediation,95,"$699,000",No,Yes,100,No,$,Yes,"$         699,000"
4,SFY 23-25,CT0930011,Regional Water Authority,New Haven,Raynham Hill Pump Station Improvements,85,"$1,950,000",Yes,No,700,No,$,No,$                      -
5,SFY 23-16,CT0320312,Town of Coventry (George Hersey  Robertson School),Coventry,CTWC - South Coventry to Lakeview Terrace System  Interconnection,85,"$6,400,000",No,Yes,"1,045",No,$,No,$                      -
6,SFY 23-51,CT0340011,Danbury Water Department,Danbury,Margerie Water Treatment Plant Rehabilitation  (Planning/Design),85,"$2,337,500",No,No,"65,000",No,$,Yes,"$     2,337,500"
7,SFY 21-46,CT0930012,Regional Water Authority,New Haven,West River WTP Improvements Project,75,"$16,300,000",Yes,No,"44,811",No,$,No,$                      -
8,SFY 23-07,CT1040011,Norwich Public Utilities,Norwich,Bozrah Route 82 Water Supply,75,"$3,000,000",No,No,160,No,$,No,$                      -
9,SFY 23-66,CT0760021,CTWC-Green Springs System,Madison,Water System Consolidation,75,"$4,300,000",No,No,104,No,$,No,$                      -
10,SFY 23-62,CT1570132,Weston Schools and Municipal  Buildings,Weston,System Improvements (design & construction),75,"$1,000,000",No,Yes,"2,600",No,$,No,$                      -
11,SFY 22-40,CT1180071,Aquarion Water Company of CT- Craigmoor,Ridgefield,Craigmoor Interconnection to address PFAS,75,"$2,344,000",No,No,61,No,$,Yes,"$     2,344,000"
12,SFY 23-71,CT0709003,Killingworth Elementary School,Killingworth,Small Loan Program-PFAS Remediation,70,"$95,000",No,Yes,340,No,$,Yes,"$           95,000"
13,SFY 18-15,CT0090011,Bethel Water Department,Bethel,"Bergstrom Well Field (Planning, Design, &  Construction)",65,"$10,567,000",Yes,Yes,"9,507",No,$,Yes,"$   10,567,000"
14,SFY 22-07,CT0470021,School Hill Association,East Windsor,School Hill Association Consolidation with CT Water  Co.,65,"$1,156,250",Yes,Yes,87,No,$,No,$                      -
15,SFY 22-38,CT1160011,Putnam WPCA,Putnam,Lead Service Lines - Inventorying  Replacement  Program (Planning) 2,60,"$170,000",Yes,Yes,"7,300",Yes,"$            170,000",No,$                      -
16,SFY 23-80,CT0860041,Kitemaug Orchard Association,Montville,Small Loan Program-Pump House Upgrades,60,"$91,400",Yes,Yes,490,No,$,No,$                      -
17,SFY 22-28,CT0930011,Regional Water Authority,New Haven,Lead Service Lines - Inventory (Planning) 2,60,"$5,000,000",Yes,No,"427,798",Yes,"$         5,000,000",No,$                      -
18,SFY 22-18,CT0640011,Metropolitan District Commission,Hartford,Lead Service Lines - Inventory/Mapping/  Replacement (Planning) 2,60,"$1,750,000",Yes,No,"390,887",Yes,"$         1,750,000",No,$                      -
19,SFY 22-47,CT1510011,Waterbury Water Department,Waterbury,Lead Service Line - Inventorying and Lead Service  Lines Replacement Program (Planning) 2,60,"$700,000",Yes,No,"109,676",Yes,"$            700,000",No,$                      -
20,SFY 22-22,CT0890011,New Britain Water Department,New Britain,Patton Brook Well Potable Water Main (design),60,"$500,000",Yes,No,"75,000",No,$,No,$                      -
21,SFY 22-25,CT0890011,New Britain Water Department,New Britain,Lead Service Lines - Inventorying  Replacement  Program (Planning) 2,60,"$1,000,000",Yes,No,"73,164",Yes,"$         1,000,000",No,$                      -
22,SFY 20-31,CT0950011,New London Water Department,New London,System-wide Lead Service Lines -   Replacement  (Planning) 2,60,"$1,500,000",Yes,No,"26,000",Yes,"$         1,500,000",No,$                      -
23,SFY 22-52,CT0950011,New London Water Department,New London,System-wide Lead Service Lines -   Replacement  (Design & Construction) Phase 1 2,60,"$7,210,000",Yes,No,"26,000",Yes,"$         7,210,000",No,$                      -
24,SFY 22-03,CT0170011,Bristol Water Department,Bristol,Lead Service Lines - Replacement (Planning) 2,60,"$300,000",Yes,No,"17,000",Yes,"$            300,000",No,$                      -
25,SFY 22-36,CT1040011,Norwich Public Utilities,Norwich,Lead Service Line - Inventorying  Replacement  Program (Planning) 2,60,"$150,000",Yes,No,"10,000",Yes,"$            150,000",No,$                      -
