,Tier,Priority.Score,Applicant,Project.Number,Project.Type,Project.Description,Adoption.Date,Application.Deadline,Agreement.Deadline,Authorized.Loan.Amount,Principal.Forgiveness.Amt,Amount.To.Be.Repaid
0,Tier 1,656,"Moore Creek- Mt. Carmel Utilities, Inc. *",57100,DW/Con,Source (Construction of 2 Wells),08/11/2021 02/22/2022,12/9/2021,AWARDED,"$62,839 ",$0 ,"$62,839 "
1,Tier 1,561,Haines City,53045,DW/Con,Treatment (WTPs Upgrades),11/10/2021,3/10/2022,6/8/2022,"$1,962,591 ",$0 ,"$1,962,591 "
2,Tier 1,421,Polk Regional Water Cooperative,53200,DW/Plan/Des,"Source, Treatment, Distribution (SE Wellfield, RO and Transmission) Treatment and  Disposal",2/23/2022,6/23/2022,9/21/2022,"$20,000,000 ",$0 ,"$20,000,000 "
3,Tier 1,414,Stuart,43045,DW/Con,(RO WTP and  DIW Mod and  reject),2/23/2022,6/23/2022,9/21/2022,"$4,888,901 ",$0 ,"$4,888,901 "
4,Tier 1,401,Hollywood,06049,DW/Con,Treatment (Water Main Replacement),8/11/2021,12/9/2021,AWARDED 10/25/2021,"$668,257 ",$0 ,"$668,257 "
5,Tier 1,389,Big Bend  Water Authority* ,15052,DW/Plan/Des,Distribution (Water Main  Improvements),2/23/2022,6/23/2022,9/21/2022,"$36,000 ",$0 ,"$36,000 "
6,Tier 1,383,Sanford,59019,DW/Con,Treatment (Main WTP Improvements),8/11/2021,12/9/2021,AWARDED 01/26/2022,"$6,457,000 ",$0 ,"$6,457,000 "
7,Tier 1,371,Trenton*,21011,DW/Con,Distribution (Water Main Replacement),5/25/2022,9/22/2022,12/21/2022,"$861,210 ",$0 ,"$861,210 "
8,Tier 1,303,Hollywood,0604D,DW/Con,WTP RO Disposal,2/23/2022,6/23/2022,9/21/2022,"$20,000,000 ",$0 ,"$20,000,000 "
9,Tier 1,303,Hollywood,0604D,DW/Con,Treatment (DIW Pump Station & RO Effluent Removal) Distribution,8/11/2021,12/9/2021,AWARDED 11/23/2021,"$19,331,743 ",$0 ,"$19,331,743 "
10,Tier 1,178,Carrabelle*,19042,DW/Con,(Extend water to Lighthouse subd),2/23/2022,6/23/2022,9/21/2022,"$1,320,000 ",$0 ,"$1,320,000 "
11,Tier 1,155,Palatka,54022,DW/Con,Distribution (Phase III Water Supply Upgrade),11/10/2021,3/10/2022,AWARDED  01/26/2022,"$3,114,862 ",$0 ,"$3,114,862 "
12,Tier 1,152,Palatka,54025,DW/Con,Treatment (GAC Filters) Treatment,5/25/2022,9/22/2022,12/21/2022,"$1,565,700 ",$0 ,"$1,565,700 "
