EPIC Project ID,Entity,Project,PWS ID,Population,County,Estimated Loan Amount,Estimated Principal Forgiveness,Loan Type,Estimated Award Date,Project Score,Readiness to Proceed,Rate,District Office
35,Ashtabula County DES,Lenox New Lyme Water Line Extension,OH0400803,"13,972",ASHTABULA,"$174,000.00","$174,000.00",Design,23-Jul,16,1,PLN/DES,NEDO
36,Ashtabula County DES,Lenox New Lyme Water Line Extension,OH0400803,"13,972",ASHTABULA,"$1,744,600.00",-,Construction,23-Dec,16,1,DIS/REG,NEDO
466,Trumbull County,State Rd Water Regionalization,OH7804303,"7,547",TRUMBULL,"$5,141,000.00","$2,570,500.00",Construction,24-May,11,3,DIS/REG,NEDO
167,Coshocton,Warsaw Water Line Repl and Ext,OH1600012,"13,537",COSHOCTON,"$10,940,000.00","$4,000,000.00",Construction,23-Oct,11,3,DIS/REG,SEDO
503,Muskingum County,Maysville Regional WM Connection and Upgrade,OH6000412,"21,464",MUSKINGUM,"$445,000.00","$445,000.00",Design,23-Aug,10,1,PLN/DES,SEDO
363,Muskingum County,Maysville Regional WM Connection and Upgrade,OH6000412,"21,464",MUSKINGUM,"$7,163,900.00",-,Construction,24-Apr,10,1,DIS/REG,SEDO
8,Akron,Copley Twp WM Extensions for PWS Regionalization,OH7700011,"280,000",SUMMIT,"$1,250,000.00",BYPASS,Construction,24-Jan,9,3,DIS/REG,NEDO
38,Ashtabula County DES,South River Rd Water Line Extension,OH0400803,"13,972",ASHTABULA,"$1,792,000.00",BYPASS,Construction,23-Jul,9,3,DIS/REG,NEDO
415,Portage County,Village of Mantua Water Distribution Repl (Ph1 of IV),OH6702212,"1,207",PORTAGE,"$3,500,000.00","$1,750,000.00",Construction,23-Dec,9,2,DIS,NEDO
198,Fayette,Water Distribution System Replacement,OH2600412,"1,340",FULTON,"$6,580,000.00","$3,290,000.00",Construction,24-May,8,5,DIS,NWDO
63,Bowerston,WTP and Raw Water System,OH3400112,398,HARRISON,"$6,000,000.00","$3,000,000.00",Construction,23-Oct,8,3,DIS,SEDO
489,Wellston,Water Treatment Plant,OH4001912,"7,000",JACKSON,"$19,999,790.00","$4,000,000.00",Construction,24-May,8,3,DIS,SEDO
83,Caldwell,"WTP, Raw Water Supply and Distribution (East Tank)",OH6100011,"7,550",NOBLE,"$18,484,000.00",See EC List,Construction,23-Dec,8,2,DIS/EC,SEDO
15,Akron,Portage Lakes Water Main Extension,OH7700011,"280,000",SUMMIT,"$5,300,960.00","$2,272,000.00",Construction,24-Mar,7,3,DIS/REG,NEDO
37,Ashtabula County DES,Northeast Regional Water Line Extension,OH0400803,"13,972",ASHTABULA,"$10,432,000.00",BYPASS,Construction,24-Jun,7,3,DIS/REG,NEDO
316,Lowell,Water Tank and Water Main Replacement,OH8400312,603,WASHINGTON,"$99,900.00","$99,900.00",Design,23-May,7,2,PLN/DES,SEDO
317,Lowell,Water Tank and Water Main Replacement,OH8400312,603,WASHINGTON,"$1,066,995.00",-,Construction,23-Nov,7,2,DIS/LSL,SEDO
303,Little Hocking WA,SR 339 Transmission and Barlow Tank & Booster,OH8400212,"9,892",WASHINGTON,"$870,600.00","$870,600.00",Design,23-Jul,7,1,PLN/DES,SEDO
304,Little Hocking WA,SR 339 Transmission and Barlow Tank & Booster,OH8400212,"9,892",WASHINGTON,"$7,101,800.00",-,Construction,24-Apr,7,1,DIS,SEDO
403,Pike Water,Green Ridge Water Line Ext,OH6602412,"15,487",PIKE,"$2,229,660.00","$1,114,830.00",Construction,23-Jul,6,5,DIS/REG,SEDO
236,Hecla Water Association,Macedonia Hill WM Ext and Booster Station Imps,OH4401612,"34,942",LAWRENCE,"$3,294,000.00",BYPASS 1,Construction,23-Jul,6,5,DIS/REG,SEDO
334,Manchester,Water Line Replacement Phase 2,OH0100112,"2,043",ADAMS,"$3,597,265.00","$1,798,633.00",Construction,23-Sep,6,4,DIS,SEDO
377,Noble County WA,Water Line Extension & Interconnect Final Phase,OH6100503,927,NOBLE,"$3,840,680.00","$1,815,417.00",Construction,23-Dec,6,4,DIS/REG,SEDO
362,Muskingum County,Claysville Rd to Hardy Rd Watermain Ext,OH6000412,"21,464",MUSKINGUM,"$344,900.00",-,Construction,24-Apr,6,3,DIS/REG,SEDO
274,Kenton,France Lake Campground Water Ext,OH3300612,"8,360",HARDIN,"$536,800.00",-,Construction,24-Mar,6,3,DIS/REG,NWDO
365,Muskingum County,Sunflower and Getz,OH6000412,"21,464",MUSKINGUM,"$591,400.00",-,Construction,24-Mar,6,3,DIS/REG,SEDO
364,Muskingum County,Watermain Extension No. 2 to SR 555,OH6000412,"21,464",MUSKINGUM,"$734,900.00",-,Construction,24-Apr,6,3,DIS/REG,SEDO
79,Burr Oak Regional WD,Morgan County Water Line Expansion,OH0501311,784,ATHENS,"$1,615,780.00",-,Construction,24-Jun,6,3,DIS/REG,SEDO
354,Midvale,Meters and Water Line Improvement,OH7900612,"2,147",TUSCARAWAS,"$2,000,000.00",-,Construction,23-Sep,6,3,DIS,SEDO
402,Northern Perry County WD #2,Phase 5 - Water System Imps,OH6402703,"1,476",PERRY,"$2,101,000.00",-,Construction,23-Sep,6,3,DIS/REG,SEDO
464,Trumbull County-Braceville,Braceville/Southington/Farmington Regionalization,OH7806503,625,TRUMBULL,"$3,801,000.00",-,Construction,23-Oct,6,3,DIS/REG,NEDO
