EPIC Project ID,Entity,Project,Estimated Loan Amount,PWS ID,County,Estimated LSL Portion of the Project,Loan Type,Estimated Award Date,Rate,District Office
4,Addyston*,"Distribution, Service and Transmission Replacement","10,532,785",OH3100012,HAMILTON,1701290,Construction,45436,SML/LSL,SWDO
5,Addyston*,Sekitan Avenue WM and LSL Replacement,"1,313,708",OH3100012,HAMILTON,268500,Construction,45436,SML/LSL,SWDO
12,Akron,Lead Service Line Replacement Program 2023,"5,000,000",OH7700011,SUMMIT,5000000,Construction,45558,LSL PF,NEDO
20,Akron,Lead Service Line Replacement Program 2024,"10,000,000",OH7700011,SUMMIT,10000000,Construction,45375,LSL PF,NEDO
27,Aqua Ohio - Ashatabula,Lead Service Line Replacement,"810,000",OH0400711,ASHTABULA,810000,Construction,45375,LSL PF,NEDO
28,Aqua Ohio - Marion,Lead Service Line Replacement,"36,840,000",OH5100414,MARION,36840000,Construction,45558,LSL PF,NWDO
29,Aqua Ohio - Struthers,Lead Service Line Replacement,"170,000",OH5001611,MAHONING,170000,Construction,45558,LSL PF,NEDO
30,Aqua Ohio - Tiffin,Lead Service Line Replacement,"20,650,000",OH7400614,SENECA,20650000,Construction,45588,LSL PF,NWDO
54,Belpre*,Water Tank Supply Main and Various WM Repl,"1,212,564",OH8400012,WASHINGTON,389180,Construction,45649,SML/LSL,SEDO
62,Bowerston,Lead Service Line Replacement,"325,000",OH3400112,HARRISON,325000,Construction,45558,LSL PF,SEDO
80,Cadiz,Lead Service Line Replacement,"975,000",OH3400214,HARRISON,975000,Construction,45527,LSL PF,SEDO
102,Cincinnati (GCWW),McMillan/Taft/Auburn/Classen/Scioto/Dennis/Calhoun,"1,782,000",OH3102612,HAMILTON,190000,Construction,45375,STD/LSL PF,SWDO
97,Cincinnati (GCWW),Carson/Del Monte/Fairbanks,"2,485,000",OH3102612,HAMILTON,585000,Construction,45649,STD/LSL PF,SWDO
96,Cincinnati (GCWW),Cappel/Carnation/Clearview/Hermosa,"3,796,710",OH3102612,HAMILTON,765000,Construction,45527,STD/LSL PF,SWDO
98,Cincinnati (GCWW),"CUF - McMicken, Tafel, Enslin","2,985,486",OH3102612,HAMILTON,690000,Construction,45588,STD/LSL PF,SWDO
100,Cincinnati (GCWW),Fire Flow Collection,"2,913,000",OH3102612,HAMILTON,513000,Construction,45406,STD/LSL PF,SWDO
99,Cincinnati (GCWW),Fairview/Graham/Probasco Water Main Repl,"3,965,365",OH3102612,HAMILTON,1145000,Construction,45527,STD/LSL PF,SWDO
95,Cincinnati (GCWW),Burch/East Hill/Shaw,"2,422,000",OH3102612,HAMILTON,522000,Construction,45436,STD/LSL PF,SWDO
101,Cincinnati (GCWW),"Hyde Park - Erie, Burch, Mooney","2,569,543",OH3102612,HAMILTON,980000,Construction,45649,STD/LSL PF,SWDO
92,Cincinnati (GCWW),Apple/Cooper/Hanfield Water Main Repl,"2,307,000",OH3102612,HAMILTON,507000,Construction,45649,STD/LSL PF,SWDO
93,Cincinnati (GCWW),"Branch Only - Beech, Eighth, St Lawrence","1,650,000",OH3102612,HAMILTON,1650000,Construction,45436,LSL PF,SWDO
94,Cincinnati (GCWW),"Branch Only - Jonathan, Ruth, Woodburn","1,210,000",OH3102612,HAMILTON,1210000,Construction,45436,LSL PF,SWDO
104,Cleveland,CWD 2022 LSLR Special Cases,"5,460,000",OH1801212,CUYAHOGA,5460000,Construction,45558,LSL PF,NEDO
105,Cleveland,CWD LSLR 2023-1,"3,535,630",OH1801212,CUYAHOGA,3535630,Construction,45649,LSL PF,NEDO
107,Cleveland,CWD LSLR 2023-2,"3,535,630",OH1801212,CUYAHOGA,3535630,Construction,45649,LSL PF,NEDO
108,Cleveland,CWD LSLR 2023-3,"3,535,630",OH1801212,CUYAHOGA,3535630,Construction,45649,LSL PF,NEDO
109,Cleveland,CWD LSLR 2023-4,"3,535,630",OH1801212,CUYAHOGA,3535630,Construction,45649,LSL PF,NEDO
110,Cleveland,CWD LSLR 2023-5,"3,535,630",OH1801212,CUYAHOGA,3535630,Construction,45649,LSL PF,NEDO
111,Cleveland,CWD LSLR 2023-6,"3,535,630",OH1801212,CUYAHOGA,3535630,Construction,45649,LSL PF,NEDO
112,Cleveland,CWD LSLR 2023-7,"3,535,630",OH1801212,CUYAHOGA,3535630,Construction,45649,LSL PF,NEDO
113,Cleveland,CWD LSLR 2023-8 Special Cases - 1,"3,172,050",OH1801212,CUYAHOGA,3172050,Construction,45649,LSL PF,NEDO
114,Cleveland,CWD LSLR 2023-9 Special Cases - 2,"3,172,050",OH1801212,CUYAHOGA,3172050,Construction,45649,LSL PF,NEDO
106,Cleveland,CWD LSLR 2023-10 Supplies,"2,768,165",OH1801212,CUYAHOGA,2768165,Construction,45588,LSL PF,NEDO
143,Columbus,Lead Service Line Replacement,"5,000,000",OH2504412,FRANKLIN,5000000,Construction,45375,LSL PF,CDO
161,Columbus Grove,Main Street Downtown Water Project,"2,525,017",OH6900112,PUTNAM,641250,Construction,45375,SML/LSL PF,NWDO
176,Dayton,Lead Service Compliance Program Ph 2 and 3,"651,277",OH5703512,MONTGOMERY,"$750,000.00",Planning,23-Jul,LSL PF,SWDO
184,Delphos,Cass & Central Lead Service Line Replacement,"421,980",OH0200412,ALLEN,"$421,980.00",Construction,23-Jul,LSL PF,NWDO
185,Dunkirk,Lead Service Line and Water Line Replacement Ph1,"2,800,000",OH3300212,HARDIN,"$420,000.00",Construction,24-Feb,SML/LSL PF,NWDO
197,Fayette,Lead Service Line Replacement,"236,000",OH2600412,FULTON,"$4,500,000.00",Construction,23-Aug,LSL PF,NWDO
216,Glendale*,Water Treatment System Upgrades,"3,975,000",OH3100712,HAMILTON,"$50,000.00",Construction,24-Jun,SML/LSL,SWDO
217,Glenmont,Water Line and Household Lead Line Repl (Ph 1),"2,526,432",OH3800312,HOLMES,"$50,000.00",Construction,23-Aug,SML/LSL PF,NEDO
245,Hillsboro,2023 High St LSL Replacement,"1,000,000",OH3600614,HIGHLAND,"$1,000,000.00",Construction,23-Aug,LSL PF,SWDO
248,Hillsboro,Beech St Area Infrastructure Reconstruction,"1,011,322",OH3600614,HIGHLAND,"$34,000.00",Construction,23-Aug,SML/LSL PF,SWDO
251,Hubbard*,2023 Water Line Replacement,"710,729",OH7801415,TRUMBULL,"$103,125.00",Construction,23-Oct,SML/LSL,NEDO
273,Kenton,Downtown Revitalization Ph2 WL and LSL Repl,"7,100,000",OH3300612,HARDIN,"$900,000.00",Construction,24-Jan,DIS/LSL PF,NWDO
287,Lakewood,2023 Watermain & Lead Service Replacement,"755,394",OH1801003,CUYAHOGA,"$870,558.00",Construction,23-Jul,LSL PF,NEDO
288,Lakewood,2024 Watermain & Lead Service Replacement,"669,920",OH1801003,CUYAHOGA,"$669,920.00",Construction,24-May,LSL PF,NEDO
