epic_merge_id,APPLICANT NAME,REGION,DEP PROJECT RATING,STREET ADDRESS,CITY,COUNTY,PWSID,PROJRANK,FUND SOURCE,PROJECT COST,MTGDATE,PROJECT TYPE,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN PROJECT,GREEN CATEGORY,BUSINESS CASE,GREEN AMOUNT
1,PITTSBURGH WATER AND S. A.- 2022 SMALL DIA WATER MAIN CONT.- A LSL,V,77,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,1,DWSRF,"$3,160,825",10/18/2023,LSL,"Proposed project includes small diameter water main replacements (SDWMR) in the Brighton Heights and Squirrel Hill service area. Approximately 300 service lines will be also replaced, which includes an estimate 156 private lead service lines, 144 public lead service lines. Some customers will require both public and private side replacement while others will only receive either public or private replacement based upon where the lead is located.","Due to the age of the water mains PWSA continues to have issue with distribution system. Replacement of mains and lead service line will reduce the frequency of water main breaks, which will minimize the risk to public health caused by the resulting potential exposure to infectious diseases and unplanned outages. Replacing these leak prone mains will help system supply consistent potable water to its customers. Removing lead line will improve water quality and lead from public water supply.","520,000",108,No,N/A,N/A,$0
2,PITTSBURGH WATER AND SEWER AUTHORITY - 2024A NEIGHBORHOOD LSLR,V,77,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,2,DWSRF,"$32,058,100",1/24/2024,"DS, LSL","Based on PWSA's prioritization model run and following the previous 2023 Neighborhood LSLR Program A and B, PWSA estimates that this project 2024A will work at 4,500 homes (inspection) and replace public and private lead service lines.","PWSA started efforts to replace public lead service lines in 2017, and included private lead service lines starting in early 2018. While great strides have been made in both corrosion control treatment (CCT) and Lead Service Line Replacement (LSLR), much work remains. As critical as CCT is to water quality, the issue of lead in drinking water will not be resolved until all lead service lines are removed from the system. PWSA’s goal is to remove all lead service lines by 2026.","520,000",108,No,N/A,N/A,$0
3,HIGHLAND SEWER & WATER AUTH. -TRI-TWP WATER SYSTEM IMPROVEMENTS PROJECT,IV,75,120 TANK DRIVE,JOHNSTOWN,CAMBRIA,4110017,3,DWSRF,"$13,734,480",7/19/2023,"DS, METER","The proposed project includes replacement of 24,200 linear feet of existing 6-inch water line with 10-inch water line along Frankstown Road, 11,000 linear feet of existing 6-inch water line with 10-inch waterline along Japp Road, 6,800 linear feet of 2-inch PVC glued-joint water line with 6-inch water line along Fairview Avenue, 8,500 linear feet of 4-inch AC water line with 6-inch water line along Washington Avenue, and 1,800 linear feet of 2-inch galvanized water line with 6-inch water line along Lauren Run Road/Timber Drive. Project also includes replacement of 180 water service taps, lines, and curb stops from the water main to the property line, replacement of 265 water service meters with remote read capabilities within the building structure or within a meter pit at the property line, replacement of pressure reducing vault, system gate valves, hydrants, blow-offs, air release valves, fittings and appurtenances.","Highland Sewer and Water Authority (HSWA) owns and operates a water treatment plant and public water distribution system which serves over 10,000 customers in 17 different municipalities within Cambria County, PA. Additionally, HSWA sells bulk water to 13 smaller water utility owners which distribute and re-sell water to their customers. One of these utility owners is Tri-Township Water Authority (TTWA). TTWA is in Croyle Township, Summerhill Township, and Portage Township, Cambria County, PA. TTWA purchases all their water from HSWA and sells water to residents within its service area. Due to difficulties managing and maintaining a public water system, TTWA is proposing to sell their water system to HSWA. Since HSWA already sells TTWA all the water for the system, there will be no change for HSWA regarding water production at the water treatment plant. There will be no interruption of service or changes in water quality because of this transfer.","24,310",100,Yes,Water Efficiency,Not Required,"$13,734,480"
4,AQUA PENNSYLVANIA - EDGELY PFAS REMOVAL,I,68,250 POND STREET,BRISTOL,BUCKS,1090001,4,DWSRF,"$6,770,000",4/24/2024,"TREAT, PFAS","The proposed PFAS treatment project includes new equipments, which will be located in a new building next to the existing treatment plant and consist of six (6) 10-ft diameter filter vessels with anion exchange resin, operating in three trains. The project will include three (3) new low lift pumps to push treated water through the vessels and a 97,000-gallon waste holding tank to equalize backwash prior to disposal by trucking.","The purpose of this project is to minimize the presence of Perfluorooctanoic acid (PFOA) and Perfluorooctanesulfonic acid (PFOS) in the finished water via treatment of the existing Edgely groundwater well field source. On March 22, 2023, Aqua elected to shutdown the Edgely 2.0 MGD wellfield because PFAS raw water levels are above PA DEP PFAS MCLs. Aqua considers this a critical situation as it stresses the reliability of the water system to meet customer demands.","28,750",(blank),No,N/A,N/A,$0
5,PITTSBURGH WATER AND S.A.- 2022 SMALL DIA. WATER MAIN CONT. A NON LEAD,V,57,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,5,DWSRF,"$34,159,707",10/18/2023,DS,"Proposed project includes Small Diameter Water Main Replacements (SDWMR) in the Brighton Heights and Squirrel Hill areas of the system. Approximately 20,000 linear feet of 8-inch and 12-inch waterlines will be installed to replace older, leak-prone and undersized mains. Approximately 44 hydrants and 192 valves will be replaced as per the previous categorical exclusion request for 2022 Contract A area.","The age of our water mains continues to be an issue for PWSA system. Replacement of these mains will reduce the frequency of water main breaks, which will minimize the risk to public health caused by the resulting potential exposure to infectious diseases and unplanned outages. Replacing these leak prone mains will also provide a more efficient water source for PWSA customers.","520,000",80,Yes,Water Efficiency,N/A,"$34,159,707"
6,HAZLETON CITY AUTHORITY - LIONS DRIVE WATER MAIN REPLACEMENT,II,50,400 E. ARTHUR GARDNER PARKWAY,HAZLETON,LUZERNE,2408001,6,STATE BYPASS,"$1,425,000",4/24/2024,DS,"The project includes the replacement of approximately 1,500 feet of cast iron pipe with new 12-inch ductile iron distribution system piping with all necessary appurtenances including valves, shut-offs, 3 hydrants, blow-offs, etc. The improvements will enhance HCA's ability to operate and maintain their PWS system.","Hazleton City Authority (HCA) proposes significant upgrades to their existing distribution system along Lion's Drive in Hazle Township, Luzerne County to address high unaccounted for water losses (36.7%), improve fire protection, system pressure and service to their existing customers. The waterlines are old, deteriorating, leaking and require replacement.","45,000",(blank),No,N/A,N/A,$0
7,ALTOONA WATER AUTHORITY - LOGAN BOULEVARD WATERLINE REPLACEMENT PROJECT,III,50,20 GREENWOOD ROAD,ALTOONA,BLAIR,4070023,7,STATE BYPASS,"$7,500,000",4/24/2024,"DS, METERS","The Authority is proposing the replacement of approximately 15,000 linear feet of antiquated 8-inch to 12-inch waterline along Logan Boulevard (S.R. 0036) from the Plank Road (S.R. 1001) intersection to the Brushmeade Road (T-601) intersection. This area provides critical water service to several residences and many businesses in Altoona and Hollidaysburg. Replacement of the water main is part of the Authority’s short-term and long-term capital improvement plan.","The existing 8-inch and 12-inch cast iron waterline was originally installed in the mid-1950's and is approaching an infrastructure age of 70 years. The waterline has reached the end of its serviceable life and replacement is warranted. A majority of the proposed watermain replacement is planned to utilize two construction methods, high-density polyethylene (HDPE) water main installation via horizontal directional drilling, and polyvinyl chloride (PVC) watermain installation via traditional open-cut digging method. The Authority wishes to complete this project prior to PennDOT's planned roadway improvements/paving work project, which is expected to commence in Spring/Summer 2025.","62,500",(blank),No,N/A,N/A,$0
8,CONEMAUGH TWP MA - SR 0985 WATERLINE REPLACEMENT PROJECT,V,50,"BOX 13, R D #3",HOLLSOPPLE,SOMERSET,4560048,8,DWSRF,"$15,143,000",10/18/2023,DS,"This project mainly consists of the installation of approximately 50,000 linear feet of various waterline sizes, approximately 14,000 linear feet of service lines, the replacement of approximately 561 curb stop assemblies, and installation of approximately 561 meter pits. This project also consists of rehabbing the Jerome and Davidsville Pump Stations. The pump stations will receive new VFDs and related equipment, a direct replacement of pumps and motors, and have the existing valves replaced. This Project will eliminate the frequent leaks and greatly lower maintenance costs. The project will affect a total of approximately 561 customers in Conemaugh and Jenner Townships. These costumers will have new water service lines and meter pit assemblies installed.","The Conemaugh Township Municipal Authority (CTMA) owns and operates the water treatment facility and distribution system located in Somerset County, PA. CTMA’s existing water facilities were largely installed in the 1980’s and are approximately 40 years old. Some parts of the system are even older. The existing waterline is already passed its design life and is not feasible to maintain. These leaks have led to decreased water quality, distribution system operation issues, and decreased pressure to the CTMA customers.","8,200",73,Yes,Water Efficiency,N/A,"$13,645,150"
9,MUNICIPAL AUTHORITY OF BUFFALO TWP - RT. 228 WEST EXTENSION & FREEPORT,VI,50,707 SOUTH PIKE ROAD,SARVER,BUTLER,5030019,9,DWSRF,"$2,817,809",10/18/2023,DS,"The Authority is proposing to extend public water service from the existing point of service, the intersection of Chesterfield Drive and Sarver Road/Route 228, to the intersection of Crescent Hill Road and Sarver Road/Route 228 West as well as to the residents of Sunny Lane, Kimberly Drive, Carol Drive and Crescent Hill Drive. This extension of public water service will be located in Buffalo Township, Butler County. The project will also include the replacement of waterlines on Market Street, Fourth Street, and Buffalo Street in Freeport Borough, Armstrong County.","The proposed project area in Buffalo Township, Butler County is currently served by private groundwater well systems. Several residents have inquired about public water service due to the groundwater being of poor quality. The residents have failing wells that are potentially causing health issues. Regarding the proposed project area in Freeport Borough, the waterlines are aged and deteriorated which are susceptible to leaks and breaks. These areas have experienced numerous breaks which resulted in periodic service shutdowns and costly, emergency repairs. The water loss during these events is stretching the operating budgets to their limits. As a result of the breaks and leaks, the residents are also subjected to poor roadway conditions due to multiple patches/ditches. By replacing the waterlines, the Authority will be able to provide reliable drinking water and eliminate breaks and leaks.","5,849",65,Yes,Water Efficiency,N/A,"$2,817,809"
10,WAMPUM BOROUGH - LEAD SERVICE LINE REPLACEMENT,VI,48,"P.O. BOX 65, MAIN STREET EXT.",WAMPUM,LAWRENCE,6370032,10,DWSRF,"$1,600,000",4/24/2024,LSL,"The proposed project consists of the replacement of 50, 3/4-inch diameter existing water service lines with lead joints. New copper water service lines will be installed in place. Some mains line repair/replacement and restoration will be done by other project.","Borough has identified certain lead service lines and connections generally along Clyde Street, Kay Street, Main Street, and Beaver Street, which need to be replaced. Lead poisoning to the human organism is a well identified condition and such lead poisoning must be prevented through the removal of lead components in the public water system. Project will eliminate lead service line and Lead connectors and will improve water quality for the customers.",750,(blank),No,N/A,N/A,$0
