Rank,Project Sponsor2,Project Number,Project Name,Populatio,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Poin,Actual/ Anticipated Funding Status,BIL Eligibility
433,Pompton Lakes Municipal Utilities Authority,1609001-003,Replacement of gas chlorination system with solid tablet chlorinat,11435,"$ 60,000","$ 54,200","$ 114,200",100,0,0,0,0,0,0,0.11,100.11435,Beyond 2026,BIL (GEN)
430,Ramsey Borough,0248001-015,Installation of chlorine analyzers and pipe improvements to upgra,16350,"$ 500,000","$ 180,000","$ 680,000",100,0,0,0,0,0,0,0.16,100.1635,Beyond 2026,BIL (GEN)
427,North Brunswick Township,1215001-003,Treatment plant upgrade,38000,"$ 20,000,000","$ 7,860,000","$ 27,860,000",100,0,0,0,0,0,0,0.38,100.38,Beyond 2026,BIL (GEN)
423,Berkeley Township Municipal Utilities Authority,1505004-002,Install new water mains,8130,"$ 5,226,820","$ 1,805,363","$ 7,032,183",1,0,20,0,0,0,80,0.08,101.0813,Beyond 2026,BIL (GEN)
422,Orange City,0717001-016,"Orange Twp | Water System Hydraulic Model, GIS, AMP",32000,"$ 780,500","$ 626,454","$ 936,600",1,80,0,5,5,0,0,0.30,101.30134,Beyond 2026,BIL (GEN)
419,"NJ American Water Company, Inc.",1345001-005,Replacement of ozone generators at Swimming River WTP,289553,"$ 519,890","($ 39,978)","$ 479,911",100,0,0,0,0,0,0,2.90,102.89553,Beyond 2026,BIL (GEN)
418,Brooklawn Borough,0407001-004,"Removal and replacement 1,500 LFof 6-inch water mains",2300,"$ 1,483,000","$ 912,520","$ 2,395,520",75,0,0,0,0,0,30,0.02,105.023,Beyond 2026,BIL (GEN)
417,Sussex Borough,1921001-002,Replacement of 75 year old water mains,2666,"$ 1,402,286","($ 196,321)","$ 1,205,964",75,0,0,0,0,0,30,0.03,105.02666,Beyond 2026,BIL (GEN)
412,Paulsboro Borough,0814001-002,"Replacement of 2,300 water meters",6025,"$ 880,000","$ 616,000","$ 1,496,000",25,0,0,0,0,0,80,0.06,105.06025,Beyond 2026,BIL (GEN)
409,Northwest Bergen County Utilities Authority,0264001-004,Potable Water Main Replacement,765,"$ 1,600,000","$ 850,000","$ 2,000,000",75,0,15,0,0,0,0,0.10,105.10208,Beyond 2026,BIL (GEN)
408,Pine Hill Municipal Utilities Authority,0428002-003-IA,Erial Road Water Main Rehab and Branch Avenue Pressure Reduc,10233,"$ 2,806,223",,"$ 3,367,467",75,0,0,0,0,0,30,0.10,105.10233,Beyond 2026,BIL (GEN)
406,Pemberton Township,0329004-006,Various Water System Improvements,10815,"$ 400,000","$ 366,000","$ 766,000",75,0,15,0,0,0,15,0.11,105.10815,Beyond 2026,BIL (GEN)
405,Hammonton Town,0113001-001,"Water main extension along Egg Harbor Road, and Eighth Street t",11300,"$ 250,000","$ 175,000","$ 425,000",75,0,15,0,0,0,15,0.11,105.113,Beyond 2026,BIL (GEN)
403,Gloucester City,0414001-002,Water Main replacement on Broadway & Koehler Streets,11484,"$ 799,205","$ 559,442","$ 1,358,647",75,0,0,0,0,0,30,0.11,105.11484,Beyond 2026,BIL (GEN)
402,Wallington Borough,0265001-001,Replacement of 6-inch mains with 8-inch mains,11580,"$ 1,295,845","$ 830,170","$ 2,126,015",75,0,0,0,0,0,30,0.12,105.1158,Beyond 2026,BIL (GEN)
400,Manchester Utilities Authority,1603001-008,"Slip line 16,000 LF unlined cast iron 16inch pipe in High Mountain",12111,"$ 1,100,000","$ 744,000","$ 1,844,000",75,0,15,0,0,0,15,0.12,105.12111,Beyond 2026,BIL (GEN)
399,Ventnor City,0122001-001,Clean and line 8 and 14inch water mains,12900,"$ 1,425,000","$ 865,000","$ 2,290,000",75,0,0,0,0,0,30,0.13,105.129,Beyond 2026,BIL (GEN)
397,Manchester Township,1518005-003,Install automated meters,21083,"$ 1,600,000","$ 1,044,444","$ 2,644,444",25,0,0,0,0,0,80,0.21,105.21083,Beyond 2026,BIL (GEN)
396,West Deptford Township,0820001-003,Water Meter Replacment Project,21248,"$ 2,958,200","$ 666,640","$ 3,624,840",25,50,0,0,0,15,15,0.21,105.21248,Beyond 2026,BIL (GEN)
395,Lakewood Township Municipal Utilities Authority,1514002-012,Installation of a new storage tank,25000,"$ 100,000","$ 70,000","$ 170,000",50,25,0,0,0,0,30,0.25,105.25,Beyond 2026,BIL (GEN)
394,Garfield City,0221001-004,Replacement of water mains,29780,"$ 4,200,000","$ 2,108,000","$ 6,308,000",75,0,0,0,0,0,30,0.30,105.2978,Beyond 2026,BIL (GEN)
393,Perth Amboy City,1216001-001,Replacement of undersize water main - Center Street,50814,"$ 1,209,050","$ 791,982","$ 2,001,032",75,0,0,0,0,0,30,0.51,105.50814,Beyond 2026,BIL (GEN)
392,"NJ American Water Company, Inc.",2004002-007,Painting of the Raritan Millstone backwash tank at the WTP,610000,"$ 395,000","$ 276,500","$ 671,500",100,0,0,0,0,0,0,6.10,106.1,Beyond 2026,BIL (GEN)
391,North Jersey District Water Supply Commission,1613001-007,Acquisition and integration of the Kearny/Bayonne Transmission,872153,"$ 30,000,000","$ 11,060,000","$ 41,060,000",1,50,20,0,0,0,30,8.72,109.72153,Beyond 2026,BIL (GEN)
390,Netcong Borough,1428001-006,Replacement of Water meters,3236,"$ 225,000","$ 157,500","$ 382,500",25,50,15,5,0,0,15,0.03,110.03236,Beyond 2026,BIL (GEN)
389,Salem City,1712001-002,Installation of a new well,5857,"$ 130,000","$ 91,000","$ 221,000",15,0,15,0,0,0,80,0.06,110.05857,Beyond 2026,BIL (GEN)
388,Ramsey Borough,0248001-005,Rehabilitation of Airmount reservoir,16350,"$ 430,000","$ 144,000","$ 574,000",60,50,0,0,0,0,0,0.16,110.1635,Beyond 2026,BIL (GEN)
387,Phillipsburg Redevelopment Authority,2119001-006,"Installation of 5,300 LF of 8 and 12-inch water mains for a brownf",18162,"$ 2,099,859","$ 1,180,309","$ 3,280,168",75,0,0,0,5,0,30,0.18,110.18162,Beyond 2026,BIL (GEN)
385,Orange City,0717001-005,Cleaning & Lining of mains,30000,"$ 1,675,000","$ 997,000","$ 2,672,000",75,0,0,5,0,0,30,0.30,110.3,Beyond 2026,BIL (GEN)
383,Long Beach Township,1517001-012,"Rehabilitation of four storage tanks-Beach Haven Terrace, Brant B",35367,"$ 1,000,000","$ 700,000","$ 1,700,000",60,50,0,0,0,0,0,0.35,110.35367,Beyond 2026,BIL (GEN)
382,Kearny Town,0907001-001A,Water Facility and Ground Improv. Program,291648,"$ 20,495,142","$ 4,099,028","$ 24,594,170",75,0,20,0,0,0,15,0.42,110.41664,Beyond 2026,BIL (GEN)
379,Brick Township Municipal Utilities Authority,1506001-013,"Water Main Stream Crossings Replacements at Route 70 (16"" Dia",100000,"$ 3,074,560","$ 1,113,859","$ 4,188,419",75,0,20,0,0,0,0,0.87,110.86898,Beyond 2026,BIL (GEN)
377,Middlesex Water Company,1225001-020,Replace the Tingley Lane pump station,233376,"$ 10,000,000","$ 4,660,000","$ 14,660,000",60,50,0,0,0,0,0,2.33,112.33376,Beyond 2026,BIL (GEN)
372,Sussex Borough,1921001-004,Water Meter Replacement Project,2130,"$ 338,850","$ 75,770","$ 414,620",35,0,0,0,0,0,80,0.02,115.0213,Beyond 2026,BIL (GEN)
371,National Park Borough,0812001-001,Replacement of a WTP,3289,"$ 2,289,450","$ 1,193,852","$ 3,483,302",100,0,0,0,0,0,15,0.03,115.03289,Beyond 2026,BIL (GEN)
370,Netcong Borough,1428001-011,Borough of Netcong - Watermain Replacement and Project Priorit,4500,"$ 900,000","$ 1,337,083","$ 1,230,000",75,0,15,5,0,0,0,0.03,115.03342,Beyond 2026,BIL (GEN)
369,Hightstown Borough,1104001-003,"Construct 80,000 gallon backwash tank and re-line existing lagoon",5567,"$ 450,000","$ 315,000","$ 765,000",100,0,15,0,0,0,0,0.06,115.05567,Beyond 2026,BIL (GEN)
368,Milltown Borough,1212001-002,Ford Ave Redevelopment,7052,"$ 1,060,000","$ 546,000","$ 1,606,000",75,0,15,0,5,0,0,0.07,115.07,Beyond 2026,BIL (GEN)
365,Berlin Borough,0405001-005,Repairs to Plant#1 filter and complete replacement of filter media,13121,"$ 80,500","$ 57,030","$ 137,530",100,0,15,0,0,0,0,0.13,115.13121,Beyond 2026,BIL (GEN)
362,Dover Town,1409001-003,Water Main Replacement,16000,"$ 4,000,000","$ 50,000","$ 5,080,000",75,0,15,0,0,0,0,0.28,115.27806,Beyond 2026,BIL (GEN)
361,Winslow Township,0436007-003,New 1.0 MG finished water storage tank,39328,"$ 1,000,000","$ 700,000","$ 1,700,000",50,50,15,0,0,0,0,0.39,115.39328,Beyond 2026,BIL (GEN)
359,Jersey City Municipal Utilities Authority,0906001-014,Brookdale Gate House Improvements,257342,"$ 992,000","$ 674,560","$ 1,666,560",75,0,20,5,0,0,15,2.57,117.57342,Beyond 2026,BIL (GEN)
356,Passaic Valley Water Commission,1605002-009,Replacement of surface water intake facilities on the Passaic River,347052,"$ 800,000","$ 560,000","$ 1,360,000",15,0,20,0,0,0,80,3.47,118.47052,Beyond 2026,BIL (GEN)
355,Grande Woods South Mobile Home Community,0506007-001,Watermain Replacement Project,447,"$ 1,250,000","$ 693,869","$ 1,600,000",75,0,20,0,0,0,0,0.01,120.0065,Beyond 2026,BIL (GEN)
354,Stafford Township,1530005-001,Fawn Lakes Water Main Extension,1500,"$ 2,000,000","$ 292,000","$ 2,480,000",75,0,20,0,0,0,0,0.02,120.0174,Beyond 2026,BIL (GEN)
352,Wildwood City,0514001-003,Water system improvements - 2016 street & utility reconstruction,20361,"$ 2,100,000","$ 480,000","$ 2,580,000",75,0,15,0,0,0,30,0.20,120.20361,Beyond 2026,BIL (GEN)
350,Vineland City,0614003-007,Replacement of 1.4 miles of 8-inch with 10 -inch water mains,33000,"$ 1,100,000","$ 744,000","$ 1,844,000",75,0,15,0,0,0,30,0.33,120.33,Beyond 2026,BIL (GEN)
349,Willingboro Municipal Utilities Authority,0338001-012,Well No. 1 Water Treatment Plant Upgrade,34731,"$ 2,001,800","$ 1,718,944","$ 3,720,744",100,0,20,0,0,0,0,0.38,120.37731,Beyond 2026,BIL (GEN)
348,Perth Amboy City,1216001-009,The Replacement of Water Meters Project,47300,"$ 575,830","$ 259,123","$ 834,953",25,0,0,0,0,15,80,0.47,120.473,Beyond 2026,BIL (GEN)
342,Harrison Town,0904001-001,"Cleaning & Lining of mains on Grant Ave., Cleveland Ave., & Hamil",14425,"$ 5,500,000","$ 2,680,000","$ 8,180,000",75,0,20,0,0,0,30,0.14,125.14425,Beyond 2026,BIL (GEN)
340,Ramsey Borough,0248001-001,"Construction of mains (Rte 17, Grant & Airmount)",16350,"$ 1,690,000","$ 1,003,600","$ 2,693,600",75,50,0,0,0,0,0,0.16,125.1635,Beyond 2026,BIL (GEN)
338,Long Beach Township,1517001-013,Replacement of water mains,35367,"$ 2,466,545","$ 1,345,278","$ 3,811,823",75,50,0,0,0,0,0,0.35,125.35367,Beyond 2026,BIL (GEN)
337,Aqua New Jersey Incorporate,0415002-008,"Replacement of 5,900 LF of water main on Lakeside, East Blenhei",49350,"$ 936,100","$ 723,456","$ 1,659,556",75,50,0,0,0,0,0,0.49,125.4935,Beyond 2026,BIL (GEN)
336,Perth Amboy City,1216001-500,Install New Stand-by Generator for Runyon Water Treat. Plant,50814,"$ 1,855,500","$ 852,500","$ 2,708,000",45,80,0,0,0,0,0,0.52,125.52328,Beyond 2026,BIL (GEN)
334,Bayonne Municipal Utilities Authority,0901001-004,Rehabilitation of gate house valve chamber and venturi flow mete,61842,"$ 900,000","$ 594,000","$ 1,494,000",75,0,20,0,0,0,30,0.62,125.61842,Beyond 2026,BIL (GEN)
332,Atlantic City Municipal Utilities Authority,0102001-008,Water Meter Replacement Program,94225,$                        -,$                      -,$                           -,25,0,20,0,0,0,80,0.95,125.95,Beyond 2026,BIL (GEN)
330,Middlesex Water Company,1225001-018,Construction of a water main,233376,"$ 23,200,000","$ 8,884,000","$ 32,084,000",75,50,0,0,0,0,0,2.33,127.33376,Beyond 2026,BIL (GEN)
329,"NJ American Water Company, Inc.",1345001-019,Howell-Lakewood Transmission Main,290470,"$ 32,000,000","$ 9,050,000","$ 41,050,000",75,50,0,0,0,0,0,2.55,127.55333,Beyond 2026,BIL (GEN)
328,Downe Township,0604001-004,Construction of new storage tank on New Jersey Avenue,770,"$ 600,000","$ 420,000","$ 1,020,000",50,0,0,0,0,0,80,0.01,130.0077,Beyond 2026,BIL (GEN)
327,Upper Deerfield Township,0613004-003,Love Lane Water Tower Improvements,478,"$ 950,000","$ 1,394,183","$ 1,140,000",50,80,0,0,0,0,0,0.02,130.02463,Beyond 2026,BIL (GEN)
326,Bayville Central Regional Board of Education,1505355-001,Additional treatment on existing well,2500,"$ 1,000,000","$ 700,000","$ 1,700,000",100,0,0,0,0,0,30,0.03,130.025,Beyond 2026,BIL (GEN)
325,Sussex Borough,1921001-001,Water Treatment Plant upgrades,2666,"$ 116,857","($ 16,359)","$ 100,497",100,0,0,0,0,0,30,0.03,130.02666,Beyond 2026,BIL (GEN)
324,Bellmawr Borough,0404001-005,Improvements to WTP,11583,"$ 415,500","$ 83,100","$ 498,600",100,0,0,0,0,0,30,0.12,130.11583,Beyond 2026,BIL (GEN)
323,Pine Hill Municipal Utilities Authority,0428002-001,Construction of GAC filtration system for removal of IPMP - Critica,12492,"$ 250,000","$ 175,000","$ 425,000",100,0,0,0,0,0,30,0.12,130.12492,Beyond 2026,BIL (GEN)
322,Manchester Township,1518005-004,MANCHESTER TOWNSHIP 1.0MG ELEVATED TANK,21200,"$ 4,962,608","$ 380,619","$ 6,680,642",50,80,0,0,0,0,0,0.21,130.21201,Beyond 2026,BIL (GEN)
321,Orange City,0717001-012,Orange Twp | Interconnection and Distribution Project,30731,"$ 1,296,216","$ 618,000","$ 1,555,459",30,80,0,5,5,0,0,0.30,130.30135,Beyond 2026,BIL (GEN)
316,NJ City Univ. / Jersey City Municipal Utilities Authority,0906001-005,Redevelopment of Brownfield site,247000,"$ 882,867","$ 601,385","$ 1,484,252",75,0,20,5,0,0,30,2.47,132.47,Beyond 2026,BIL (GEN)
314,Jersey City Municipal Utilities Authority,0906001-010,Journal Square North Cleaning,262000,"$ 5,000,000","$ 2,067,000","$ 7,067,000",75,0,20,5,0,0,30,2.62,132.62,Beyond 2026,BIL (GEN)
313,Passaic Valley Water Commission,1605002-010,Installation of a back up Wanaque interconnection line,347052,"$ 750,000","$ 525,000","$ 1,275,000",30,0,20,0,0,0,80,3.47,133.47052,Beyond 2026,BIL (GEN)
311,Bridgeton City,0601001-006,Well 14/15 Rehabilitation,25349,"$ 800,000",,"$ 1,160,000",15,80,15,0,0,0,0,0.23,135.2277,Beyond 2026,BIL (GEN)
307,Wildwood City,0514001-005,Well #39 Redevelopment,45500,"$ 315,000","$ 63,000","$ 378,000",15,80,15,0,0,0,0,0.45,135.455,Beyond 2026,BIL (GEN)
306,Perth Amboy City,1216001-005,THE INSTALLATION OF A NEW STANDBY GENERATOR AT THE RUN,366296,"$ 750,000","$ 9,087,360","$ 1,021,050",45,80,0,0,5,0,0,0.52,135.52328,Beyond 2026,BIL (GEN)
305,Atlantic City Municipal Utilities Authority,0102001-009,Water Meter and MTU Replacement,75619,"$ 2,210,000","$ 350,000","$ 2,652,000",25,0,15,0,0,15,80,0.76,135.75619,Beyond 2026,BIL (GEN)
303,East Orange City,0705001-500/001,Install generators -White Oak Rd,80468,"$ 3,217,000","$ 1,159,440","$ 4,376,440",1,50,0,5,0,0,80,0.80,136.80468,Beyond 2026,BIL (GEN)
301,Waterford Township Municipal Utilities Authority,0435003-001,New water mains for Maximum Contaminant Level violations,2408,"$ 1,465,738","$ 904,923","$ 2,370,661",125,0,15,0,0,0,0,0.02,140.02408,Beyond 2026,BIL (GEN)
297,Berkeley Township Municipal Utilities Authority,1505004-004,Install automated meter reading system,8130,"$ 500,000","$ 350,000","$ 850,000",25,0,20,0,0,15,80,0.08,140.0813,Beyond 2026,BIL (GEN)
296,Manchester Utilities Authority,1603001-007,Replace existing booster station,12111,"$ 1,100,000","$ 744,000","$ 1,844,000",60,50,15,0,0,0,15,0.12,140.12111,Beyond 2026,BIL (GEN)
295,Glassboro Borough,0806001-001,2.0 mg elevated tower repainting,19992,"$ 2,327,688","$ 95,000","$ 3,142,225",60,80,0,0,0,0,0,0.24,140.24245,Beyond 2026,BIL (GEN)
293,Netcong Borough,1428001-005,Roof and Structural repairs to a 1MG reservoir,3236,"$ 608,125","$ 425,687","$ 1,033,812",60,50,15,5,0,0,15,0.03,145.03236,Beyond 2026,BIL (GEN)
291,Egg Harbor City,0107001-001,Construction of a new storage tank,4700,"$ 2,000,000","$ 340,000","$ 2,340,000",50,0,15,0,0,0,80,0.05,145.047,Beyond 2026,BIL (GEN)
290,Stafford Township,1530004-016,"Installation of 5,000 LF of main under the GSP as secondary crossi",28868,"$ 3,000,000","$ 1,580,000","$ 4,580,000",75,35,20,0,0,0,15,0.29,145.28868,Beyond 2026,BIL (GEN)
289,Vineland City,0614003-012,Upgrades to well #4 water treatment plant including a new air stri,33000,"$ 756,000","$ 529,200","$ 1,285,200",100,0,15,0,0,0,30,0.33,145.33,Beyond 2026,BIL (GEN)
288,Willingboro Municipal Utilities Authority,0338001-002,"Replacement of 56,000 LF of 6 and 8-inch mains-Twin Hills",34731,"$ 8,100,000","$ 2,350,880","$ 10,450,880",75,50,20,0,0,0,0,0.35,145.34731,Beyond 2026,BIL (GEN)
286,Mahwah Township,0233001-006,"Rehabilitation of Ford Wellfield treatment, pumps & motors, elect",24062,"$ 4,600,000","$ 2,250,536","$ 6,850,536",100,50,0,0,0,0,0,0.24,150.24062,Beyond 2026,BIL (GEN)
285,Perth Amboy City,1216001-012,Florida Grove Road Reservoir Improvements,55436,"$ 5,133,385",,"$ 6,506,062",60,80,0,0,5,0,0,0.52,150.52328,Beyond 2026,BIL (GEN)
284,East Orange Water Commission,0705001-004,"Rehab of Braidburn wells #1 & #2; Canoe Brook wells #2, #3 & #4",80468,"$ 1,196,000","$ 786,240","$ 1,982,240",15,50,0,5,0,0,80,0.80,150.80468,Beyond 2026,BIL (GEN)
283,Middlesex Water Company,1225001-029,CJO Plant Upgrade - DBP Removal Treatment,282741,"$ 21,043,630","$ 6,201,343","$ 27,244,973",100,50,0,0,0,0,0,2.33,152.33376,Beyond 2026,BIL (GEN)
282,"NJ American Water Company, Inc.",1345001-018,Oak Glenn Treatment Plant Expansion,290470,"$ 26,920,000","$ 12,419,600","$ 39,339,600",100,50,0,0,0,0,0,2.90,152.9047,Beyond 2026,BIL (GEN)
281,North Jersey District Water Supply Commission,1613001-018,Security system improvements - Relocation of Wanaque WTP mai,872153,"$ 3,000,000","$ 1,890,000","$ 4,890,000",45,50,20,0,0,0,30,8.72,153.72153,Beyond 2026,BIL (GEN)
280,Newark City,0714001-014,Installation of a SCADA system,285000,"$ 2,500,000","$ 1,360,000","$ 3,860,000",1,50,20,0,0,0,80,2.85,153.85,Beyond 2026,BIL (GEN)
279,Sussex Borough,1921001-005,Lake Rutherford Water Line Installation Project,2130,"$ 1,018,000","$ 203,600","$ 1,221,600",75,0,0,0,0,0,80,0.02,155.0213,Beyond 2026,BIL (GEN)
269,Bayonne City,0901001-007,Aquaduct Replacement Project,47791,"$ 23,100,000","$ 764,362","$ 29,820,000",75,80,0,0,0,0,0,0.63,155.63,Beyond 2026,BIL (GEN)
267,Passaic Valley Water Commission,1605002-031,Woodland Park Water Main Installation,101789,"$ 3,500,000","$ 250,000","$ 4,700,000",75,80,0,0,0,0,0,3.10,158.10483,Beyond 2026,BIL (GEN)
266,Hampton Borough,1013001-005,Hampton Borough - Water System Improvements,1400,"$ 1,750,000","$ 612,485","$ 2,300,000",160,0,0,0,0,0,0,0.01,160.01401,Beyond 2026,BIL (GEN)
264,Netcong Borough,1428001-002,Replacement of leaking water mains,3236,"$ 1,150,000","$ 766,000","$ 1,916,000",75,50,15,5,0,0,15,0.03,160.03236,Beyond 2026,BIL (GEN)
263,Roxbury Township,1436003-001,Well 2 PFAS Treatment Facility,5153,"$ 4,795,000","$ 2,359,367","$ 6,234,073",160,0,0,0,0,0,0,0.05,160.05153,Beyond 2026,BIL (GEN)
262,Berkeley Township Municipal Utilities Authority,1505004-003,Install new solar panels at treatment plant,8130,"$ 750,000","$ 525,000","$ 1,275,000",45,0,20,0,0,15,80,0.08,160.0813,Beyond 2026,BIL (GEN)
261,Spotswood Borough,1224001-003,Rehabilitation of the George Street Water Treatment Plant,8300,"$ 2,144,545","$ 520,000","$ 2,770,999",160,0,0,0,0,0,0,0.08,160.08299,Beyond 2026,BIL (EC)
258,Clinton Town,1005001-019,"Town of Clinton - Wells 11, 12R & 15 - PFAS Treatment Improvem",0,"$ 6,000,000","$ 368,700","$ 7,800,000",160,0,0,0,0,0,0,0.13,160.125,Beyond 2026,BIL (GEN)
