Entity,Project,PWS ID,SDWIS Population,County, Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office,
Ada,Water Treatment Plant Improvements,OH3300012,"5,334",Hardin,"$7,165,000.00",Construction,Dec-25,DIS,NWDO,
Adams County Reg.Water Dist.,Winchester Industrial Park Water System Improvements,OH0100012,"21,810",Adams,"$2,423,500.00",Construction,Sep-25,STD,SEDO,
Adams County Reg.Water Dist.,WTP Filter Rehab,OH0100012,"21,810",Adams,"$1,200,000.00",Construction,Oct-25,STD,SEDO,
Adams County Reg.Water Dist.,Ductile Iron Water Line Replacement,OH0100012,"21,810",Adams,"$1,500,000.00",Construction,Oct-25,STD,SEDO,
Addyston,"Distribution, LSL, and Transmission Main Replacement",OH3100012,900,Hamilton,"$838,190.00",Design,Jun-26,DES,SWDO,
Addyston,"Distribution, LSL, and Transmission Main Replacement",OH3100012,900,Hamilton,"$10,728,381.00",Construction,Jun-26,SML,SWDO,
Addyston,Sekitan Avenue Watermain and LSL Replacement,OH3100012,900,Hamilton,"$1,345,942.00",Construction,Jun-26,SML/LSL PF,SWDO,
Adena,Blairmont Road Waterline,OH4100003,820,Jefferson,"$814,200.00",Construction,Sep-25,DIS,SEDO,
Akron,Raw Water Intake Valve Replacement & Repair ph 1,OH7700011,"280,000",Summit,"$385,000.00",Construction,Mar-26,STD,NEDO,
Akron,Brittain Road Reservoir Replacement Construction,OH7700011,"280,000",Summit,"$43,000,000.00",Construction,Oct-25,STD,NEDO,
Akron,Water Plant Water Main Upgrade,OH7700011,"280,000",Summit,"$210,000.00",Construction,Jan-26,STD,NEDO,
Akron,Hawkins Ave (S) Water Main Extension,OH7700011,"280,000",Summit,"$258,200.00",Construction,Oct-25,STD,NEDO,
Akron,High Serv Pump Ball Valve & Limitorque Manual Valve Replace,OH7700011,"280,000",Summit,"$3,091,800.00",Construction,Oct-25,STD,NEDO,
Akron,US 224 Waterloo Rd Water Main Extension,OH7700011,"280,000",Summit,"$2,314,863.00",Construction,Jan-26,STD,NEDO,
Akron,Kenmore Blvd - 28th Street Water Main Connection,OH7700011,"280,000",Summit,"$520,000.00",Construction,Dec-25,STD,NEDO,
Akron,Lead Service Line Replacement Program 2025,OH7700011,"280,000",Summit,"$20,752,242.00",Construction,Aug-25,LSL PF,NEDO,
Akron,Wheeling and Lake Erie RR Yard Water Main Repair,OH7700011,"280,000",Summit,"$405,500.00",Construction,May-26,STD,NEDO,
Akron,Water Main Replacement Program 2025,OH7700011,"280,000",Summit,"$3,040,500.00",Construction,Sep-25,STD,NEDO,
Akron,Lead Service Line Replacement Program 2026,OH7700011,"280,000",Summit,"$10,000,000.00",Construction,Apr-26,LSL PF,NEDO,
Akron,Water Main Replacement Program 2026,OH7700011,"280,000",Summit,"$3,000,000.00",Construction,May-26,STD,NEDO,
Akron,Advanced Metering Infrastructure Installation 2025,OH7700011,"280,000",Summit,"$1,500,000.00",Construction,Jan-26,STD,NEDO,
Akron,Force Main Rehabilitation,OH7700011,"280,000",Summit,"$15,000,000.00",Construction,Feb-26,STD,NEDO,
