RANK,SYSTEM,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
1,Clitherall,New System ‐ Connect Private Wells w/NO3,1560033‐2,30,25,"$2,768,000.00"
2,Danube,Treatment ‐ New Ra/Fe/Mn Plant,1650004‐2,30,493,"$1,393,500.00"
3,Lake Lillian,Treatment ‐ WTP Improvements Remove As,1340004‐3,30,304,"$4,221,000.00"
4,Tower,Treatment ‐ Plant Improvements,1690051‐2,25,500,"$4,500,950.00"
5,Glenville,Treatment ‐ Water trtmnt plant & wells,1240010‐1,20,670,"$4,000,000.00"
6,Easton,Consolidation ‐ Connection to Wells,1220005‐5,18,199,"$3,873,000.00"
7,Coates,Other ‐ New System Supplied by Rosemount,1190035‐1,17.5,25,"$14,604,375.00"
8,Cuyuna,Source ‐ Repl with Wells #2 & #3/Treat,1180011‐4,15,231,"$459,300.00"
9,Belview,Source ‐ New Wells & Raw Watermain,1640001‐1,15,360,"$474,000.00"
10,Brooten,Source ‐ Replace Wells #1 & #2,1730005‐5,15,647,"$200,000.00"
11,Middle River,"Source ‐ New Well, Pumphouse & Sealing",1450006‐2,15,309,"$325,000.00"
12,Aurora,Consolidation ‐ E Mesabi Joint Water Sys,1690002‐6,15,2225,"$18,900,000.00"
13,LaSalle,Source ‐ Connect to Red Rock RWS,1830009‐2,15,90,"$701,000.00"
14,South Haven,Source ‐ New Well & Pump House,1860021‐2,15,179,"$1,700,000.00"
15,Atwater,Source ‐ Well & Wellhouse Improvements,1340001‐8,15,1014,"$1,600,000.00"
16,Winsted,Treatment ‐ Remove Fe/Mn,1430010‐5,15,2296,"$8,000,000.00"
17,Wyoming,Treatment ‐ New Ra/Fe/Mn Plant,1130018‐4,15,3850,"$8,057,500.00"
18,Clinton,Source ‐ New Well,1060003‐1,13,450,"$196,250.00"
19,Battle Lake,Source ‐ New Well #5,1560001‐5,13,903,"$1,180,556.00"
20,Morgan,"Source ‐ New Wells, Seal Old Wells",1640006‐4,13,896,"$225,000.00"
21,Kilkenny,Source ‐ New Well & Wellhouse,1400007‐1,13,168,"$1,500,000.00"
22,Perham,"Source ‐ Well #10, Seal #3 & 4",1560023‐10,13,3421,"$505,000.00"
23,Danube,Source ‐ New Well,1650004‐1,13,493,"$313,000.00"
24,Dawson,"Source ‐ New Well, Seal #6",1370003‐8,13,1540,"$155,340.00"
25,Wood Lake,"Source ‐ New Well #4, Seal Wells 1 & 2",1870008‐1,13,439,"$550,000.00"
26,Swanville,"Source ‐ New Well, Seal #1",1490007‐10,13,311,"$486,000.00"
27,Prinsburg,Source ‐ New Well,1340007‐5,13,532,"$224,000.00"
28,Maple Plain,Source ‐ New Well #4 & Test Well,1270021‐4,13,1768,"$585,000.00"
29,Twin Lakes Township,Watermain ‐ Extension to Arsenic Wells,1090018‐1,12.5,25,"$7,500,000.00"
30,Floodwood,Watermain ‐ Looping,1690048‐4,12,501,"$727,300.00"
31,Bigfork,Source ‐ New Well & Plant Rehab,1310001‐6,12,443,"$129,489.00"
32,Onamia,Treatment ‐ New Plant,1480003‐4,12,875,"$3,972,200.00"
33,Clinton,Treatment ‐ Repl Fe/Mn Plant,1060003‐2,12,450,"$1,690,000.00"
34,Clinton,Watermain ‐ Looping,1060003‐4,12,450,"$376,180.00"
35,Gonvick,Treatment ‐ Plant Rehab,1150005‐1,12,284,"$275,000.00"
36,Gonvick,Watermain ‐ Repl Various Areas,1150005‐2,12,284,"$3,243,000.00"
37,Pine City,Watermain ‐ Second River Crossing,1580008‐3,12,3127,"$306,800.00"
38,Vesta,Watermain ‐ Repl & Loop South Street,1640012‐5,12,319,"$236,000.00"
39,Dawson,Treatment ‐ Plant Rehab,1370003‐6,12,1540,"$828,700.00"
40,Long Prairie,Watermain ‐ Repl Cast Iron Mains,1770007‐3,12,3396,"$4,546,805.00"
41,Garfield,"Treatment ‐ New Plant, Remove Fe/Mn",1210021‐1,12,308,"$987,527.00"
42,Garfield,Source ‐ New Well,1210021‐2,12,308,"$121,234.00"
43,Wells,Treatment ‐ Lime Softening Plant,1220010‐2,12,2307,"$6,405,000.00"
44,Elbow Lake,Watermain ‐ Replace & Loop 2nd,1260003‐7,12,1200,"$600,000.00"
45,Pelican Rapids,Watermain ‐ Replace & Loop ‐ Phase 2,1560019‐4,12,2374,"$1,904,263.00"
46,Two Harbors,Treatment ‐ Repl Chlorine Contact Tank,1380005‐4,12,3613,"$5,020,142.00"
47,Nielsville,Treatment ‐ Wellhouse Rehab,1600012‐3,12,89,"$271,310.00"
48,Saint James,Watermain ‐ Ring Road Loop,1830006‐8,12,4611,"$296,465.00"
49,Amboy,Treatment ‐ RO for Chlorides,1070001‐2,12,507,"$1,749,665.00"
50,Madelia,Watermain ‐ Looping,1830004‐5,12,2319,"$576,000.00"
51,LaSalle,Watermain ‐ Looping,1830009‐3,12,90,"$332,000.00"
52,Askov,Watermain ‐ Repl & Loop,1580001‐5,12,364,"$1,531,200.00"
53,Mankato,Source ‐ New Well #17,1070009‐7,12,42803,"$4,760,000.00"
54,Sebeka,Watermain ‐ Repl & Loop ‐ Phase 1,1800002‐10,12,676,"$1,251,900.00"
55,Morgan,Treatment ‐ Remove Fe/Mn,1640006‐3,12,896,"$2,650,000.00"
56,Danube,Watermain ‐ Looping,1650004‐4,12,493,"$304,000.00"
