System Name,"MDH2022PPLRank","MDH2022PPLPoints",Project Description,"ProjectNumber",Population,"Est.ConstStart","EstimatedProject Cost","EstimatedDWRF Loan","Est DWRFPrincipalForgivenessNOT FINAL(1)","Estimated WIFGrantNOT FINAL(2)","Other Funds(3)",Status
PART A1:  Carryover Projects From 2019 IUP,,,,,,,,,,,,
Annandale,242,10,"Watermain - Repl Oak, Park, Pleasant",1860002-6,"3,334",Nov-19,"2,354,548","2,354,548",-,-,-,Carryover
PART A2:  Carryover Projects From 2020 IUP,,,,,,,,,,,,
Tower,4,25,Treatment - Plant Improvements,1690051-2,500,Jun-22,"4,500,950","1,125,950",-,-,"3,375,000",Carryover
Two Harbors,46,12,Treatment - Repl Chlorine Contact Tank,1380005-4,"3,613",Sep-21,"5,020,142","1,004,028","1,470,892","2,545,222",-,Carryover
Robbinsdale,319,10,Storage - New Tank & Rehab No. 2,1270046-3,"13,953",Oct-21,"5,257,172","5,257,172",-,-,-,Carryover
Mountain Iron,372,7,Source - New Well,1690035-3,"2,869",Nov-21,"785,973","535,973",-,-,"250,000",Carryover
PART A3:  Carryover Projects From 2021 IUP,,,,,,,,,,,,
Battle Lake,19,13,Source - New Well #5,1560001-5,903,Jun-21,"1,180,556","756,421","424,135",-,-,Carryover
Dawson,39,12,Treatment - Plant Rehab,1370003-6,"1,540",Apr-22,"828,700","165,740",-,"662,960",-,Carryover
Long Prairie,40,12,Watermain - Repl Cast Iron Mains,1770007-3,"3,396",May-22,"4,546,805","4,546,805",-,-,-,Carryover
Askov,52,12,Watermain - Repl & Loop,1580001-5,364,Sep-22,"1,609,367","494,135","1,115,232",-,-,Carryover
Faribault,64,12,Watermain - Northern Loop,1660002-3,"23,718",Jun-21,"522,527","522,527",-,-,-,Carryover
Le Sueur,77,12,Source - New Well #8,1400010-5,"4,050",Aug-21,"2,312,072","2,312,072",-,-,-,Carryover
Henning,139,10,Watermain - Repl CIP on 2nd St.,1560016-7,802,Jun-21,"689,374","137,875",-,"551,499",-,Carryover
Dawson,167,10,Watermain - Replacement - Phase 2,1370003-5,"1,540",Oct-21,"7,550,924","2,550,924",-,"5,000,000",-,Carryover
Dawson,168,10,Conservation - New Meters,1370003-7,"1,540",May-22,"508,000","508,000",-,-,-,Carryover
Eden Valley,174,10,Watermain - Repl North & East,1470012-6,"1,042",May-21,"1,285,832","1,285,832",-,-,-,Carryover
Pipestone,178,10,Watermain - Connect Well #5 to WTP,1590005-6,"4,317",May-22,"909,777","181,955",-,"727,822",-,Carryover
Pipestone,179,10,Watermain - Repl 2nd St. SE,1590005-7,"4,317",May-22,"1,429,364","285,873",-,"1,143,491",-,Carryover
Frazee,199,10,Watermain - Repl Maple Ave to 2nd St.,1030014-4,"1,410",May-22,"506,000","101,200",-,"404,800",-,Carryover
Lanesboro,215,10,Watermain - Repl Kirkwood St.,1230006-4,788,Apr-22,"641,608","128,322",-,"513,286",-,Carryover
Lanesboro,216,10,Watermain - Repl Various Streets,1230006-5,788,Apr-22,"546,555","109,311",-,"437,244",-,Carryover
Detroit Lakes,219,10,Watermain -Repl Willow/Holmes/Frazee St,1030005-4,"9,200",Jun-22,"2,020,500","2,020,500",-,-,-,Carryover
Duluth,224,10,Other - Rehab Middle Booster Station,1690011-10,"85,915",Oct-21,"3,857,531","3,857,531",-,-,-,Carryover
Caledonia,228,10,Source - Well House #8,1280002-4,"2,824",Jul-21,"1,286,324","1,286,324",-,-,-,Carryover
Claremont,246,10,Storage - Tower Rehab,1200001-3,538,May-22,"370,500","370,500",-,-,-,Carryover
Royalton,284,10,Watermain - Repl Cedar St./Driftwood St.,1490006-7,"1,236",May-21,"1,379,000","799,000",-,-,"580,000",Carryover
Saint Paul Regional Water,307,10,Other - Lead Service Line Replacement,1620026-23,"395,131",Apr-21,"500,000",-,"250,000",-,"250,000",Carryover
Two Harbors,308,10,Watermain - Repl 4th St.,1380005-5,"3,718",Nov-21,"388,000","249,429",-,-,"138,571",Carryover
Two Harbors,309,10,Watermain - Repl 7th Ave & 4th St.,1380005-6,"3,718",Nov-21,"477,000","306,643",-,-,"170,357",Carryover
Two Harbors,310,10,Watermain - Repl 7th Ave 11th - 15th St.,1380005-7,"3,718",Nov-21,"815,000","523,929",-,-,"291,071",Carryover
Oronoco,401,7,"Watermain - Install Areas A, C, F, Z.",1550036-2,600,Oct-21,"2,481,577","2,481,577",-,-,-,Carryover
PART B:  New Projects in Fundable Range,,,,,,,,,,,,
Glenville,5,20,Treatment - Water trtmnt plant & wells,1240010-1,670,Sep-22,"4,000,000","4,000,000",-,-,-,Part B
Aurora,12,15,Consolidation - E Mesabi Joint Water Sys,1690002-6,"2,225",Apr-22,"20,494,043","12,994,043",-,-,"7,500,000",Part B
Atwater,15,15,Source - Well & Wellhouse Improvements,1340001-8,"1,014",Jul-22,"1,600,000","1,600,000",-,-,-,Part B
Silver Bay,57,12,Treatment - Plant Improvements,1380003-11,"1,868",Jun-22,"7,200,000","7,200,000",-,-,-,Part B
Hector,73,12,Watermain - looping,1650009-5,972,May-22,"477,000","477,000",-,-,-,Part B
Luverne,74,12,Watermain - Lewis & Clark 2nd Connection,1670004-2,"4,564",Apr-22,"3,000,000","3,000,000",-,-,-,Part B
Le Sueur,75,12,Watermain - New Booster Station & Wtrmn,1400010-9,"4,050",Aug-22,"2,200,000","2,200,000",-,-,-,Part B
Le Sueur,78,12,Treatment - Plant Rehab,1400010-6,"4,050",Aug-22,"4,000,000","4,000,000",-,-,-,Part B
Clearwater,83,12,Source - New Wells & Wellhouse,1860025-5,"1,859",Jun-22,"2,895,000","2,895,000",-,-,-,Part B
Mendota,85,12,Watermain - Area 1 Loop,1190030-2,157,Jun-22,"1,400,000","1,400,000",-,-,-,Part B
Mendota,86,12,Watermain - Area 3 Loop,1190030-4,157,Jun-22,"1,625,000","1,625,000",-,-,-,Part B
Harris,88,12,Watermain - Looping,1130005-5,"1,065",Apr-22,"500,000","500,000",-,-,-,Part B
Harris,89,12,Source - New Well,1130005-6,"1,065",Oct-21,"500,000","500,000",-,-,-,Part B
Zimmerman,90,12,Source - 2 New Wells,1710006-7,"5,657",Jul-22,"850,000","850,000",-,-,-,Part B
Zimmerman,91,12,Treatment - New Pressure Filter Plant,1710006-8,"5,657",Apr-22,"5,900,000","5,900,000",-,-,-,Part B
