Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,CODES,List
18660,Ulster,ELLENVILLE (VILLAGE) WATER DIS / Ellenville (V),"Phase 2 of #15003 - New wells, tank, and water main replacement, New Ground Water Source, Upgrade Storage, Upgrade Distribution System","4,323","$8,250,000",H,"$8,250,000",,Annual
18700,Ulster,ROSENDALE WATER DISTRICT / Rosendale (T),"Phase 2 of project 18111. Cost overrun., Upgrade Surface Water Treatment Rule Compliance Facility, New Ground Water Source, Upgrade Storage, Upgrade Distribution System","2,200","$2,070,000",H,"$10,320,000",,Annual
18721,Onondaga,JORDAN VILLAGE / Jordan (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades. Related to Project Nos. 18719 &18720., Upgrade Storage, Upgrade Distribution System, New System Consolidation","1,400","$3,500,000",H,"$13,820,000",,Annual
17560,Sullivan,THE CALLICOON WATER COMPANY INC / Delaware (T),"Upgrade Water Treatment Plant, Upgrade Ground Water Source",854,$0,H,"$13,820,000",,Annual
17629,Essex,ESSEX WD / Essex (T),"WTP Upgrades and New GW Source., Upgrade Water Treatment Plant, New Ground Water Source",300,$0,H,"$13,820,000",,Annual
17504,Schoharie,CENTRAL BRIDGE WATER DISTRICT / Central Bridge WD,"Upgrade water treatment plant for DBP control and organics removal., Upgrade Water Treatment Plant, Upgrade Distribution System","1,061","$1,000,000",H,"$14,820,000",,Annual
18596,Oneida,VERONA WATER DISTRICT NO. 3 / Verona (T),"Extension of water distribution system, new pump station and storage tank, and rehab to existing storage tank., Upgrade Storage, New Storage, New Pump Station, Extend Distribution System","1,795",$0,H,"$14,820,000",,Annual
18275,Essex,KEESEVILLE V / Chesterfield (T),"WTP, storage, and distribution improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","2,300",$0,H,"$14,820,000",,Annual
18181,Oswego,ORWELL WD / Orwell (T),"New Source to Address Source Capacitiy Violation., Upgrade Ground Water Source",150,$0,H,"$14,820,000",,Annual
15958,Greene,PRATTSVILLE WATER DISTRICT / Prattsville (T),"Adress organics violations and inadequate source capacity, New Ground Water Source",410,"$150,000",H,"$14,970,000",,Annual
18348,Delaware,ROXBURY WATER DISTRICT / Roxbury (T),"Roxbury and Grand Gorge Joint project. , New Surface Water Treatment Rule Compliance Facility, Upgrade Ground Water Source, Upgrade Distribution System",755,$0,H,"$14,970,000",,Annual
18811,Schuyler,WATKINS GLEN VILLAGE / Watkins Glen (V),"Water System Improvements. Address CT and Turbidity Issues, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","2,149",$0,H,"$14,970,000",,Annual
18563,Herkimer,ILION (V) WATER WORKS / Ilion (V),"Medium Priority Distribution Imprvts and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., Upgrade Distribution System, New System Consolidation","8,610",$0,H,"$14,970,000",,Annual
18826,Chautauqua,SINCLAIRVILLE VILLAGE / Sinclairville (V),"Phase 2 of Project #18105., Upgrade Ground Water Source, Upgrade Transmission, Extend Distribution System",772,$0,H,"$14,970,000",,Annual
18338,Delaware,SIDNEY VILLAGE / Sidney (V),"New Ground Water Supply and WTP to Replace Existing Inadequate Wells., Upgrade Ground Water Source, Extend Distribution System, Upgrade Distribution System","5,100",$0,H,"$14,970,000",,Annual
18184,Essex,CROWN POINT WD / Crown Point (T),"Rehab and upgrades to contaminated wells and replacing mains with severe break history., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",995,$0,H,"$14,970,000",,Annual
18907,Cattaraugus,LITTLE VALLEY VILLAGE / Little Valley (V),"Installation of wells, main replacement, and WTP improvements., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System","1,188","$1,700,000",H,"$16,670,000",,Annual
18358,Allegany,ANDOVER (V) / Andover (V),"Water System Improvements on Water Treatment, Watermains & Storage, New Water Treatment Plant, Upgrade Transmission, Upgrade Distribution System, New System Consolidation","2,500","$3,155,000",H,"$19,825,000",,Annual
17976,Otsego,SOUTHSIDE WATER DISTRICT NO. 5 / Oneonta (T),"Southside Water District No. 5. , New Ground Water Source, New Complete System (New System), New Storage, New Distribution System, New Water District","1,570","$1,000,000",H,"$20,825,000",,Annual
18351,Oswego,SANDY CREEK WD3/RICHLAND WD 5 / Sandy Creek (T),"Consolidates 7 regulated PWSs, Upgrade Ground Water Source, New Transmission, New Distribution System","2,600","$3,000,000",H,"$23,825,000",,Annual
18842,Cattaraugus,SOUTH DAYTON (V) / South Dayton (V),"Source and distribution upgrades., Upgrade Ground Water Source, Upgrade Distribution System",660,$0,H,"$23,825,000",,Annual
18941,Broome,ENDICOTT (V) / Endicott (V),"New Source Development to Address Fe/Mn/1,4-dioxane., New Ground Water Source","46,000",$0,H,"$23,825,000",,Annual
18709,Essex,ELIZABETHTOWN WD / Elizabethtown (T),"New well to meet capacity standards, address use of springs (GWUDI), Telemetry & Treatment., Upgrade Water Treatment Plant, New Ground Water Source",800,$0,H,"$23,825,000",,Annual
