Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,CODES,List
19994,Rensselaer,TROY (C) / Troy (C),"Lead Service Line Inventory., Upgrade Distribution System","12,750","$3,517,000",70,"$3,517,000",DAC,IIJA LSLR
19993,Rensselaer,TROY (C) / Troy (C),"Lead Service Line Replacement., Upgrade Distribution System","4,300","$19,580,000",70,"$23,097,000",DAC,IIJA LSLR
19992,Albany,ALBANY (C) / Albany MWFA,"Lead Service Line Replacement., Upgrade Distribution System","3,300","$14,175,102",70,"$37,272,102",DAC,IIJA LSLR
19893,NY City,NEW YORK CITY / NYCMWFA,"Lead Service Line Replacement (Area L)., Upgrade Distribution System","53,316","$13,465,367",40,"$50,737,469",DAC,IIJA LSLR
19892,NY City,NEW YORK CITY / NYCMWFA,"Lead Service Line Replacement (Area K)., Upgrade Distribution System","37,906","$8,677,681",40,"$59,415,150",DAC,IIJA LSLR
19894,NY City,NEW YORK CITY / NYCMWFA,"Lead Service Line Replacement (Area M)., Upgrade Distribution System","31,867","$9,292,766",40,"$68,707,916",DAC,IIJA LSLR
19318,NY City,NEW YORK CITY / NYCMWFA,"Lead Service Line Replacement (Area C)., Upgrade Distribution System","24,872","$5,686,580",40,"$74,394,496",DAC,IIJA LSLR
19620,Otsego,ONEONTA (C) / Oneonta (C),"Lead Service Line Replacement, Upgrade Distribution System","16,000","$1,445,000",40,"$75,839,496",DAC,IIJA LSLR
19319,NY City,NEW YORK CITY / NYCMWFA,"Lead Service Line Replacement (Area D)., Upgrade Distribution System","15,929","$9,780,120",40,"$85,619,616",DAC,IIJA LSLR
19619,Genesee,BATAVIA (C) / Batavia (C),"Lead Service Line Inventory, Upgrade Distribution System","15,600","$772,500",40,"$86,392,116",DAC,IIJA LSLR
19321,NY City,NEW YORK CITY / NYCMWFA,"Lead service line replacement (Area F)., Upgrade Distribution System","15,168","$8,365,970",40,"$94,758,086",DAC,IIJA LSLR
19895,Monroe,ROCHESTER (C) / Rochester (c),"Lead Service Line Replacement, Upgrade Distribution System","13,000","$24,000,000",40,"$118,758,086",DAC,IIJA LSLR
19906,Broome,JOHNSON CITY (V) / Johnson City (V),"Lead Service Line Inventory., Upgrade Distribution System","9,205","$2,510,000",40,"$121,268,086",DAC,IIJA LSLR
19917,Dutchess,POUGHKEEPSIE (C) / Poughkeepsie (C),"Lead Service Line Replacement (Zones 5, 6, and 7 Round 1)., Upgrade Distribution System","4,688","$21,091,860",40,"$142,359,946",DAC,IIJA LSLR
19916,Tompkins,ITHACA (C) / Ithaca (C),"Lead Service Line Replacement., Upgrade Distribution System","4,640","$14,910,000",40,"$157,269,946",DAC,IIJA LSLR
19919,Dutchess,POUGHKEEPSIE (C) / Poughkeepsie (C),"Lead Service Line Replacement (Zones 8, 9, and 10 Round 1)., Upgrade Distribution System","4,503","$19,699,080",40,"$176,969,026",DAC,IIJA LSLR
19915,Tompkins,ITHACA (C) / Ithaca (C),"Lead Service Line Inventory., Upgrade Distribution System","4,100","$1,210,000",40,"$178,179,026",DAC,IIJA LSLR
19991,Oneida,MOHAWK VALLEY WATER AUTH / MVWA,"Lead Service Line Replacement., Upgrade Distribution System","4,048","$11,016,500",40,"$189,195,526",DAC,IIJA LSLR
19990,Herkimer,LITTLE FALLS (C) / Little Falls (C),"Lead Service Line Replacement., Upgrade Distribution System","3,340","$9,541,000",40,"$198,736,526",DAC,IIJA LSLR
