Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,CODES,List
17299,Albany,RAVENA VILLAGE / Ravena (V),"Source, WTP, Storage, and Distribution Improvements., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Distribution System","4,500",$0,1080,$0,,Multi-Year
18903,Albany,ALBANY (C) / Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","98,000",$0,1070,$0,,Multi-Year
19609,Albany,ALBANY (C) / Albany MWFA,"Lead service line inventory., Upgrade Distribution System","100,000",$0,1040,$0,,Multi-Year
19821,Albany,GREEN ISLAND (V) / Green Island (V),"Upgrade Interconnection to Address GWUDI Well and Reduce Unaccounted for Water., Upgrade Water Treatment Plant, Upgrade Distribution System, Upgrade Inter-Connection","3,500","$3,090,000",190,"$3,090,000",,Multi-Year
19814,Albany,RENSSELAERVILLE WATER DISTRICT / Rensselaerville (T),"Replacement of the WTP due to DBP violations and poor water quality., Upgrade Water Treatment Plant",200,"$3,080,100",145,"$6,170,100",,Multi-Year
18535,Albany,WATERVLIET (C) / Watervliet (C),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Transmission","10,450",$0,80,"$6,170,100",,Multi-Year
19992,Albany,ALBANY (C) / Albany MWFA,"Lead Service Line Replacement., Upgrade Distribution System","3,300","$14,175,102",70,"$20,345,202",,Multi-Year
18523,Albany,ALBANY (C) / Albany MWFA,"Feura Bush WTP Upgrades., Upgrade Water Treatment Plant, Upgrade Storage","98,000",$0,65,"$20,345,202",,Multi-Year
19720,Albany,BETHLEHEM (T) / Bethlehem (T),"Clapper Road Trans. Main, Upgrade Transmission","35,000","$1,038,856",55,"$21,384,058",,Multi-Year
18572,Albany,COHOES CITY / Cohoes (C),"WTP Improvements Phase I., Upgrade Water Treatment Plant","15,550","$9,609,256",45,"$30,993,315",,Multi-Year
19558,Albany,ALBANY (C) / Albany MWFA,"Rensselaer Lake Dam Safety Improvements, Upgrade Surface Water Source","98,000","$8,003,000",40,"$38,996,315",,Multi-Year
19730,Albany,WATERVLIET (C) / Watervliet,"Lead service line inventory., Upgrade Distribution System","10,265",$0,40,"$38,996,315",,Multi-Year
