Project.Number,County,System Name,Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,Code
18660,Ulster,ELLENVILLE (VILLAGE) WATER DIS,Ellenville (V),"Phase 2 of #15003 - New Well - replace GWUDI wells & other Improvements, New Ground Water Source, Upgrade Storage, Upgrade Distribution System",4323,2800000,H,2800000,
18700,Ulster,ROSENDALE WATER DISTRICT,Rosendale (T),"Phase 2 of project 18111. Cost overrun., Upgrade Surface Water Treatment Rule Compliance Facility, New Ground Water Source, Upgrade Storage, Upgrade Distribution System",2200,2070000,H,4870000,
18061,Franklin,TUPPER LAKE V,Tupper Lake (V),"New wells to replace SW source and inadequate DE plant., New Ground Water Source, Upgrade Distribution System",5500,0,H,0,
18721,Onondaga,JORDAN VILLAGE,Jordan (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades. Upgrade Storage, Upgrade Distribution System, New System Consolidation",1400,3500000,H,8370000,
17560,Sullivan,THE CALLICOON WATER COMPANY INC,Delaware (T),"Upgrade Water Treatment Plant, Upgrade Ground Water Source",854,0,H,8370000,
18520,Chautauqua,MAYVILLE VILLAGE,Mayville (V),"New Source Development, Storage and Distribution Upgrades., Upgrade Other Expenses, New Ground Water Source, New Storage, Upgrade Distribution System",1856,500000,H,8870000,
17629,Essex,ESSEX WD,Essex (T),"WTP Upgrades and New GW Source., Upgrade Water Treatment Plant, New Ground Water Source",300,0,H,8870000,
18528,Jefferson,PAMELIA WATER SYSTEM PROJECT,Pamelia (T),"Water system improvements and expansion., Upgrade Storage, Upgrade Distribution System, New Inter-Connection, Extend System Consolidation",2000,3750000,H,12620000,
17504,Schoharie,CENTRAL BRIDGE WATER DISTRICT,Central Bridge WD,"Upgrade water treatment plant for DBP control and organics removal., Upgrade Water Treatment Plant, Upgrade Distribution System",1061,0,H,12620000,
18824,Allegany,HUME WATER DISTRICT,Hume (T),"Sanford Springs Consolidation and System Upgrades., Extend Distribution System, Upgrade Distribution System, New System Consolidation",620,600000,H,13220000,
18596,Oneida,RT. 365/SCONONDOA/SNYDER RD WD (SWP),Verona (T),"Extension of water distribution system, new pump station and storage tank, and rehab to existing storage tank., Upgrade Storage, New Storage, New Pump Station, Extend Distribution System",1795,0,H,13220000,
18275,Essex,KEESEVILLE V,Chesterfield (T),"WTP, storage, and distribution improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",2300,0,H,13220000,
15958,Greene,PRATTSVILLE WATER DISTRICT,Prattsville (T),"Address organics violations and inadequate source capacity, New Ground Water Source",410,0,H,13220000,
18348,Delaware,ROXBURY WATER DISTRICT,Roxbury (T),"Roxbury and Grand Gorge Joint project. New Surface Water Treatment Rule Compliance Facility, Upgrade Ground Water Source, Upgrade Distribution System",755,0,H,13220000,
18811,Schuyler,WATKINS GLEN VILLAGE,Watkins Glen (V),"Water System Improvements. Address CT and Turbidity Issues, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",2149,0,H,13220000,
18826,Chautauqua,SINCLAIRVILLE VILLAGE,Sinclairville (V),"Phase 2 of Project #18105., Upgrade Ground Water Source, Upgrade Transmission, Extend Distribution System",772,0,H,13220000,
18418,Jefferson,PHILADELPHIA VILLAGE,Philadelphia (V),"Upgrade Surface Water Source, New Storage, New Pump Station",1800,0,H,13220000,
18338,Delaware,SIDNEY VILLAGE,Sidney (V),"New Ground Water Supply and WTP to Replace Existing Inadequate Wells., Upgrade Ground Water Source, Extend Distribution System, Upgrade Distribution System",5100,0,H,13220000,
17987,Otsego,SOUTHSIDE WATER DISTRICT NO. 6,Oneonta (T),"Southside Water District No. 6., New Ground Water Source, New Complete System (New System), New Storage, New Distribution System, New Water District",1569,0,H,13220000,
18184,Essex,CROWN POINT WD,Crown Point (T),"Rehab and upgrades to contaminated wells and replacing mains with severe break history., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",995,0,H,13220000,
18358,Allegany,ANDOVER (V),Andover (V),"Source (GWUDI Springs), Distribution, & Storage Improvements., New Water Treatment Plant, Upgrade Transmission, Upgrade Distribution System, New System Consolidation",2500,2547345,H,15767345,
18562,Herkimer,ILION (V) WATER WORKS,Ilion (V),"Dedicated Well Transmission Main and High Priority Distribution Improvements., Upgrade Ground Water Source, New Transmission, Upgrade Storage, Upgrade Distribution System",8610,0,H,15767345,
17976,Otsego,SOUTHSIDE WATER DISTRICT NO. 5,Oneonta (T),"Southside Water District No. 5., New Ground Water Source, New Complete System (New System), New Storage, New Distribution System, New Water District",1570,0,H,15767345,
18351,Oswego,SANDY CREEK WD3,RICHLAND WD 5,"Consolidates 7 regulated PWSs, Upgrade Ground Water Source, New Transmission, New Distribution System",2600,3000000,H,18767345,
18842,Cattaraugus,SOUTH DAYTON VILLAGE,South Dayton (V),"Source and distribution upgrades., Upgrade Ground Water Source, Upgrade Distribution System",661,0,H,18767345,
18214,Seneca,WATERLOO VILLAGE,Waterloo (V),"WTP, Distribution, and Storage Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Inter-Connection",7000,0,H,18767345,
18328,Clinton,PLATTSBURGH CITY,Plattsburgh (C),"Phase 1 WTP, Source, Transmission, and Distribution Upgrades., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System",18000,0,H,18767345,
15301,Dutchess,TIVOLI (V),DCWWA,"Upgrade Water Treatment Plant, Upgrade Ground Water Source, New Storage, Upgrade Pump Station, Upgrade Distribution System, New System Consolidation",1035,0,H,18767345,
18768,Steuben,CAMPBELL WATER DISTRICT,Campbell (T),"WD #1 Extension., New Ground Water Source, New System Consolidation",280,0,H,18767345,
18806,Chautauqua,SHERMAN VILLAGE,Sherman (V),"Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",917,0,H,18767345,
