SRF #,Applicant,County,BIL-EC Eligible Project Cost,BIL-EC Grant Award FFY24 IUP
18954,Somers (T)/Somers Hamlet WD,Westchester,"$2,912,700.00","$291,302.00"
19537,Valatie (V),Columbia,"$3,942,100.00","$2,759,470.00"
18972,"Riverhead (T) /Riverhead WD (WD Ext95&96)",Suffolk,"$10,549,704.00","$5,000,000.00"
19580,Jericho WD (PFAS Well #12),Nassau,"$8,622,130.00","$5,000,000.00"
19484,"Port Washington WD (Bar Beach WellNo. 6)",Nassau,"$8,187,470.00","$5,000,000.00"
19015,Franklin Square WD (PFAS Plant 1),Nassau,"$5,150,000.00","$605,000.00"
19338,Albertson WD,Nassau,"$9,685,000.00","$5,000,000.00"
19392,Carle Place WD (Wells 3 & 4),Nassau,"$7,649,000.00","$410,600.00"
19371,Williston Park (V) (Wells 1A & 2),Nassau,"$14,224,300.00","$5,000,000.00"
19233,Sands Point (V) (Wells 3 & 4),Nassau,"$10,609,000.00","$5,000,000.00"
19125,Rushville (V),Ontario,"$1,500,000.00","$51,928.00"
