Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total,DAC
19660,Rensselaer,TROY (C),Troy (C),"Lead service line replacement., Upgrade Distribution System",4300,12823000,70,12823000,DAC
19609,Albany,ALBANY (C),Albany (C),"Lead service line inventory., Upgrade Distribution System",100000,2000000,40,14823000,DAC
19599,NY City,NEW YORK CITY,NYCMWFA,"Lead Service Line Replacement (Area J)., Upgrade Distribution System",82433,5984608,40,20807608,DAC
19596,NY City,NEW YORK CITY,NYCMWFA,"Lead Service Line Replacement (Area I)., Upgrade Distribution System",76002,8744177,40,29551785,DAC
19594,NY City,NEW YORK CITY,NYCMWFA,"Lead Service Line Replacement (Area H)., Upgrade Distribution System",71010,7580503,40,37132288,DAC
19610,Oneida,MVWA,Mohawk Valley WA,"Lead Service Line Inventory., Upgrade Distribution System",64723,2335000,40,39467288,DAC
19450,Schenectady,SCHENECTADY (C),Schenectady (C),"Lead service line inventory., Upgrade Distribution System",62000,636025,40,40103313,DAC
19595,NY City,NEW YORK CITY,NYCMWFA,"Lead Service Line Replacement (Area G)., Upgrade Distribution System",59637,11354131,40,51457444,DAC
19320,NY City,NEW YORK CITY,NYCMWFA,"Lead service line replacement (Area E)., Upgrade Distribution System",37749,14411320,40,65868764,DAC
19402,Dutchess,CITY OF POUGHKEEPSIE,Poughkeepsie (C),"Lead Service Line Inventory., Upgrade Distribution System",32000,2453300,40,68322064,DAC
19318,NY City,NEW YORK CITY,NYCMWFA,"Lead service line replacement (Area C)., Upgrade Distribution System",24872,5686580,40,74008644,DAC
19290,Niagara,LOCKPORT (C),Lockport (C),"Lead Service Line Inventory., Upgrade Distribution System",20722,124630,40,74133274,DAC
19618,Monroe,ROCHESTER (C),Rochester (C),"Lead Service Line Replacement, Upgrade Distribution System",18000,32527000,40,106660274,DAC
19319,NY City,NEW YORK CITY,NYCMWFA,"Lead service line replacement (Area D)., Upgrade Distribution System",15929,9780120,40,116440394,DAC
19321,NY City,NEW YORK CITY,NYCMWFA,"Lead service line replacement (Area F)., Upgrade Distribution System",15168,8365970,40,124806364,DAC
19623,Yates,PENN YAN (V),Penn Yan (V),"Lead Service Line Inventory, Upgrade Distribution System",11436,2060000,40,126866364,DAC
19730,Albany,WATERVLIET (C),Watervliet,"Lead service line inventory., Upgrade Distribution System",10265,515000,40,127381364,DAC
19627,Orange,PORT JERVIS WD,Port Jervis (C),"Lead Service Line Inventory., Upgrade Distribution System",8775,1874266,40,129255630,DAC
19456,Albany,ALBANY (C),Albany (C),"Lead service line replacement., Upgrade Distribution System",7725,12864426,40,142120056,DAC
19396,Ulster,NEW PALTZ (V),New Paltz (V),"Lead Service Line Inventory., Upgrade Distribution System",7324,193125,40,142313181,DAC
19385,Steuben,BATH (V),Bath (V),"Lead service line replacement., Upgrade Distribution System",5432,1561000,40,143874181,DAC
19629,Greene,CATSKILL (V),Catskill (V),"Lead Service Line Inventory., Upgrade Distribution System",5000,1272369,40,145146550,DAC
