COUNTY,epic_merge_id,PWSID,PROJECT COST,DEP PROJECT RATING,APPLICANT,STREET ADDRESS,PROJECT TYPE,CITY,PROJRANK,FUND SOURCE,MTGDATE,REGION,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN CATEGORY,GREEN PROJECT,BUSINESS CASE,GREEN AMOUNT
BEAVER,1,5040006,"$3,129,000.00",91,"WIFTA- MUN. WTR. AUTH OF ALIQUIPPA- LEAD 
SERVICE LINE REPL. PHASE II",160 HOPEWELL AVENUE,DS,ALIQUIPPA,1,DWSRF,10/20/21,V,"The scope of this project includes the replacement of an estimated 275 existing lead water service lines, determined from soft dig #3 
and soft dig #4 contracts, from the main line to property line (curb box) with 3/4"" copper water service lines. To determine the material 
type of the service lines a contractor has been contracted to excavate roughly 90 sites from soft dig #3 and 590 sites from soft dig #4 
via vacuum truck for visual inspection of the service lines. The replacements will occur in the City of Aliquippa. MWAA is committed to 
replacing the private side of the service lateral. For the private side of the service lines, it is assumed that roughly 10% of the total 
sites are lead, or 28 private side service lines to be replaced.  Based on historic experience and a limited field verification, a value of 
10% of the service lines that contain lead on the public side will also contain lead on the private side.  Confirmation on the private side 
will be conducted via excavation during replacement of the public side service. Construction proposes service line replacement 
including corporation at the main, curb box, and connection to existing just outside of structure wall, trench restoration, curb, sidewalk, 
walkway, lawn, and roadway restoration, and all appurtenances required for complete construction.
PROB. DESCRIPTION: The purpose of this project is to remove existing lead service lines in the Municipal Water Authority of Aliquippa (MWAA) service 
area to improve the overall water quality and potentially reduce the health risk that is present due to the aging lines. Lead in 
drinking water can cause brain and kidney damage, and interfere with the production of red blood cells that carry oxygen to all 
parts of the body. The greatest risk of lead exposure is to infants, young children and pregnant women. Studies have shown that 
the effects of lead on the brain correlate with lowered IQ in children. The Lead and Copper Rule was established to protect public 
health by minimizing lead and copper levels in drinking water, primarily by making water less corrosive. When the water is 
corrosive, the lead and copper found in plumbing materials can leach into drinking water. In addition to these requirements, the 
removal of lead lines in the system has become a priority and system will replace lead service line to reduce lead from the water 
supply.","The purpose of this project is to remove existing lead service lines in the Municipal Water Authority of Aliquippa (MWAA) service 
area to improve the overall water quality and potentially reduce the health risk that is present due to the aging lines. Lead in 
drinking water can cause brain and kidney damage, and interfere with the production of red blood cells that carry oxygen to all 
parts of the body. The greatest risk of lead exposure is to infants, young children and pregnant women. Studies have shown that 
the effects of lead on the brain correlate with lowered IQ in children. The Lead and Copper Rule was established to protect public 
health by minimizing lead and copper levels in drinking water, primarily by making water less corrosive. When the water is 
corrosive, the lead and copper found in plumbing materials can leach into drinking water. In addition to these requirements, the 
removal of lead lines in the system has become a priority and system will replace lead service line to reduce lead from the water 
supply.","14,250",116,N/A,No,N/A,$0.00
INDIANA,2,5320016,"$1,111,000.00",85,"GLEN CAMPBELL BOROUGH - WATER SYSTEM 
IMPROVEMENTS PROJECT",MAIN ST,"TREAT, WS",GLEN CAMPBELL,2,DWSRF,7/23/21,VI,"Glen Campbell Borough will undertake upgrades and improvements for the treatment of iron, manganese and barium, improvement at 
100,000-gallon storage tank for long-term viability and waterline upgrades. Work is required as per Consent Order and Agreement 
signed on  June 16, 2020
PROB. DESCRIPTION: Iron, Manganese and Barium levels in raw water source, 100,000-gallon storage tank in disrepair, WTP in need of upgrades and 
improvements. Project will improve quality of water for the service area.","Iron, Manganese and Barium levels in raw water source, 100,000-gallon storage tank in disrepair, WTP in need of upgrades and 
improvements. Project will improve quality of water for the service area.",260,116,N/A,No,N/A,$0.00
SOMERSET,3,4560037,"$4,636,000.00",81,"HOOVERSVILLE BOROUGH -WATER SYSTEM 
IMPROVEMENTS",BOX 176,DS,HOOVERSVILLE,3,DWSRF,10/20/21,V,"The proposed project includes an interconnection line with the Conemaugh Township Municipal Authority's (CTMA's) system, which 
will be the source of potable water for the Borough. The current treatment plant is anticipated to be abandoned upon project 
completion. In addition, the proposed project will include the replacement of approximately 14,000 linear feet of existing waterline, the 
construction of one (1) pump station, the installation of 20 fire hydrants, and the replacement of 190 customer meters.
PROB. DESCRIPTION: The proposed project includes an interconnection line with the Conemaugh Township Municipal Authority's (CTMA's) system, 
which will be the source of potable water for the Borough. Project will help Borough supply consistent potable water to its 
customer.","The proposed project includes an interconnection line with the Conemaugh Township Municipal Authority's (CTMA's) system, 
which will be the source of potable water for the Borough. Project will help Borough supply consistent potable water to its 
customer.",879,116,N/A,No,N/A,$0.00
WARREN,4,6620032,"$1,043,000.00",75,"SOUTHWEST WARREN COUNTY MUNICIPAL 
AUTHORITY (SWCMA) UPGRADE",P O BOX 132,"WS, DS, LSL",TIDOUTE,4,DWSRF,7/23/21,VI,"The project includes the installation of a 40,600 gallon precast concrete tank and 188 LF of 8” PVC pipe to provide the necessary 
volume for adequate chlorine contact time and be able to meet the required log inactivation of Giardia. A prefabricated fiberglass 
building housing equipment to continuously monitor chlorine levels at the entry point will be installed. The project also includes 3 
additional gate valves, connections to existing piping at two places, related electrical and control system modifications, and other 
minor plant modifications. Additionally, approx. 1,250 LF of water distribution pipe on Elm Street will be replaced (to eliminate all lead 
components including 9 service connections goosenecks, bell housings, valving, etc., 6 new gate valves, 2 new fire hydrant 
assemblies, 9 new service line installations including new curb boxes and curb stops and connections to the existing distribution 
system at three places.
PROB. DESCRIPTION: On August 21, 2020, the Department entered a Consent Order and Agreement with SWCMA, to solve compliance issues related 
to insufficient chlorine contact time CT required for Giardia log inactivation (related to a problem with air accumulating in a 24” 
pipe that currently provides chlorine contact volume), and lack of monitoring and recording equipment to monitor free chlorine 
levels at the entry point and in the distribution system.  Three sand filter bays did not pass the standard requirements for slow 
sand filtration plant as confirmed during the FPPE. These problems have led to an ""Unacceptable"" FPPE. Additionally, a section 
of  the distribution system on Elm Street, Tidioute contains antiquated (circa 1900) cast iron waterline with Lead components. 
The system has also a problem with elevated level of DBP (HAAS5) above the MCL.","On August 21, 2020, the Department entered a Consent Order and Agreement with SWCMA, to solve compliance issues related 
to insufficient chlorine contact time CT required for Giardia log inactivation (related to a problem with air accumulating in a 24” 
pipe that currently provides chlorine contact volume), and lack of monitoring and recording equipment to monitor free chlorine 
levels at the entry point and in the distribution system.  Three sand filter bays did not pass the standard requirements for slow 
sand filtration plant as confirmed during the FPPE. These problems have led to an ""Unacceptable"" FPPE. Additionally, a section 
of  the distribution system on Elm Street, Tidioute contains antiquated (circa 1900) cast iron waterline with Lead components. 
The system has also a problem with elevated level of DBP (HAAS5) above the MCL.","1,040",90,N/A,No,N/A,$0.00
ALLEGHENY,5,5020038,"$4,706,512.00",71,"WIFTA - PITTSBURGH WATER & SEWER 
AUTHORITY - 2021 LSLR PROJECT",441 SMITHFIELD ST.,"DS, LSL",PITTSBURGH,5,DWSRF,10/20/21,V,"PWSA is requesting funding to provide for the replacement of 200 public and 167 private LSLR at a cost of $4,706,512.  All 
replacements will be 1-inch diameter with the public side being replaced by PEX and the private side being replaced by copper with a 
public length of approximately 3000’ and private length of approximately 4,000’ for a total of 7,000’.  The locations proposed for 
replacement are Priority Lead Service Line Replacement locations, including Child Care Facilities and residences where lead elevated 
lead levels have been measured. While these locations will otherwise be replaced as part of a water main replacement project or 
future neighborhood replacement project, they either have sensitive populations using the water (Child Care facilities) or represent a 
location where orthophosphate is not effective. Due to their individual situation, these sites can be prioritized with this grant award.
PROB. DESCRIPTION: Since the start of PWSA’s LSLR programs, almost 8,600 public and over 5,600 private LSLs have been replaced throughout 
PWSA’s water service area. One area of need that has not been addressed throughout these programs, however, is what PWSA 
is terming “Priority LSLR” locations. These locations will consist of 1. Child Care Facilities – Many of the childcare facilities are in 
smaller buildings that formerly were homes or are in a portion of a residential dwelling, and are potentially served by a LSL. While 
PWSA plans to replace all LSLs within the water service area by 2026, childcare facilities serve the most sensitive population 
and should be prioritized. PWSA is in the process of identifying childcare facilities throughout our water service area and 
determining how many of these locations have a lead or unknown service line that needs to be verified and replaced. We 
anticipate that there will be between 100 and 150 of these sites. 2. Locations with elevated lead levels – PWSA offers a customer 
request (CR) sampling program and also conducts sampling in accordance with the Lead and Copper Rule (LCR). Since late 
2019, after the implementation of orthophosphate in the drinking water system, PWSA has developed a program (that is still 
evolving) to investigate locations where the results of the sampling programs indicate elevated levels of lead in drinking water.","Since the start of PWSA’s LSLR programs, almost 8,600 public and over 5,600 private LSLs have been replaced throughout 
PWSA’s water service area. One area of need that has not been addressed throughout these programs, however, is what PWSA 
is terming “Priority LSLR” locations. These locations will consist of 1. Child Care Facilities – Many of the childcare facilities are in 
smaller buildings that formerly were homes or are in a portion of a residential dwelling, and are potentially served by a LSL. While 
PWSA plans to replace all LSLs within the water service area by 2026, childcare facilities serve the most sensitive population 
and should be prioritized. PWSA is in the process of identifying childcare facilities throughout our water service area and 
determining how many of these locations have a lead or unknown service line that needs to be verified and replaced. We 
anticipate that there will be between 100 and 150 of these sites. 2. Locations with elevated lead levels – PWSA offers a customer 
request (CR) sampling program and also conducts sampling in accordance with the Lead and Copper Rule (LCR). Since late 
2019, after the implementation of orthophosphate in the drinking water system, PWSA has developed a program (that is still 
evolving) to investigate locations where the results of the sampling programs indicate elevated levels of lead in drinking water.","520,000",86,N/A,No,N/A,$0.00
FULTON,6,4290005,"$901,500.00",68,"MCCONNELLSBURG BOROUGH MUNICIPAL 
AUTH WTP DISINFECTION IMP.",215 N. 3RD ST.,WS,MCCONNELLSBURG,6,STATE BYPASS,7/23/21,III,"The Authority will be installing approximately 400 linear feet of 48-inch diameter ductile iron contact piping between the plant and 
storage tank. This will allow the 0.5 million gallon capacity tank to be used for finished water storage.
PROB. DESCRIPTION: The Authority is currently using the 0.5 million gallon tank to calculate 1-log Giardia inactivation, while also allowing the tank to 
float on the distribution system. This type of operation allows finished water to be mixed within the tank with untreated water, 
which interferes with the unidirectional, plug flow conditions used for Contact Time (CT) calculations.","The Authority is currently using the 0.5 million gallon tank to calculate 1-log Giardia inactivation, while also allowing the tank to 
float on the distribution system. This type of operation allows finished water to be mixed within the tank with untreated water, 
which interferes with the unidirectional, plug flow conditions used for Contact Time (CT) calculations.","2,000",83,N/A,No,N/A,$0.00
DAUPHIN,7,7220044,"$6,700,809.00",65,"SUSQUEHANNA AREA REG. AIRPORT 
AUTHORITY - WELL & TREATMENT PLANT PFAS",208 AIRPORT DRIVE,TREAT,MIDDLETOWN,7,STATE BYPASS,5/26/22,III,"The project proposes to install a Granular Activated Carbon (GAC) filter system for treatment of PFOS, as well as upgrades to 
electrical equipment, well pump and pump controls, supervisory control PLC system, GAC building and roof, water 
softener/brine/feed/dilution water system, chlorinator and chlorine analyzer, and finished water system. The project also proposes to 
remove the existing air strippers.
PROB. DESCRIPTION: The project is for water treatment plant and well upgrades, to treat existing elevated PFOS in the drinking water at SARAA's 
Harrisburg International Airport drinking water treatment facility. The project will help reduce PFOS level from finished water.","The project is for water treatment plant and well upgrades, to treat existing elevated PFOS in the drinking water at SARAA's 
Harrisburg International Airport drinking water treatment facility. The project will help reduce PFOS level from finished water.","6,000",75,N/A,No,N/A,$0.00
WESTMORELAND,8,5650080,"$5,525,000.00",59,"LIGONIER TWP. M.A. - WATER SYSTEM 
IMPROVEMENTS",16 OLD LINCOLN HIGHWAY WEST,"WS, DS, PS",LIGONIER,8,DWSRF,7/23/21,V,"The proposed project is a number of upgrades to Ligonier Township Municipal Authority’s distribution system. These include the 
construction of a 250,000-gallon glass-fused-to-steel water storage tank; the construction of four (4) pressure reducing vaults, five (5) 
new booster pump stations, upgrades to the existing Waterford Waterworks Control Building, installation of new waterline for looping, 
and the replacement of existing waterline. The project area will include Ligonier Township, Ligonier Borough, and Fairfield Township. 
These improvements will remedy pressure issues within the system by boosting pressure in low pressure areas, reducing pressure in 
high pressure areas, and creating distribution main looping to improve service pressures. The new storage tank will also mitigate the 
impact of high-volume users on the system. The project will result in minimum interruptions to water service due to most of the project 
involving the construction of new infrastructure.
PROB. DESCRIPTION: Ligonier Township Municipal Authority currently owns and operates a public water supply system in Ligonier Township, Ligonier 
Borough, and Fairfield Township. The Authority is facing issues of aging infrastructure resulting in customer service issues. 
These issues include low or high pressure, lack of capacity, water losses, lack of redundancy, and general aging of existing 
distribution infrastructure. Significant users also create large pressure drops during periods of high use. These pressure 
fluctuations can damage water lines and leave residential users with low pressures. The proposed project is to remedy these 
issues with a new water tank, new waterline, and additional booster pump stations and pressure reducing stations.","Ligonier Township Municipal Authority currently owns and operates a public water supply system in Ligonier Township, Ligonier 
Borough, and Fairfield Township. The Authority is facing issues of aging infrastructure resulting in customer service issues. 
These issues include low or high pressure, lack of capacity, water losses, lack of redundancy, and general aging of existing 
distribution infrastructure. Significant users also create large pressure drops during periods of high use. These pressure 
fluctuations can damage water lines and leave residential users with low pressures. The proposed project is to remedy these 
issues with a new water tank, new waterline, and additional booster pump stations and pressure reducing stations.","3,293",74,N/A,No,N/A,$0.00
MERCER,9,6430037,"$8,980,553.00",59,"GREENVILLE BOROUGH M. A.- 2022 WATER 
SYSTEM PROJECTS","44 CLINTON STREET, P O BOX 638","DS, LSL",GREENVILLE,9,STATE BYPASS,4/20/22,VI,"GMWA proposes to replace approximately 25,600 L.F. of existing leaded-joint, cast-iron pipe with C900 PVC mains and replacing 
about 275 service connections, associated hydrants, valves, and appurtenances. Additionally, the Hadley Road Booster pump station 
will be replaced. The site of the new booster pump station will improve connectivity and hydraulic conditions in the booster pressure 
zone. The new piping arrangement will reduce water age and increase water quality
PROB. DESCRIPTION: This is Phase II of the Authority Lead waterlines replacement. Approximately 25,600 L.F. of existing leaded-joint were identified 
throughout the distribution system. The aged waterlines are cast-iron and experience frequent breaks. Also, the existing Hadley 
Road Pump Station building was built in the early 1900s and does not meet current codes due to age. These lead in the 
distribution system pose a risk to public health and need removed from the system, project will help reduce/eliminate lead from 
the water supply.","This is Phase II of the Authority Lead waterlines replacement. Approximately 25,600 L.F. of existing leaded-joint were identified 
throughout the distribution system. The aged waterlines are cast-iron and experience frequent breaks. Also, the existing Hadley 
Road Pump Station building was built in the early 1900s and does not meet current codes due to age. These lead in the 
distribution system pose a risk to public health and need removed from the system, project will help reduce/eliminate lead from 
the water supply.","8,600",84,N/A,No,N/A,$0.00
JEFFERSON,10,6330008,"$3,320,997.00",59,"KNOX TWP MA WATER TREATMENT PLANT & 
SYSTEM UPGRADES PROJECT",PO BOX 130,"TREAT,DS, METER,",KNOXDALE,10,DWSRF,7/23/21,VI,"Authority proposes to replace the water treatment plant in its entirety, installing a tank mixer, and making upgrades to the water 
system that include meter pit and curb stop installation, replacement of meters with AMR, and replacement of water service lines from 
the main line to the property line. A new masonry building will be constructed adjacent to the existing WTP. All equipment is proposed 
to be replaced “like-kind” and there will be no changes to the current treatment process. The new WTP will include a separate 
chemical room as specified and shown on the drawing. A welded steel factory-built package treatment system includes chemical feed 
system equipment, manganese greensand filters, water softeners, valves, piping, grating floor drains and appurtenances will be 
installed as specified. A new 2-inch raw water supply line will be installed from well to the new WTP. The existing supply line from the 
well to the existing WTP will be abandoned after the new WTP is authorized to operate. Chemicals will be injected into the raw water 
supply line before the line enters the new treatment room.
PROB. DESCRIPTION: The treatment plant is over 25-years old and is also experiencing deterioration and disrepair of existing facilities.  The existing 
softener units do not function properly and are malfunctioning.  Additionally, the water treatment plant does not have a generator 
of their own and currently has an agreement with the Knox Township Volunteer Fire Company to utilize the fire company's 
generator in the event of an emergency.  Also, the standpipe experiences temperature stratification and has a twenty-degree 
temperature difference.  This can lead to water quality issues, such as loss of chlorine residual and tank freezing. In addition, 
many parts on the manganese green sand filters and softeners are no longer manufactured.  While the water treatment plant is 
still operational, it is becoming increasingly difficult to maintain compliance with the existing equipment reaching the end of its 
service life.  In addition, the existing plant could use upgrades to the electrical and internal plumbing components.  Much of the 
electrical wiring is located within the block walls, making repairs and upgrades difficult.  Additionally, the plumbing for the sink is 
located within the block walls, which sometimes freezes during extreme cold periods.  The heating unit for the water treatment 
plant building frequently fails and malfunctions. Service meters are old and leaking which causes incorrect reading.","The treatment plant is over 25-years old and is also experiencing deterioration and disrepair of existing facilities.  The existing 
softener units do not function properly and are malfunctioning.  Additionally, the water treatment plant does not have a generator 
of their own and currently has an agreement with the Knox Township Volunteer Fire Company to utilize the fire company's 
generator in the event of an emergency.  Also, the standpipe experiences temperature stratification and has a twenty-degree 
temperature difference.  This can lead to water quality issues, such as loss of chlorine residual and tank freezing. In addition, 
many parts on the manganese green sand filters and softeners are no longer manufactured.  While the water treatment plant is 
still operational, it is becoming increasingly difficult to maintain compliance with the existing equipment reaching the end of its 
service life.  In addition, the existing plant could use upgrades to the electrical and internal plumbing components.  Much of the 
electrical wiring is located within the block walls, making repairs and upgrades difficult.  Additionally, the plumbing for the sink is 
located within the block walls, which sometimes freezes during extreme cold periods.  The heating unit for the water treatment 
plant building frequently fails and malfunctions. Service meters are old and leaking which causes incorrect reading.",300,84,Water Efficiency,Yes,N/A,"$313,575.00"
