Entity,epic_project_id,Project,PWSID,Population,County,Estimated.Loan.Amount,Loan.Type,Estimated.Award.Date,Rate
Adams County Regional Water Dist,1,ARPA Water System Improvements,OH0100012,"6,500",Adams,"$2,120,600.00",Construction,Oct-22,STD
Adams County Regional Water Dist,2,Winchester Industrial Park Water System Improvements,OH0100012,"25,000",Adams,"$2,434,000.00",Construction,Oct-22,REG
Addyston,3,Distribution and Transmission Main Replacement,OH3100012,884,Hamilton,"$421,674.00",Design,Aug-22,PLN/DES
Addyston,4,Distribution and Transmission Main Replacement,OH3100012,900,Hamilton,"$6,248,572.00",Construction,Jun-23,SML
Addyston,5,Lead Service Line Replacement,OH3100012,884,Hamilton,"$88,269.00",Design,Aug-22,PLN/DES
Addyston,6,Lead Service Line Replacement,OH3100012,900,Hamilton,"$1,881,488.00",Construction,Jun-23,LSL
Addyston,7,Sekitan Avenue Lead Service Line Replacement,OH3100012,900,Hamilton,"$558,394.00",Construction,Jun-23,LSL
Addyston,8,Sekitan Avenue Water Main and LSL Replacement,OH3100012,884,Hamilton,"$79,233.00",Design,Aug-22,PLN/DES
Addyston,9,Sekitan Avenue Water Main Replacement,OH3100012,900,Hamilton,"$795,577.00",Construction,Jun-23,SML
Akron,10,Archwood Pumping Station Improvement,OH7700011,"280,000",Summit,"$830,000.00",Construction,Jun-23,STD
Akron,11,Brittain Road Reservoir Replacement Construction,OH7700011,"280,000",Summit,"$20,000,000.00",Construction,Aug-22,STD
Akron,12,Caustic Soda Feed System Replacement,OH7700011,"280,000",Summit,"$1,726,903.00",Construction,Jul-22,STD
Akron,13,Emergency Connection to Cleveland Water,OH7700011,"280,000",Summit,"$100,000,000.00",Construction,May-23,STD
Akron,14,Home Avenue Utility Crossing over the Little Cuyahoga River,OH7700011,"280,000",Summit,"$317,400.00",Construction,Sep-22,STD
Akron,15,Lead Service Line Replacement Program 2022,OH7700011,"280,000",Summit,"$5,000,000.00",Construction,Sep-22,LSL
Akron,16,NSSM Booster Station Replacement,OH7700011,"280,000",Summit,"$1,520,990.00",Construction,Jul-22,STD
Akron,17,Pumping Station Improvements Quayle,OH7700011,"280,000",Summit,"$500,000.00",Construction,Sep-22,STD
