Entity,epic_project_id,Project,County,Estimated.Loan.Amount,Estimated.LSL.Eligible.Costs,Loan.Type,Estimated.Award.Date,Rate
Addyston,5,Lead Service Line Replacement,Hamilton,"$88,269.00","$88,269.00",Design,Jun-23,PLN/DES
Addyston,6,Lead Service Line Replacement,Hamilton,"$1,881,488.00","$1,881,488.00",Construction,Jun-23,LSL
Addyston,8,Sekitan Avenue Water Main and LSL Replacement,Hamilton,"$79,233.00","$22,057.00",Design,Jan-23,PLN/DES
Addyston,7,Sekitan Avenue Lead Service Line Replacement,Hamilton,"$558,394.00","$558,394.00",Construction,Jun-23,LSL
Akron,15,Lead Service Line Replacement Program 2022,Summit,"$5,000,000.00","$5,000,000.00",Construction,Sep-22,LSL
Alliance,22,"Lead Service Line Replacement Project, Phase 3",Stark,"$1,000,000.00","$1,000,000.00",Construction,Jun-23,LSL
Bellaire,43,Lead Service Line Replacement,Belmont,"$1,000,000.00","$1,000,000.00",Construction,Sep-22,LSL
Bowerston,54,Water System (LSLR) Improvements Project,Harrison,"$225,000.00","$225,000.00",Construction,Mar-23,LSL
Cadiz,66,Lead Service Line Replacement Project,Harrison,"$578,000.00","$578,000.00",Construction,Sep-22,LSL
Cincinnati,82,Apple Cooper Hanfield Water Main Replacement,Hamilton,"$2,307,000.00","$963,300.00",Construction,May-23,STD/LSL
Cincinnati,83,Bevis Bonaparte Clarion Water Main Replacement,Hamilton,"$2,665,000.00","$1,453,500.00",Construction,May-23,STD/LSL
Cincinnati,84,Burch East Hill Shaw Water Main Replacement,Hamilton,"$2,422,000.00","$991,800.00",Construction,May-23,STD/LSL
Cincinnati,85,Cappel Drive Waterline Replacement,Hamilton,"$2,422,000.00","$991,800.00",Construction,May-23,STD/LSL
Cincinnati,86,Carson Avenue Waterline Replacement,Hamilton,"$2,485,000.00","$1,111,500.00",Construction,May-23,STD/LSL
Cincinnati,87,CUF Water Main Replacement,Hamilton,"$2,111,000.00","$780,900.00",Construction,May-23,STD/LSL
Cincinnati,88,Dayton Horace Naeher Water Main Replacement,Hamilton,"$2,979,000.00","$1,100,100.00",Construction,May-23,STD/LSL
Cincinnati,89,Dunore Road Waterline Replacement,Hamilton,"$593,000.00","$5,700.00",Construction,May-23,STD/LSL
Cincinnati,90,E. McMillan Street Waterline Replacement,Hamilton,"$1,614,000.00","$216,600.00",Construction,May-23,STD/LSL
Cincinnati,91,East Price Hill Water Main Replacement,Hamilton,"$3,321,000.00","$1,179,900.00",Construction,May-23,STD/LSL
Cincinnati,92,Fairview Graham Probasco Water Main Replacement,Hamilton,"$2,817,000.00","$1,362,300.00",Construction,May-23,STD/LSL
Cincinnati,93,Fire Flow Collection Waterline Replacement,Hamilton,"$2,913,000.00","$974,700.00",Construction,May-23,STD/LSL
Cincinnati,94,Hyde Park Water Main Replacement,Hamilton,"$2,688,000.00","$1,117,200.00",Construction,May-23,STD/LSL
Cincinnati,95,Lisbon Avenue Waterline Replacement,Hamilton,"$2,006,000.00","$11,400.00",Construction,May-23,STD/LSL
Cincinnati,96,Symmes Fowler Water Main Replacement,Hamilton,"$5,561,000.00","$1,065,900.00",Construction,May-23,STD/LSL
Cincinnati,97,West Price Hill Water Main Replacement,Hamilton,"$2,810,000.00","$969,000.00",Construction,May-23,STD/LSL
"Del-Co Water Company, Inc.",140,Centerburg Lead Service Line Replacement,Delaware,"$175,450.00","$175,450.00",Construction,Oct-22,LSL
Delphos,142,South Main Street Water Service Replacement,Allen,"$1,433,515.00","$620,135.00",Construction,Jul-22,SML/LSL
Dunkirk,143,Lead Service Line and Water Line Replacement,Hardin,"$4,621,200.00","$1,020,000.00",Construction,Jun-23,SML/LSL
Dunkirk,144,Lead Service Line and Waterline Replacement,Hardin,"$407,000.00","$89,834.00",Design,Aug-22,PLN/DES
East Palestine,145,Waterline Replacement Project,Columbiana,"$5,605,510.00","$500,000.00",Construction,Apr-23,DIS/LSL
Elyria,152,City of Elyria Lead Service Line Replacement Project #3,Lorain,"$1,000,000.00","$1,000,000.00",Construction,Jul-22,LSL
Glendale,170,Water Treatment System Upgrades*,Hamilton,"$2,003,883.00","$873,000.00",Construction,Jun-23,SML/LSL
Glenmont,171,Water Line and Household Lead Line Replacement*,Holmes,"$1,766,850.00","$301,950.00",Construction,Jan-23,SML/LSL
Glenmont,172,Waterline and Household Lead Line Replacement,Holmes,"$365,700.00","$100,000.00",Design,Jul-22,PLN/DES
Hubbard,212,2022 Lead Service Line Replacement*,Trumbull,"$180,000.00","$180,000.00",Construction,Dec-22,LSL
Hubbard,213,2023 Lead Service Line Replacement Project*,Trumbull,"$250,000.00","$250,000.00",Construction,Apr-23,LSL
Hubbard,214,South Main St Waterline Replacement*,Trumbull,"$60,000.00","$10,000.00",Design,Dec-22,PLN/DES
Hubbard,215,South Main Street Waterline Replacement (Lincoln to Helen)*,Trumbull,"$680,000.00","$100,000.00",Construction,Jun-23,SML/LSL
Kenton,242,Downtown Revitalization Phase 2 (WL and LSLR),Hardin,"$6,519,108.00","$511,500.00",Construction,Dec-22,DIS/LSL
Licking County,261,Harbor Hills Watermain and Lead Service Line Replacement*,Licking,"$11,000,000.00","$1,300,000.00",Construction,Jan-23,SML/LSL
Licking County,267,Prescott Estates Water Line and New Tank*,Licking,"$2,901,300.00","$466,000.00",Construction,Feb-23,SML/LSL
Licking County - Harbor Hills,262,Water Main and Lead Service Line Replacement*,Licking,"$950,000.00","$369,204.00",Design,Aug-22,PLN/DES
Lockland,273,Water Treatment System Upgrades,Hamilton,"$9,900,000.00","$900,000.00",Construction,Jun-23,SML/LSL
Lorain,280,2023 Lead Service line Replacement Project,Lorain,"$5,000,000.00","$5,000,000.00",Construction,May-23,LSL
Malvern,295,Phase 1 Waterline Replacement,Carroll,"$506,000.00","$17,750.00",Construction,Sep-22,DIS/LSL
Malvern,296,Waterline Replacement Phase 2,Carroll,"$3,886,000.00","$62,000.00",Construction,Jun-23,DIS/LSL
New London,329,Coleman Court/Clinton Street Lead Waterline Replacement,Huron,"$369,204.00","$369,204.00",Construction,Jun-23,LSL
North Baltimore,331,Watermain Replacement Project,Wood,"$4,838,251.00","$30,000.00",Construction,Oct-22,SML/LSL
Port Clinton,359,Water and Sanitary Sewer Infrastructure Improvements,Ottawa,"$10,704,265.00","$750,000.00",Construction,Jun-23,REG/LSL
Proctorville,368,Lead Service Line Replacement,Lawrence,"$150,000.00","$150,000.00",Construction,Oct-22,LSL
Scio,378,Waterline and Household Line Replacement,Harrison,"$258,890.00","$258,890.00",Construction,Aug-22,LSL
Toronto,441,E. 5th St/Myers St Waterline & Lead Line Replacement,Jefferson,"$169,344.00","$32,658.00",Design,May-22,PLN/DES
Toronto,401,E. 5th/Myers Street Waterline & Lead Line Replacement,Jefferson,"$1,694,047.00","$326,700.00",Construction,Jan-23,SML/LSL
Utica,417,Riverside Dr Watermain Replacement,Licking,"$67,526.00","$8,161.00",Design,Jul-22,PLN/DES
Utica,418,Riverside Drive Watermain Replacement,Licking,"$624,312.00","$75,460.00",Construction,Sep-22,SML/LSL
Warren,424,2022 Waterline Replacement Program,Trumbull,"$2,424,000.00","$806,111.00",Construction,May-23,STD/LSL
West Union,430,North Street Water Line Replacement,Adams,"$1,235,000.00","$396,000.00",Construction,Sep-22,SML/LSL
Willard,431,Park Street Water Line Replacement,Huron,"$895,295.00","$462,816.00",Construction,Oct-22,SML/LSL
Woodville,438,Water Line Improvements Phase 3,Sandusky,"$557,530.00","$55,753.00",Construction,Jan-23,SML/LSL
