Project Name,DWSRF No.,Project Description,IUP Yr,Qtr,Priority Points,Pop,Project Status,Current Funding Request,Most Recent Loan,Total Loan Amount To Date,Remaining Amount on IUP,"Base 
BIL GS",PFAS/EC,LSL 
Osceola Water Works,PD-DW-24-69,Water treatment facility improvements,2024,4,P&D,5415,P," $	700,000.00 ",,,,x,,
Kingsley,PD-DW-24-65,Construction of 2 new wells and Fe & MN treatment plant for these wells,2024,4,P&D,1396,P," $	533,000.00 ",,,,x,,
Randolph,PD-DW-2467,"New well, treatment plant rehab, new elevated stroage tank, water main replacement, and new flow meters",2024,4,P&D,189,P," $	528,000.00 ",,,,x,,
Correctionville,PD-DW-24-63,"New well (#3), new water treatment plant, water meters, and water tower mixer",2024,4,P&D,766,P," $	508,000.00 ",,,,x,,
Urbana,PD-DW-24-60,Ground storage tank and booster station,2024,4,P&D,1554,P," $	425,000.00 ",,,,x,,
Churdan,PD-DW-24-62,Water main and water tower replacement,2024,4,P&D,365,P," $	296,000.00 ",,,,x,,
Goodell,PD-DW-24-64,New distribution system and water plant and well rehab,2024,4,P&D,140,P," $	284,000.00 ",,,,x,,
Russell,PD-DW-24-68,Distribution system improvements,2024,4,P&D,472,P," $	273,000.00 ",,,,x,,
Woolstock,PD-DW-24-66,Rehabilitation or construction of a new water treatment plant,2024,4,P&D,144,P," $	250,000.00 ",,,,x,,
Long Grove,"
PD-DW-24-58
",Water Treatment Plant Construction,2024,4,P&D,838,P," $	239,638.00 ",,,,x,,
Boone,PD-DW-24-61,Rehab of 2 MG ground storage reservoir,2024,4,P&D,12460,P," $	200,000.00 ",,,,x,,
New Albin,PD-DW-24-59,Well and well house,2024,4,P&D,432,P," $	200,000.00 ",,,,x,,
Meservey,PD-DW-24-53,New well and disbribution improvements,2024,4,P&D,222,P," $	22,076.00 ",,,,x,,
Correctionville,FS-97-24-DWSRF-046	,Water System Improvements,2024,4,55,766,P," $	5,210,000.00 ",,,,x,,
Randolph,FS-36-24-DWSRF-044	,"Water Source, Treatment, Storage and Distribution System",2024,4,55,189,P," $	3,960,000.00 ",,,,x,,
New Albin,FS-03-24-DWSRF-042	,Well #2 Improvements,2024,4,55,500,P," $	700,000.00 ",,,,x,,
Urbana,FS-06-24-DWSRF-045	,2025 Water System Improvements,2024,4,45,1590,P," $	3,388,000.00 ",,,,x,,
Oakland,FS-78-24-DWSRF-047	,2023 Water Supply Wells,2024,4,45,1711,P," $	2,531,000.00 ",,,,x,,
Creston (LSL),FS-88-24-DWSRF-041	,Water Distribution System Improvements,2024,4,40,7536,C," $	6,000,000.00 ",,,,x,,x
Coralville,FS-52-24-DWSRF-049	,Well 16 Improvements,2024,4,35,21630,P," $	3,050,000.00 ",,,,x,,
Eldora ,FS-42-24-DWSRF-051	,SCADA Upgrade,2024,4,35,2700,P," $	263,000.00 ",,,,x,,
Prairie City,FS-50-24-DWSRF-050	,Phase 2 Water Main Replacement,2024,4,30,1700,P," $	924,000.00 ",,,,x,,
Council Bluffs,FS-78-24-DWSRF-048	,CBWW Narrows WTP High Service Pump Station,2024,4,25,63000,P," $	22,494,000.00 ",,,,x,,
Muscatine Power & Water (LSL),FS-70-24-DWSRF-052	,Lead Service Line Replacement,2024,4,20,23474,C," $	1,570,000.00 ",,,,x,,x
Greenfield Municipal Utilities,PD-DW-24-44,Treatment System Improvements,2024,3,P&D,2160,L," $	1,400,000.00 ",1/26/24," $	1,400,000.00 ", $	-   ,x,,
Johnston,PD-DW-24-33,Water Main Improvement for NW Saylorville Annexation,2024,3,P&D,24195,P," $	1,160,000.00 ",11/10/23," $	1,160,000.00 ", $	-   ,x,,
Hinton,PD-DW-24-48,WTP upgrades and new well,2024,3,P&D,946,L," $	680,000.00 ",1/5/24," $	680,000.00 ", $	-   ,x,,
Essex,PD-DW-24-47,"New water main, elevated storage tank, and filter media replacement",2024,3,P&D,740,L," $	307,000.00 ",1/5/24," $	307,000.00 ", $	-   ,x,,
Knoxville,PD-DW-24-34,Replacing Well #2 and Recasing Well #3,2024,3,P&D,14945,P," $	230,000.00 ",,,,x,,
Tabor,PD-DW-24-45,Automatic control and maintenance system and water main replacement,2024,3,P&D,456,L," $	172,500.00 ",12/22/23," $	172,000.00 ", $	-   ,x,,
Tiffin,PD-DW-24-35,Pilot of Reverse Osmosis System,2024,3,P&D,5282,L," $	143,774.00 ",1/5/24," $	143,774.00 ", $	-   ,x,,
Elk Horn,PD-DW-24-46,Water system improvements,2024,3,P&D,320,P," $	142,200.00 ",,,,x,,
Fort Dodge,PD-DW-24-52,Supplemental to Future Needs PER P&D,2024,3,P&D,25206,P," $	92,000.00 ",,,,x,,
Yale,PD-DW-24-49,Water treatment plant improvements,2024,3,P&D,267,P," $	70,000.00 ",,,,x,,
La Motte,FS-49-24-DWSRF-030,Proposed Municipal Well #3,2024,3,55,237,P," $	1,573,000.00 ",,,,x,,
Greenfield Municipal Utilities,FS-01-24-DWSRF-036,Water Treatment Plant Improvements,2024,3,45,2062,P," $	20,000,000.00 ",,,,x,,
Knoxville,FS-63-24-DWSRF-032,Deep Well No 2 and 3 Evaluation,2024,3,45,8480,P," $	5,701,000.00 ",,,,x,,
Keokuk,FS-56-24-DWSRF-034,2023 System Improvements,2024,3,40,9900,P," $	10,497,000.00 ",,,,x,,
Lansing,FS-03-24-DWSRF-039,"Platt, 4th &North St Utility Improvement",2024,3,40,968,P," $	660,000.00 ",,,,x,,
Marble Rock,FS-34-24-DWSRF-031,Water System Improvements Project,2024,3,40,271,P," $	604,000.00 ",,,,x,,
West Point,FS-56-24-DWSRF-033,2023 Water Main Improvements,2024,3,40,921,P," $	528,000.00 ",,,,x,,
Norwalk,FS-91-24-DWSRF-038,Norwalk Central Water Tower,2024,3,35,12799,P," $	6,380,000.00 ",,,,x,,
Grinnell (LSL),FS-79-24-DWSRF-037,Lead Service Line Replacement Program,2024,3,30,9564,C," $	1,002,000.00 ",,,,x,,x
Kingsley,FS-75-24-DWSRF-040,Water System Improvements,2024,3,25,1396,P," $	7,136,000.00 ",,,,x,,
Van Meter,PD-DW-24-28,New Membrane Treatment Plant,2024,2,P&D,1500,L," $	600,000.00 ",9/29/23," $	600,000.00 ", $	-   ,x,,
Lime Springs,PD-DW-24-31,Storage Improvements,2024,2,P&D,473,L," $	510,000.00 ",9/22/23," $	510,000.00 ", $	-   ,x,,
Prairie City,PD-DW-24-27,Water Main Improvements,2024,2,P&D,1700,L," $	374,000.00 ",10/27/23," $	374,000.00 ", $	-   ,x,,
Montezuma Municipal Water Works,PD-DW-24-32,New Jordan Well & Plant Upgrades,2024,2,P&D,1442,L," $	210,000.00 ",11/3/23," $	210,000.00 ", $	-   ,x,,
Boone,PD-DW-24-18,Water Treament Facility Improvements,2024,2,P&D,12460,L," $	140,000.00 ",9/29/23," $	140,000.00 ", $	-   ,x,,
Le Grand,PD-DW-24-26,Water Main Replacement,2024,2,P&D,905,L," $	121,000.00 ",10/27/23," $	121,000.00 ", $	-   ,x,,
West Branch,PD-DW-24-29,Water Line/ Main Replacement,2024,2,P&D,2509,L," $	54,700.00 ",9/29/23," $	54,700.00 ", $	-   ,x,,
Central City (PFAS),FS-57-24-DWSRF-027	,New Well (PFAS),2024,2,80,,C," $	2,085,000.00 ",,,,x,x,
Tama (PFAS),FS-86-24-DWSRF-014	,Water Treatment Plant Improvements (PFAS),2024,2,55,,C," $	3,941,000.00 ",,,,x,x,
Meservey,FS-17-24-DWSRF-017	,Phase 1 Water Supply System Improvements Project,2024,2,55,,P," $	548,000.00 ",,,,x,,
Wellman,FS-92-24-DWSRF-012	,Water System Improvements: Distribution & Supply,2024,2,45,,P," $	5,776,000.00 ",,,,x,,
Ellsworth,FS-40-24-DWSRF-025	,Elevated Tower Improvements,2024,2,45,,P," $	3,123,000.00 ",,,,x,,
Fairfax,FS-57-24-DWSRF-020	,Production Well #4,2024,2,45,,P," $	809,000.00 ",,,,x,,
Le Grand,FS-64-24-DWSRF-026	,2023 Water Distribution Improvements,2024,2,40,,P," $	1,026,000.00 ",,,,x,,
West Des Moines Water Works,FS-77-24-DWSRF-016	,88th Street Aquifer Storage and Recovery (ASR) Well Design,2024,2,35,,P," $	12,110,000.00 ",,,,x,,
Des Moines Water Works,FS-77-24-DWSRF-021	,2023 Aquifer Storage and Recovery (ASR) Well,2024,2,35,,P," $	10,703,000.00 ",,,,x,,
Newton,FS-50-24-DWSRF-015	,Newton Jordan Well,2024,2,35,,P," $	6,392,000.00 ",,,,x,,
West Branch,FS-16-24-DWSRF-022	,Phase -2 East Side Water Main Replacement,2024,2,30,,P," $	1,439,000.00 ",,,,x,,
Greene,FS-12-24-DWSRF-018	,2024 Water System Improvements Project,2024,2,30,,P," $	694,000.00 ",,,,x,,
Madrid,FS-08-24-DWSRF-028	,Well #10 Access Road Phase 2,2024,2,30,,P," $	129,000.00 ",,,,x,,
