Rank,Project Sponsor,Project Number,PWSID,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,"BIL
Eligibility"
1,Newark City,0714001-012,NJ0714001,Construction of a cover for the Cedar Grove Reservoir,285000,50000000,12730000,62730000,500,50,20,0,0,0,80,2.85,652.85,BIL (GEN)
2,Passaic Valley Water Commission,1605002-024,NJ1605002,"Installation of a 2.0 MG storage tank next to existing
Verona storage tank",347052,2970000,1566800,4536800,500,0,20,0,0,0,80,3.47052,603.47052,BIL (GEN)
3,Passaic Valley Water Commission,1605002-014,NJ1605002,Levine Reservoir Water Storage Improvements - Phase 1,314900,17142000,5186920,22328920,500,0,20,0,0,0,80,3.149,603.149,BIL (GEN)
4,Newark City,0714001-020,NJ0714001,Phase-2 Lead Service Line Replacement (LSLR) Project,280139,12989172,418386,15693186,250,50,20,0,5,0,80,2.90139,407.90139,BIL (LSLR)
5,Trenton City,1111001-011,NJ1111001,Lead Service line replacement,391000,13000000,2900000,15900000,250,50,15,0,5,0,80,3.91,403.91,BIL (LSLR)
6,Newark City,0714001-019,NJ0714001,Phase-1 Lead Service Line Replacement (LSLR) Project,280139,6000000,1528353,7528353,250,50,15,0,5,0,80,2.80139,402.80139,BIL (LSLR)
8,Hopatcong Borough,1912001-009,NJ1912001,"Installation of 48-inch pipe at wells to increase chlorine
contact time at nine wells",7900,750000,525000,1275000,350,0,15,0,0,0,0,0.079,365.079,
9,Newark City,0714001-021,NJ0714001,Phase 3-10 Lead Service Line Replacement (LSLR) Project,280000,120000000,100000,144929550,250,0,20,0,5,0,80,2.94274,357.94274,BIL (LSLR)
10,Passaic Valley Water Commission,1605002-026,NJ1605002,PVWC Lead Service Line Replacement,147000,1400000,578000,1978000,250,0,20,0,0,0,80,3.10121,353.10121,BIL (LSLR)
10,Passaic Valley Water Commission,1605002-002,NJ1605002,Lead Service Line Replacement in Main System,306707,21918500,66200,26302200,250,0,15,0,5,0,80,3.10121,353.10121,BIL (LSLR)
11,New Brunswick City,1214001-005,NJ1214001,Water Treatment Plant Improvements,50000,10435000,3443100,13878100,250,0,15,5,0,0,80,0.55,350.55,BIL (GEN)
12,Orange City,0717001-011,NJ0717001,Orange Twp PFOA in Well 8 Drinking Water System,30731,1200000,,1550000,250,0,0,5,5,0,80,0.30134,340.30134,BIL (EC)
12,Orange City,0717001-015,NJ0717001,Orange Twp |PFAS in Well 7 Drinking Water System,32000,1200000,200000,1440000,250,0,0,5,5,0,80,0.30134,340.30134,BIL (EC)
12,Orange City,0717001-013,NJ0717001,Orange Twp | Well 5 Rehabilitation Project,30731,500000,173000,700000,250,0,0,5,5,0,80,0.30134,340.30134,BIL (GEN)
13,Newark City,0714001-022,NJ0714001,"PROCESS AND OPERATIONAL UPGRADES AT THE
PEQUANNOCK WATER TREATMENT PLANT",280000,18729224,191411,22551068,250,0,0,0,0,0,80,2.94274,332.94274,BIL (GEN)
15,North Shore Water Association,1904004-001,NJ1904004,Existing Well Requires Replacement,105,360000,115000,475000,300,0,20,0,0,0,0,0.00105,320.00105,
16,Manchester Utilities Authority,1603001-001,NJ1603001,Heights Tank Rehabilitation,12028,389166,1800000,500000,250,50,15,0,0,0,0,0.12028,315.12028,
18,Bloomfield Township,0702001-003,NJ0702001,Lead Service Line Replacement,47982,875000,1440000,1098395,300,0,0,5,0,0,0,0.47315,305.47315,
19,"NJ American Water Company, Incorporated",1345001-017,NJ1345001,Oak Street Treatment Plant Improvements,290470,4239000,2763840,7002840,250,50,0,0,0,0,0,2.9047,302.9047,
20,Aqua New Jersey Incorporate,1103001-005,NJ1103001,"Addition of radium treatment at Well 9 to resolve MCL
exceedance",49000,583100,418226,1001326,250,50,0,0,0,0,0,0.49,300.49,
22,North Shore Water Association,1904004-004,NJ1904004,Water System Refurb,105,100000,145400,245400,300,0,0,0,0,0,0,0.00105,300.00105,
23,Trenton City,1111001-005,NJ1111001,"5-year Lead Service Line Replacement & Verification
Project",225000,195000000,863200,239000000,250,0,15,0,5,0,15,2.17,287.17,BIL (LSLR)
25,Bloomfield Township,0702001-004,NJ0702001,Interconnection Project,47315,1920000,491000,2592000,250,0,0,5,0,0,15,0.47315,270.47315,
25,Bloomfield Township,0702001-005,NJ0702001,Lead Service Replacement Phases,49973,6000000,879930,7700000,250,0,0,5,0,0,15,0.47315,270.47315,
26,North Jersey District Water Supply Commission,1613001-013,NJ1613001,Construction of a new 50 MGD Bellville Pump Station,872153,25000000,11690000,36690000,160,50,20,0,0,0,30,8.72153,268.72153,
27,Merchantville Pennsauken Water Commission,0424001-002,NJ0424001,Woodbine PFNA plant,49000,4455000,1300000,5646000,250,0,0,0,0,0,15,0.47144,265.47144,BIL (EC)
28,Winslow Township,0436007-006,NJ0436007,Add radium removal treatment at existing wells 1 and 8 to correct Maximum Contaminant Level violations,39328,4953080,2439355,7392435,250,0,15,0,0,0,0,0.39328,265.39328,
29,Belleville Township,0701001-003,NJ0701001,"Replacement of 7,000 lead service lines",35928,14000000,5940000,19940000,250,0,0,0,0,0,15,0.35928,265.35928,
29,Belleville Township,0701001-004,NJ0701001,"Installation of lead corrosion control measures at four
interconnections",35928,400000,280000,680000,250,0,0,0,0,0,15,0.35928,265.35928,
30,Belleville Township,0701001-008,NJ0701001,Belleville Lead Service Line Replacement,36069,2703600,450000,3568752,250,0,0,0,0,0,15,0.35129,265.35129,
31,Orange City,0717001-014,NJ0717001,"Orange Twp | Relocation of the existing transmission main under the Glen Avenue Bridge for the stabilization of
the pipe",30731,1225000,,1843000,175,0,0,5,5,0,80,0.30134,265.30134,BIL (GEN)
32,Hopatcong Borough,1912001-002,NJ1912001,Hopatcong Borough PFAS Removal Improvement Project,7000,840000,1100300,1020000,250,0,15,0,0,0,0,0.07224,265.07224,BIL (EC)
