APPLICANT NAME,REGION,DEP PROJECT RATING,STREET ADDRESS,CITY,COUNTY,PWSID,PROJRANK,FUND SOURCE,PROJECT COST,MTGDATE,PROJECT TYPE,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN PROJECT,GREEN CATEGORY,BUSINESS CASE,GREEN AMOUNT
"MERCERSBURG WATER AUTHORITY - WATER SYSTEM IMPROVEMENTS, PHASE 1",III,73,113 SOUTH MAIN ST,MERCERBURG,FRANKLIN,7280021,1,DWSRF,"$2,061,800",10/16/2024,"TREAT, WS, PS","Construction of Park Avenue treatment facility for new well, including softening, nitrate removal, and systems for chlorination; includes a 300,000-gal storage tank and 500-gpm booster pump station.",Existing Buck Run filter plant has numerous Safe Drinking Water Act violations; Authority entered COA to develop groundwater source and new treatment facilities to abandon existing plant.,"2,350",88,No,N/A,N/A,$0
CITY OF PHILADELPHIA- EAST PARK BOOSTER PUMPING STATION,I,63,1101 MARKET STREET,PHILADELPHIA,PHILADELPHIA,1510001,2,DWSRF,"$68,775,000",1/22/2025,PS,Construction of a new booster pump station with four 24 MGD pumps to improve emergency resiliency and replace an aging 1937 station.,Existing station is critical for moving water across the Schuylkill River and acts as the sole emergency backup for the Belmont Water Treatment Plant.,"1,600,000",78,Yes,Energy Efficiency,N/A,"$8,150,000"
BOROUGH OF BRACKENRIDGE - WATER FILTRATION PLANT CONSENT ORDER IMPROVEMENTS,V,61,1000 BRACKENRIDGE AVENUE,BRACKENRIDGE,ALLEGHENY,5020006,3,APPLICATION PENDING,"$5,950,000",,TREAT,"Upgrades to water treatment plant to remedy structural and operational deficiencies, including new site piping, flocculation tank, clarifier equipment, and demolition of circular clarifier.","The Borough entered a COA on June 27, 2024, to improve the plant, specifically addressing automatic shutdown capability for the Clearwell and structural repairs to the clarifier.","3,700",80,No,N/A,N/A,$0
SCHUYLKILL COUNTY MUNICIPAL AUTHORITY MOREA SYSTEM IMPROVEMENTS,II,61,77 MAIN STREET,MOREA COLLIERY,SCHUYLKILL,3540021,4,DWSRF,"$8,450,000",1/22/2025,"SRC, TREAT, DS","New treatment facility for iron/manganese removal, new submersible well pump, booster pumps, 830 feet of transmission main, and replacement of 120 service lines and meters.",Catastrophic storage tank failure in 2022 left the Morea Citizens Water Company with no storage; SCMA has taken over to restore source reliability and emergency fire service.,225,86,No,N/A,N/A,$0
CLEARFIELD MUNICIPAL AUTHORITY - MONTGOMERY RUN WATER TREATMENT FACILITY UPGRADES,IV,61,107 EAST MARKET STREET,CLEARFIELD,CLEARFIELD,6170008,5,APPLICATION PENDING,"$25,900,000",,TREAT,"New treatment building housing a membrane filtration system, below-grade baffled concrete Clearwell, and replacement of process equipment, high service pumps, and SCADA.",Facility built in 1990 is under CO&A; specific equipment no longer meets regulations or reliably produces drinking water; project is step one for reservoir rehabilitation.,"14,000",84,No,N/A,N/A,$0
2025 NORTHAMPTON BUCKS COUNTY MUNICIPAL AUTHORITY CHURCHVILLE PUBLIC WATER PROJECT,I,58,111 TOWNSHIP ROAD,RICHBORO,BUCKS,1090089,6,APPLICATION PENDING,"$19,919,605",,"DS, PFAS, TREAT??","Extension of public water system to residences in Churchville Manor and Hillside Manor subdivisions, including water mains, 334 connections, and treatment upgrades to public wells.",PFAS contamination (PFOS/PFOA) resulting from former Naval Air Warfare Center activities; treatment is required to meet new EPA MCLs and address residents' contamination concerns.,"36,750",63,No,N/A,N/A,$0
PITTSBURGH WSA - 2023 SMALL DIAMETER WATER MAIN REPLACEMENT (NON-LEAD),V,53,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,7,DWSRF,"$62,672,221",10/16/2024,DS,"Replacement of approximately 52,880 feet of aging and undersized 8-inch and 12-inch water mains with new zinc-coated ductile iron pipe.","Advanced age of pipes causes frequent breaks, risking public health through potential infectious disease exposure and causing unplanned water outages.","520,000",84,Yes,Water Efficiency,N/A,"$68,646,695"
AQUA PENNSYLVANIA WATER MAIN REPLACEMENTS (2024-2027) (PROFI),I,45,762 LANCASTER AVE.,BRYN MAWR,CHESTER,1460073,8,DWSRF,"$77,500,000",7/17/2024,DS,"21 water main replacement projects across 14 municipalities and 4 counties in SE PA, totaling nearly 133,400 linear feet of 8 to 20-inch pipe.",Capital improvements to replace mains at the end of their useful life with histories of leaks or poor condition.,"747,460",60,No,N/A,N/A,$0
MUNICIPAL AUTHORITY OF THE CITY OF NEW KENSINGTON 2024 WATERLINE REPLACEMENTS/WTP FILTER MEDIA REPLACEMENT,V,43,"P O BOX 577, 920 BARNES STREET",NEW KENSINGTON,WESTMORELAND,5650070,9,DWSRF,"$3,856,741",10/16/2024,"DS, TREAT","Replacement of 5,600 linear feet of waterlines and appurtenances; project also includes new media for the treatment plant to restore filter efficiency.","Old, deteriorated waterlines are causing numerous breaks, service shutdowns, and water loss; existing filter media has degraded, reducing treatment output.","47,800",58,Yes,Water Efficiency,N/A,"$3,185,116"
AQUA PENNSYLVANIA INC. - HIGHLAND GLEN WELL PFAS PROJECT PWSID 1460073,I,41,762 LANCASTER AVE.,BRYN MAWR,CHESTER,1460073,10,APPLICATION PENDING,"$2,250,000",,"TREAT, PFAS",Replacement of well pump and installation of anion exchange treatment vessels with pre-filtration in a heated enclosure to treat PFOA and PFOS.,Monitoring has detected PFOA and PFOS in water collected at entry points in the Aqua PA Main system.,"747,460",46,No,N/A,N/A,$0
COMBINED HAZLETON CITY AUTHORITY VILLAGE OF BUCK MTN WATER MAIN REPLACEMENT - W,II,41,400 E. ARTHUR GARDNER PARKWAY,HAZLETON,LUZERNE,2408001,11,DWSRF,"$16,225,000",1/22/2025,"TRANS, PS","Replacement of a pressure regulating station, 6,500 feet of 8-inch pipe, and upgrading/expanding the Dreck Creek Pump Station from 4.75 to 10.47 MGD.",Undertaken due to large numbers of pipe failures in older cast iron lines and to meet increasing system demand.,"45,000",64,No,N/A,N/A,$0
BRADFORD CITY WATER AUTHORITY - SYSTEM-WIDE METER REPLACEMENTS,VI,41,28 KENNEDY STREET,BRADFORD,MCKEAN,6420014,12,DWSRF,"$4,118,500",1/22/2025,METERS,"Replacement of 5,797 existing water meters with new meters and an Advanced Metering Infrastructure (AMI) system.","Existing meters are approximately 25 years old; many are failing or under-registering, resulting in high labor costs for re-reading 4,800 meters annually.","18,000",56,Yes,Water Efficiency,N/A,"$3,876,500"
AQUA PENNSYLVANIA INC. - WILLOWDALE CROSSING WELL PFAS PROJECT PWSID 1150098,I,38,762 LANCASTER AVE,BRYN MAWR,CHESTER,1150098,13,APPLICATION PENDING,"$2,500,000",,"TREAT, PFAS",Replacement of well pump and installation of granular activated carbon treatment vessels in a heated enclosure to address detections of PFOA.,Monitoring has detected PFOA and PFOS at entry points in the Aqua PA West Chester system.,"33,918",43,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - APPLEWOOD WELL HOUSE PFAS PROJECT PWSID 2400083,II,36,R.D. #3 BOX 313B,DALLAS,LUZERNE,2400083,14,DWSRF,"$1,030,000",1/22/2025,"TREAT, PFAS",Installation of ion exchange units to adsorb PFOS and PFOA compounds from an existing well source.,Project aims to minimize PFOS (max 5.4 ppt) and PFOA (max 4.6 ppt) in finished water via treatment.,95,41,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - WHITE HAVEN TREATMENT WELL PFAS PROJECT PWSID 2400108,II,33,50 E WOODHAVEN DRIVE,WHITE HAVEN,LUZERNE,2400108,15,APPLICATION PENDING,"$4,300,000",,"TREAT, PFAS",Installation of ion exchange units to adsorb PFOS and PFOA compounds at the well source.,Detections of PFOS (max 7.0 ppt) and PFOA (max 4.0 ppt) in existing well water necessitate treatment.,"1,200",48,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - FRANKLIN WELL PFAS PROJECT 1150126,I,33,420 W MARKET ST,WEST CHESTER,CHESTER,1150126,16,APPLICATION PENDING,"$2,000,000",,"TREAT, PFAS",Replacement of well pump and installation of granular activated carbon treatment vessels in a heated enclosure.,Monitoring has indicated detections of PFOA and PFOS in entry points of the Aqua PA Franklin system.,265,38,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - FRIENDSHIP WELL PFAS PROJECT PWSID 1150137,I,33,PO BOX 309,EXTON,CHESTER,1150137,17,APPLICATION PENDING,"$2,100,000",,"TREAT, PFAS",Replacement of two well pumps and installation of anion exchange treatment vessels with pre-filtration to treat PFOA and PFOS detections.,Analytical results show detections of PFOA and PFOS at entry points for the Friendship Wells 2 and 4.,"7,675",38,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - PERKIOMEN PFAS PROJECT PWSID 1460069,I,33,467 GRAVEL PIKE,COLLEGEVILLE,MONTGOMERY,1460069,18,DWSRF,"$1,980,000",1/22/2025,"TREAT, PFAS",Installation of anion exchange (AIX) vessels with pre-filtration and replacement of well pump at the Cranberry 2 well.,"PFAS monitoring has detected PFOA and PFOS at the site; while not currently exceeding PA MCLs, treatment is proposed to minimize presence.","3,600",38,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - CHALFONT WELL 14 PFAS PROJECT PWSID 1090005,I,33,P O BOX 80,CHALFONT,BUCKS,1090005,19,APPLICATION PENDING,"$1,900,000",,"TREAT, PFAS",Replacement of well pump and installation of anion exchange resin vessels for PFAS treatment with pre-filtration.,Monitoring has detected PFOA and PFOS at entry points in the Aqua PA Chalfont system.,"5,900",48,No,N/A,N/A,$0
HAZLETON CITY AUTHORITY MOUNT PLEASANT FINISHED WATER STORAGE TANK,II,31,400 E. ARTHUR GARDNER PARKWAY,HAZLETON,LUZERNE,2408001,20,DWSRF,"$6,045,800",10/16/2024,WS,"Construction of a new 3.0-million-gallon capacity finished water storage tank, valve house, controls, and SCADA communication.",High system demand is straining the distribution system; the tank will create an operational buffer to handle demands without large fluctuations in pressure.,"45,000",56,No,N/A,N/A,$0
CITY OF PHILADELPHIA 2026 PART 2,,0,1101 MARKET STREET,PHILADELPHIA,PHILADELPHIA,1510001,21,APPLICATION PENDING,"$9,975,000",,LSL,Replacement of approximately 950 residential private lead and galvanized steel service lines with new copper lines in the PWD service area.,"Project eliminates lead from water supply, improving conditions for vulnerable populations and increasing public awareness of lead exposure risks.","1,600,000",,No,N/A,N/A,$0
CITY OF PHILADELPHIA 2026 PART 1,,0,1101 MARKET STREET,PHILADELPHIA,PHILADELPHIA,1510001,22,APPLICATION PENDING,"$9,975,000",,LSL,Replacement of approximately 950 residential private lead and galvanized steel service lines with new copper lines.,"Aimed at eliminating lead for renters and low-income populations, specifically those on fixed incomes or with elderly/child family members.","1,600,000",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - MECHANICSBURG LSLR PHASE 3,,0,852 WESLEY DRIVE,MECHANICSBURG,CUMBERLAND,7210029,23,APPLICATION PENDING,"$5,931,132",,LSL,Replacement of 346 utility/private owned lead and galvanized water service lines using trenchless or trenched methods from house to water main.,"Eliminates potential lead poisoning from services partially constructed of lead pipe, following guidance to remove lead throughout the system.","93,368",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - MECHANICSBURG LSLR PHASE 2,,0,852 WESLEY DRIVE,MECHANICSBURG,CUMBERLAND,7210029,24,APPLICATION PENDING,"$5,211,776",,LSL,Replacement of 304 utility/private owned lead and galvanized service lines from house to water main.,Addresses health issues associated with lead-based service lines and eliminates risk of lead poisoning in the service area.,"93,368",,No,N/A,N/A,$0
