Loan Applicant,l17#,Project Description,Facility No.,"Estimated
Construction
Start",Projected Loan Amount
Dekalb,5474,Replace watermains.,IL0370100,2022-04-01 0:00:00,1700000
Freeport,5676,Watermaln replacement.,IL1770200,2022-04-01 0:00:00,2600000
Indian Creek,5927,Rehab water tower.,IIL1135250,2022-04-01 0:00:00,300000
Plainfield,4069,Replace waterma!ns.,1IL1970800,2022-04-01 0:00:00,2500000
Mahomet,5789,Waterment replacement.,ll0190450,2022-05-01 0:00:00,3651000
Pecatonica,5996,Rehabilitate elevated storage tank.,ll2010250,2022-05-01 0:00:00,850000
Forsyth,5925,"Repair water towers, storage tank, aerator and filters at treatment plant.",IL1150200,2022-06-01 0:00:00,2207600
Freeport,5643,Well No. 12 and treatment.,IL1770200,2022-06-01 0:00:00,7300000
North Chicago,4589,New water tower and connecting transmission main.,1JL0971250,2022-07-01 0:00:00,6647920
Mt. Vernon,5592,Replace watermains. (Phase 4),1IL0810300,2022-07-05 0:00:00,3235000
Forreston,5807,Waterma!n replacement. (Phase 2},ll0730200,2022-08-01 0:00:00,1429771
Mason City,6008,New water tank.,lll250350,2022-08-01 0:00:00,3800000
Moultrie County Rural PWD,5875,Watermain replacement. (Phase 2),IL1395150,2022-08-01 0:00:00,1147000
Sesser,5796,Replace waterma!ns. (Phase 3),ll0550450,2022-08-01 0:00:00,800000
Marshall,3486,Replace water meters. (Phase 2),1JL0230100,2022-09-01 0:00:00,335000
!vesdate,5884,"Replace watermalns, hydrants and valves. (Phase 2)",IIL0194550,2022-09-15 0:00:00,800000
Sparta,5881,Replace raw waterma!n and Installmaster meter vault for interconnect.,ll1570600,2022-09-15 0:00:00,4200000
Dixmoor,5976,Water meter replacement. (Phase 2),IL0310660,2022-10-15 0:00:00,327000
Mt. Carmel,5973,"Demolish existing plant, grading, fencing and roadway. (Phase 2)",ll1850200,2022-10-17 0:00:00,1020000
Broughton,5819,Watermain replacement. (Phase 3),ll0650100,2022-11-01 0:00:00,650000
Schram City,5974,Waterma!n replacement. {Phase 3),IL1350600,2022-11-01 0:00:00,500000
Sycamore,5816,Bring Well #7 back onllne with HMO Filtration.,IIL0370550,2022-11-01 0:00:00,3403595
West Frankfort,6003,New water meters and meter read system. (Phase 2),IIL0550700,2022-12-01 0:00:00,1100000
Bloomington,5686,Replacing and looping watetmains. (Phase 4),Jl1130200,2023-03-01 0:00:00,2000000
Blue Mound,5762,Replace watermains. (Phase 3),ll1150100,2023-03-01 0:00:00,541950
Dixon,5648,Replace watennains. (Phase 3),IL1030200,2023-03-01 0:00:00,2047000
Manlius,5998,Dewaterlng structure at treatment plant and Install new water seivices.,IL0110600,2023-03-01 0:00:00,450000
Morrison,3475,"Replace watermains, construct aeration system In water tank. (Phase 3}",IL1950350,2023-03-01 0:00:00,1462000
Rochelle,5443,New iron removal treatment plant at Well No. 8.,IL1410500,2023-03-01 0:00:00,4600000
Rock Falls,5719,Watermaln replacement. (Phase 2),IL1950450,2023-03-01 0:00:00,816000
Forsyth,5926,Replace watermains.,ll1150200,2023-06-01 0:00:00,1787000
Mt. Vernon,5593,Replace watermaJns. (Phase 5),IL0810300,2023-07-05 0:00:00,3235000
Moultrie County Rural PWD,5876,"Extend watermain, replace meter pits, and Install valves. (Phase 3)",ll1395150,2023-08-01 0:00:00,1066500
Sesser,5797,Replace waterma!ns. (Phase 4),IL0550450,2023-08-01 0:00:00,800000
Marshall,3487,loop watermaln. {Phase 3),!L0230100,2023-09-01 0:00:00,1247000
Ivesdale,5885,"Replace watermains, hydrants and valves. (Phase 3)",IL0194560,2023-09-15 0:00:00,800000
Broughton,5820,Watermian replacement. (Phase 4),IL0650100,2023-11-01 0:00:00,550000
Dixon,5649,Replace watermains. (Phase 4),IL1030200,2024-03-01 0:00:00,2871000
Morrison,5646,Waterma!n replacement and looping. {Phase 4),!L1950350,2024-03-01 0:00:00,679000
Rock Falls,5720,Watermain replacement. (Phase 3),IL1950450,2024-03-01 0:00:00,910000
Mt. Vernon,5594,Replace watermains. (Phase 6),!L0810300,2024-07-05 0:00:00,3235000
Marshall,5917,Rehab water tower. (Phase 4),!L0230100,2024-09-01 0:00:00,569480
Dixon,5650,Replace watermalns. (Phase 5},IL1030200,2025-03-01 0:00:00,2057000
Morrison,3477,Watermain replacement and looping. {Phase 5),ll1950350,2025-03-01 0:00:00,1296000
Rock Falls,5721,Watermain replacement. {Phase 4),1L1950450,2025-03-01 0:00:00,896000
Marshall,5918,Install new water tower. (Phase 5),IL0230100,2025-09-01 0:00:00,2783000
Rock Falls,5722,Watermain replacement. (Phase 5),ll1950450,2026-03-01 0:00:00,1009000
"1-,.aylor Springs",5788,Watermain replacement. {Phase 3),ll1350650,2022-12-31 0:00:00,1200000
Oreana,6024,Watermaln and seivice line replacement.,IL1150450,2022-10-15 0:00:00,692000
West Salem,5737,Replace watermalns and fire hydrants.,IL0470200,2022-08-01 0:00:00,898300
