System Name,"MDH
 2023
 PPL
 Rank","MDH
 2023
 PPL
 Points",Project Description,"Project
 Number",Population,"Est.
 Const
 Start","Estimated Project
 Cost","Estimated
 DWRF Loan","Estimated
 DWRF Lead
 Service Line
 Replacement
 Principal
 Forgiveness
 NOT FINAL
 (1)","Estimated
 DWRF
 Emerging
 Contaminant
 Principal
 Forgiveness
 NOT FINAL
 (2)","Estimated
 DWRF
 Disadvantgd
 Community
 Principal
 Forgiveness
 NOT FINAL
 (3)","Estimated WIF
 Grant
 NOT FINAL
 (4)","Other Funds
 (5)",Status
PART B - NOT FUNDABLE AT THIS TIME: New Project Requests,,,,,,,,,,,,,,
Westbrook,1,30,Treatment - New RO Plant for Nitrite,1170005-2,900,Jun-23,"6,890,100","6,890,100",-,-,-,-,-,Part B
Hayward,3,30,Treatment - Radium Treatment & New Well,1240012-1,227,May-23,"3,528,000","3,528,000",-,-,-,-,-,Part B
Elysian,8,30,Treatment - Radium Treatment with RO,1400003-2,703,Apr-23,"7,600,000","7,600,000",-,-,-,-,-,Part B
Coates,11,17.5, Other - New System Supplied by Rosemoun,1190035-1,25,Jul-23,"16,800,000","16,800,000",-,-,-,-,-,Part B
Aurora,16,15,Consolidation - E Mesabi Joint Water Sys,1690002-6,"2,225",Jun-23,"24,400,000","4,400,000",-,-,-,-,"10,000,000",Part B
Lafayette,21,15, Treatment - Plant Addition,1520002-1,545,Jun-23,"2,606,337","2,606,337",-,-,-,-,-,Part B
Sebeka,41,12,Watermain - Repl & Loop - Phase 1,1800002-10,777,,"1,309,600","1,309,600",-,-,-,-,-,Part B
Elbow Lake,46,12,Watermain - Replace & Loop 2nd,1260003-7,"1,200",Jun-23,"1,200,000","1,200,000",-,-,-,-,-,Part B
Madison,53,12,Watermain - NW Area Loop,1370004-5,"1,647",May-23,"819,400","819,400",-,-,-,-,-,Part B
International Falls,59,12,Treatment - Plant Rehab,1360002-1,"5,816",Jun-23,"10,400,000","10,400,000",-,-,-,-,-,Part B
Fertile ,64,12,Watermain - Replace & Loop,1600008-6,931,Jun-23,"1,090,000","1,090,000",-,-,-,-,-,Part B
Stewart,66,12,Watermain - Looping Improvements,1430009-7,610,Jun-23,"1,316,700","1,316,700",-,-,-,-,-,Part B
Silver Bay,81,12,Treatment - Plant Improvements,1380003-11,"1,610",Mar-23,"8,200,000","8,200,000",-,-,-,-,-,Part B
Browerville,90,12,Watermain - Replace & Loop,1770002-6,689,May-23,"1,609,600","1,609,600",-,-,-,-,-,Part B
Le Sueur,91,12,Treatment - Plant Rehab,1400010-6,"4,028",Jun-23,"4,000,000","4,000,000",-,-,-,-,-,Part B
South Saint Paul,93,12,Treatment - New Radium/Mn/Fe Plant,1190020-3,"20,132",Apr-23,"9,612,412","9,612,412",-,-,-,-,-,Part B
Clearwater,94,12,Source - New Wells & Wellhouse,1860025-5,"1,859",Jul-23,"2,895,000","3,187,000",-,-,-,-,-,Part B
Northfield,98,12,Treatment - Gravity Filters and RO,1660010-2,"19,449",Jul-23,"33,450,000","16,725,000",-,-,-,-,-,Part B
Harris,100,12,Watermain - Looping,1130005-5,"1,065",Jun-23,"541,600","541,600",-,-,-,-,-,Part B
Harris,101,12,Source - New Well,1130005-6,"1,065",Jun-23,"600,000",-,-,-,-,-,"600,000",Part B
Zimmerman,103,12,Treatment - New Pressure Filter Plant,1710006-8,"5,657",Jun-23,"5,900,000","5,900,000",-,-,-,-,-,Part B
Zimmerman,112,11,Storage - New 0.4 MG Tower,1710006-9,"5,657",Jun-23,"2,100,000","2,100,000",-,-,-,-,-,Part B
Appleton,160,10,Watermain - Replace 20 Blocks,1760001-3,"1,339",Jun-23,"6,000,000","6,000,000",-,-,-,-,-,Part B
Eagle Bend,175,10,Watermain -Phase 5,1770004-8,519,May-23,"899,800","899,800",-,-,-,-,-,Part B
Frazee,184,10,Watermain - Replace East Main Ave.,1030014-5,"1,335",May-23,"670,400","670,400",-,-,-,-,-,Part B
Pipestone,219,10,"Watermain - Replace NE Area, Ph 2",1590005-9,"4,317",May-23,"2,400,000","2,400,000",-,-,-,-,-,Part B
Henning,226,10,Watermain - Replace Cast Iron Main,1560016-9,806,Jun-24,"5,000,000","8,325,000",-,-,-,-,-,Part B
Fergus Falls,239,10,"Storage - Replace 750,000 Gallon GSR",1560014-1,"13,754",Jul-23,"2,000,000","2,000,000",-,-,-,-,-,Part B
Crosby,242.2,10,Watermain - Phase 3B Improvements,1180008-9b,"2,749",May-23,"2,384,800","2,384,800",-,-,-,-,-,Part B
Braham,250,10,Watermain - Repl Various Areas,1300001-3,"1,800",May-23,"11,950,000","11,950,000",-,-,-,-,-,Part B
Detroit Lakes,251,10,Watermain -Repl Campbell Ave/Linden Ln,1030005-5,"9,200",May-23,"1,600,000","1,600,000",-,-,-,-,-,Part B
Fosston,255,10,Watermain - Replace Various Areas,1600010-4,"1,434",May-23,"4,488,183","4,488,183",-,-,-,-,-,Part B
Annandale,260,10,Storage - Tower Rehab,1860002-8,"3,420",Apr-23,"699,000","669,000",-,-,-,-,-,Part B
Glenwood,263,10,Watermain - Replace Old Mains,1610003-12,"2,563",Jul-23,"3,735,570","3,735,570",-,-,-,-,-,Part B
Glenwood,264,10,Storage - Ground Storage Tank Rehab,1610003-13,"2,563",Jul-23,"884,400","884,400",-,-,-,-,-,Part B
Hibbing,275,10,Source - Well Houses Rehab,1690022-10,"15,923",Jan-23,"600,000","600,000",-,-,-,-,-,Part B
Hibbing,276,10,Treatment - Plant Rehab,1690022-11,"15,923",Jan-23,"4,800,000","4,800,000",-,-,-,-,-,Part B
Hibbing,277,10,Treatment - Plant for Carey Valley Well,1690022-7,"15,923",Jan-23,"10,800,000","10,800,000",-,-,-,-,-,Part B
Hibbing,278,10,Storage - Mesabi Tower Rehab,1690022-8,"15,923",Jan-23,"1,560,000","1,560,000",-,-,-,-,-,Part B
International Falls,282,10,Watermain - Replace 9th Street,1360002-3,"5,816",Jun-23,"1,480,000","1,480,000",-,-,-,-,-,Part B
Fertile,298,10,Conservation - Meter Replacement,1600008-5,931,Jun-23,"460,000","460,000",-,-,-,-,-,Part B
Detroit Lakes,299,10,Storage - 2.0 MG Elevated Storage Tank,1030005-6,"9,197",Jun-23,"8,355,000","8,355,000",-,-,-,-,-,Part B
Pelican Rapids,301,10,Watermain - TH59 and TH108,1560019-8,"2,515",Oct-23,"6,250,000","6,250,000",-,-,-,-,-,Part B
Stewart,304,10,Watermain - Distribution Reconstruction,1430009-8,610,Jun-23,"3,178,300","3,178,300",-,-,-,-,-,Part B
Winnebago,306,10,Watermain - Cleveland Ave W Imprvmnts,1220011-4,"1,261",May-23,"2,131,467","2,131,467",-,-,-,-,-,Part B
Saint Cloud,313,10,Other - Calvary Booster Station Imprvmt,1730027-9,"40,112",Apr-23,"3,312,000","3,312,000",-,-,-,-,-,Part B
Randall,314,10,Watermain - Water System Improvements,1490005-2,581,Sep-23,"4,000,000","4,000,000",-,-,-,-,-,Part B
Olivia,338,10,Treatment - RO addition,1650011-6,"2,397",Apr-23,"5,200,000","5,200,000",-,-,-,-,-,Part B
Sauk Rapids,351,10,Watermain - Rplcment Along Division St.,1050004-4,"13,926",May-23,"973,464","973,464",-,-,-,-,-,Part B
Audubon,362,10,Storage - Tower Rehab,1030001-5,625,May-23,"406,000","462,500",-,-,-,-,-,Part B
Wabasha,363,10,Source - Well #1 Rehab,1790013-2,"2,655",Oct-23,"180,000","180,000",-,-,-,-,-,Part B
Wabasha,365,10,Watermain - Downtown Reconstruction,1790013-4,"2,655",May-23,"6,328,350","2,090,000",-,-,-,-,-,Part B
Duluth,367,10,Other - Rehab Woodland Booster Station,1690011-11,"85,852",May-23,"3,658,560","3,658,560",-,-,-,-,-,Part B
Royalton,379,10,Watermain - Improvements & Looping,1490006-9,"1,172",Jun-23,"1,850,900","1,850,900",-,-,-,-,-,Part B
Atwater,380,10,Watermain - North Side Improvements,1340001-10,"1,141",Jun-23,"3,101,140","3,101,140",-,-,-,-,-,Part B
Red Wing,404,10,Treatment - Charlson Crest Upgrades,1250013-10,"16,366",May-23,"123,255","123,255",-,-,-,-,-,Part B
Red Wing,409,10,Treatment - Twin Bluffs Plant Rehab,1250013-7,"16,366",May-23,"2,949,887","2,949,887",-,-,-,-,-,Part B
Fairfax,418,10,Treatment - RO Addition,1650005-5,"1,135",Apr-23,"2,500,000","2,500,000",-,-,-,-,-,Part B
