System Name,"MDH
 2023
 PPL
 Rank","MDH
 2023
 PPL
 Points",Project Description,"Project
 Number",Population,"Est.
 Const
 Start","Estimated Project
 Cost","Estimated
 DWRF Loan","Estimated
 DWRF Lead
 Service Line
 Replacement
 Principal
 Forgiveness
 NOT FINAL
 (1)","Estimated
 DWRF
 Emerging
 Contaminant
 Principal
 Forgiveness
 NOT FINAL
 (2)","Estimated
 DWRF
 Disadvantgd
 Community
 Principal
 Forgiveness
 NOT FINAL
 (3)","Estimated WIF
 Grant
 NOT FINAL
 (4)","Other Funds
 (5)",Status
"Projects not eligible at this time (Referred to RD, below historical fundable range, or outside 2023 IUP timeframe)",,,,,,,,,,,,,,
Clitherall,2,30,New System - NO3 Connect to Battle Lake,1560033-2,25,Sep-23,"9,634,500","9,634,500",-,-,-,-,-,Refer to RD
Beardsley,28,13,Source - New Well & Sealing,1060002-4,195,May-23,"230,100","230,100",-,-,-,-,-,Refer to RD
New Auburn,39,12,Watermain - Replace & Loop,1720007-3,485,Aug-23,"675,000","675,000",-,-,-,-,-,Refer to RD
Browns Valley,44,12,Watermain - Replace & Loop,1780001-1,595,May-23,"1,888,230","1,888,230",-,-,-,-,-,Refer to RD
Browns Valley,45,12,Source - Two New Wells,1780001-2,595,May-23,"197,150","197,150",-,-,-,-,-,Refer to RD
Buffalo Lake,58,12,Treatment - Plant Rehab & New Well,1650003-5,653,Mar-23,"1,738,000","1,738,000",-,-,-,-,-,Refer to RD
Bellingham,70,12,Treatment - New Plant,1370001-1,168,Jun-23,"3,000,000","3,000,000",-,-,-,-,-,Refer to RD
Garfield,72,12,Treatment - New Fe/Mn Plant & Well,1210021-1,362,May-24,"4,536,000","4,536,000",-,-,-,-,-,Refer to RD
Hokah,73,12,Treatment - New Plant or Blend,1280004-5,572,Jun-23,"3,000,000","3,000,000",-,-,-,-,-,Refer to RD
Underwood,80,12,Treatment - Replace Plant,1560026-6,389,Jun-23,"3,000,000","3,000,000",-,-,-,-,-,Refer to RD
Beardsley,82,12,Watermain - Replace & Loop,1060002-2,195,Jul-23,"3,472,240","3,472,240",-,-,-,-,-,Refer to RD
Cass Lake,138,10,Watermain - Repl Various Areas,1110006-5,750,May-23,"590,000","590,000",-,-,-,-,-,Refer to RD
New Auburn,149,10,Storage - Recoating,1720007-4,485,,"297,000","297,000",-,-,-,-,-,Refer to RD
New Auburn,150,10,Other - Meter Repl,1720007-5,485,,"101,250","101,250",-,-,-,-,-,Refer to RD
