System Name,"MDH
 2023
 PPL
 Rank","MDH
 2023
 PPL
 Points",Project Description,"Project
 Number",Population,"Est.
 Const
 Start","Estimated Project
 Cost","Estimated
 DWRF Loan","Estimated
 DWRF Lead
 Service Line
 Replacement
 Principal
 Forgiveness
 NOT FINAL
 (1)","Estimated
 DWRF
 Emerging
 Contaminant
 Principal
 Forgiveness
 NOT FINAL
 (2)","Estimated
 DWRF
 Disadvantgd
 Community
 Principal
 Forgiveness
 NOT FINAL
 (3)","Estimated WIF
 Grant
 NOT FINAL
 (4)","Other Funds
 (5)",Status
PART A1 - FUNDABLE: Carryover Projects From 2019 IUP,,,,,,,,,,,,,,
Annandale,259,10,"Watermain - Repl Oak, Park, Pleasant",1860002-6,"3,334",Nov-19,"1,358,413","1,358,413",-,-,-,-,-,Carryover
PART A2 - FUNDABLE: Carryover Projects From 2020 IUP,,,,,,,,,,,,,,
Tower,9,25,Treatment - Plant Improvements,1690051-2,500,Jun-22,"4,500,950","1,125,950",-,-,-,-,"3,375,000",Carryover
Two Harbors,49,12,Treatment - Repl Chlorine Contact Tank,1380005-4,"3,613",Sep-21,"5,020,142","1,004,028",-,-,-,"4,016,114",-,Carryover
PART A3 - FUNDABLE: Carryover Projects From 2021 IUP,,,,,,,,,,,,,,
Dawson,42,12,Treatment - Plant Rehab,1370003-6,"1,540",Apr-23,"1,232,500","569,524",-,-,-,"662,976",-,Carryover
Lanesboro,248,10,Watermain - Repl Kirkwood St.,1230006-4,788,Apr-22,"1,011,830","202,366",-,-,"809,464",-,-,Carryover
Lanesboro,249,10,Watermain - Repl Various Streets,1230006-5,788,Apr-22,"714,841","142,968",-,-,"571,873",-,-,Carryover
Claremont,285,10,Storage - Tower Rehab,1200001-3,538,May-22,"370,500","370,500",-,-,-,-,-,Carryover
Two Harbors,384,10,Watermain - Repl 4th St.,1380005-5,"3,718",Nov-24,"388,000","418,546",-,-,-,-,"30,454",Carryover
Two Harbors,385,10,Watermain - Repl 7th Ave & 4th St.,1380005-6,"3,718",Nov-24,"477,000","514,561",-,-,-,-,"37,439",Carryover
Two Harbors,386,10,Watermain - Repl 7th Ave 11th - 15th St.,1380005-7,"3,718",Nov-24,"815,000","878,031",-,-,-,-,"63,969",Carryover
PART A4 - FUNDABLE: Carryover Projects From 2022 IUP,,,,,,,,,,,,,,
Le Sueur,84,12,Watermain - New Booster Station & Wtrmn,1400010-9,"4,050",Sep-23,"3,480,000","3,480,000",-,-,-,-,-,Carryover
Zimmerman,102,12,Source - 2 New Wells,1710006-7,"5,657",Jul-22,"1,136,210","1,136,210",-,-,-,-,-,Carryover
Appleton,159,10,Watermain - Water Distribution Imprvmnts,1760001-2,"1,339",May-23,"8,950,000","4,050,000",-,-,"2,783,721","2,116,279",-,Carryover
Henning,203,10,Watermain - Inman St. Underground Imprv,1560016-8,853,Jun-23,"602,753","120,551",-,-,"482,202",-,-,Carryover
Menahga,212,10,"Storage - Repl w/100,000 Gal Tower",1800001-2,"1,228",May-22,"1,288,000","614,500",-,-,-,-,"673,500",Carryover
Pipestone,217,10,Other - LSL Replacement,1590005-11,"4,317",May-22,"25,000",-,"12,500",-,-,-,-,"Carryover,LSL"
Pipestone,218,10,"Watermain - Replace NE Area, Ph 1",1590005-8,"4,317",May-22,"2,019,140","403,828",-,-,"1,615,312
 -","-
 -","-
 -",Carryover
Crosby,242.1,10,Watermain - Phase 3A Improvements,1180008-9a,"2,749",Sep-22,"1,812,804","1,812,804",-,-,,,,Carryover
Lake Park,266,10,Treatment - Plant Rehab,1030016-3,797,Oct-22,"1,083,625","1,083,625",-,-,-,-,-,Carryover
Ortonville,269,10,Watermain - Repl Various Areas - Phase 2,1060008-7,"1,910",Jun-23,"4,056,245","4,056,245",-,-,eligible,eligible,-,Carryover
Ortonville,270,10,Watermain - Phase 3,1060008-8,"2,017",Jun-23,"7,367,544","7,367,544",-,-,eligible,eligible,-,Carryover
Blue Earth,271,10,Treatment - RO for Softening,1220001-4,"3,138",Mar-23,"10,230,000","3,230,000",-,-,eligible,eligible,"7,000,000",Carryover
Eveleth,272,10,Watermain -Rosvlt & Dgls Aves Water Rep,1690018-9,"3,609",May-22,"614,924","364,924",-,-,-,-,"250,000",Carryover
Perham,280,10,"Watermain-Repl 1st Ave N,4th & 5th St S",1560023-9,"3,421",May-22,"1,832,913","1,832,913",-,-,-,-,-,Carryover
Glenville,288,10,Treatment - Water trtmnt plant & wells,1240010-1,670,May-23,"4,000,000","4,000,000",-,-,eligible,eligible,-,Carryover
Sauk Rapids,342,10,Other - LSL Replacement - Private,1050004-3,"13,083",Apr-22,"154,700","77,350","77,350",-,-,-,-,"Carryover,LSL"
Dassel,347,10,Watermain - First St. Main Replacement,1470003-9,"1,506",May-22,"818,925","818,925",-,-,-,-,-,Carryover
New London,389,10,Watermain - Distribution Improvements,1340005-5,"1,197",Jun-22,"2,162,213","2,162,213",-,-,-,-,-,Carryover
Saint Paul Regional Water,426,10,Treatment - Process Imp.(McCarrons),1620026-22,"385,796",May-22,"189,000,000","47,250,000",-,-,-,-,-,Carryover
Saint Paul Regional Water,427,10,Other - LSL Replacement Phase 2,1620026-24,"304,547",Apr-22,"500,000",-,"250,000",-,-,-,"250,000","Carryover,LSL"
Harris,479,10,Storage - Tower Rehab,1130005-4,"1,065",Jun-22,"378,445","378,445",-,-,eligible,eligible,-,Carryover
Litchfield,505,7,Treatment - Rehab Plant,1470008-7,"6,671",Jun-22,"4,936,422","3,936,422",-,-,-,-,"1,000,000",Carryover
PART A5 - FUNDABLE: Lead Service Line Replacement Projects,,,,,,,,,,,,,,
Princeton,182,10,Other - LSL Replacement,1480008-8,"4,636",May-23,"600,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
Sebeka,192,10,Other - LSL Replacement,1800002-15,777,Jun-23,"49,800",eligible,eligible,-,-,-,-,"Part A5,LSL"
Hibbing,279,10,Other - LSL Replacement,1690022-9,"15,923",Jan-23,"500,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
International Falls,281,10,Other - LSL Replacement,1360002-2,"5,816",Jun-23,"970,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
Saint Cloud,310,10,Other - LSL Replacement Wilson Ave,1730027-10,"40,112",Apr-23,"364,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
Saint Cloud,311,10,Other - LSL Replacement Cooper Avenue,1730027-11,"40,112",Apr-23,"378,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
Saint Cloud,312,10,Other - LSL Replacement Germain St,1730027-12,"40,112",Apr-23,"56,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
Lewisville,330,10,Other - LSL Replacement,1830003-8,333,May-23,"65,250",eligible,eligible,-,-,-,-,"Part A5,LSL"
Sauk Rapids,352,10,Other - LSL Repl Along Division St.,1050004-5,"13,926",May-23,"354,062",eligible,eligible,-,-,-,-,"Part A5,LSL"
Duluth,368,10,Other - LSL Repl - Phase 1,1690011-12,"85,915",May-23,"2,500,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
Duluth,369,10,Other - LSL Repl - Phase 2,1690011-14,"85,852",May-23,"2,500,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
Duluth,370,10,Other - LSL Repl - Phase 3,1690011-15,"85,852",May-23,"2,500,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
Duluth,371,10,Other - LSL Repl - Phase 4,1690011-16,"85,852",May-23,"2,500,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
Royalton,378,10,Other - LSL Replacement,1490006-8,"1,236",Jun-23,"300,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
Saint Paul Regional Water S,428,10,Other - LSL Replacement Phase 3,1620026-25,"305,877",Apr-23,"15,000,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
Moorhead,441,10,Other - LSL Replacement No Watermain,1140008-21,"43,409",Jun-23,"937,500",eligible,eligible,-,-,-,-,"Part A5,LSL"
Moorhead,435,10,Other - LSL Replacement Phase 2,1140008-12,"43,409",,"$500,000.00",,,,,,,"*amendment, carried from comp ppl"
Moorhead,444,10,Other - LSL Replacement Phase 1,1140008-9,"43,409",Jun-23,"500,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
South Saint Paul,451,10,Other - LSL Replacement,1190020-4,"20,132",Apr-23,"3,115,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
Minneapolis,458,10,Other - LSL Replacement Streets Year 1,1270024-14,"424,536",Apr-23,"3,338,500",eligible,eligible,-,-,-,-,"Part A5,LSL"
Minneapolis,462,10,Other - LSL Repl Green Zones Year 1,1270024-18,"424,536",Apr-23,"2,730,000",eligible,eligible,-,-,-,-,"Part A5,LSL"
PART A6 - FUNDABLE: Emerging Contaminant Projects,,,,,,,,,,,,,,
Pine River 154,153,10,Treatment - Manganese New Plant,1110019-6,960,Apr-23,"3,297,000",eligible,,eligible,-,-,-,"Part A6,EC"
Clearbrook 186,186,10,Treatment - Manganese Plant & Well,1150003-3,671,Jun-23,"3,700,820",eligible,,eligible,-,-,-,"Part A6,EC"
Browns Valley 201,201,10,Treatment - Manganese Treatment Plant,1780001-3,595,May-23,"3,622,610",eligible,,eligible,-,-,-,"Part A6,EC"
Wabasso 331,331,10,Treatment - Manganese Plant Rehab,1640013-3,738,Jun-23,"1,310,000",eligible,,eligible,-,-,-,"Part A6,EC"
Atwater 381,381,10,Treatment - Manganese Treatment & Well,1340001-9,"1,141",Jul-23,"7,303,000",eligible,,eligible,-,-,-,"Part A6,EC"
Delavan 412,412,10,Treatment - Manganese Plant Rehab,1220003-1,206,May-23,"566,460",eligible,,eligible,-,-,-,"Part A6,EC"
Montrose 470,470,10,Treatment - Manganese Plant,1860016-5,"3,505",Jul-23,"13,850,000",eligible,,eligible,-,-,-,"Part A6,EC"
Lino Lakes 539,539,7,Treatment - Manganese Treatment Plant,1020023-3,"21,748",Apr-23,"23,080,750",eligible,,eligible,-,-,-,"Part A6,EC"
Foley,619,5,Treatment - Manganese Treatment Plant,1050001-4,"2,658",Jun-23,"5,075,700","5,075,700",-,-,-,-,-,"*amendment, carried from mn_not_eligible"
Mound,658,5,Treatment - Manganese Plant,1270038-1,"9,480",Jun-23,"19,960,000","19,960,000",-,-,-,-,-,"*amendment, carried from mn_not_eligible"
