Priority Score,Financial Need Points,Project Points,Program,Municipality,"ProjectNumber",Project Description,Region,County,"ProjectManager",CME,Population,"MHI(<$53,664)",Subsidized Loan Rate,Requested Project Costs,Estimated Loan Amount,Total PF Points,"EligiblePF %",BIL-EC and BIL- LSL PF Estimate,General PF Estimate,Total Estimated PF
386.75,12.75,374,BASE,"REEDSVILLE, VILLAGE OF",4892-03,Well No. 5 Nitrate Treatment Equipment and Upgrades,NE,Manitowoc,Bolitho,Hannes,"1,193","$65,909 ",55%,"$2,099,525 ","$1,679,620 ",85,20%,$0 ,"$419,905 ","$419,905 "
386.75,12.75,374,BASE,"REEDSVILLE, VILLAGE OF",4892-04,Well 3 Transmission Main to Well  5,NE,Manitowoc,Bolitho,Hannes,"1,193","$65,909 ",55%,"$1,096,846 ","$877,476 ",85,20%,$0 ,"$219,370 ","$219,370 "
353,21,332,BASE,"AMHERST, VILLAGE OF",4753-04,Treat Well #1,WC,Portage,Balgooyen,Andruczyk,"1,121","$51,902 ",33%,"$327,070 ","$196,242 ",140,40%,$0 ,"$130,828 ","$130,828 "
347.75,27.75,320,BASE,"AUGUSTA, CITY OF",5186-10,Abandon Well No. 7  (Phase 2: Construct Well No. 11),WC,Eau Claire,Cassidy,Cameron,"1,549","$45,811 ",33%,"$870,585 ","$870,585 ",185,55%,$0 ,0,0
281.5,4.5,277,EC,RIB MOUNTAIN SD,5590-05,"Install Permanent Treatment for PFAS, Iron and Manganese (EC)",WC,Marathon,surillo,Andruczyk,"7,253","$81,004 ",55%,"$14,711,850 ","$11,211,850 ",30,0%,"$3,500,000 ",0,"$3,500,000 "
267,3,264,EC,"WESTON, VILLAGE OF",4935-04,Treat Well #4 for PFAs (EC),WC,Marathon,Cassidy,Andruczyk,"15,809","$73,129 ",55%,"$6,348,998 ","$3,174,499 ",20,0%,"$3,174,499 ",0,"$3,174,499 "
236.75,42.75,194,EC,"ADAMS, CITY OF",5310-05,Treat Well #4 for PFAS (EC),WC,Adams,Balgooyen,Cameron,"1,755","$34,635 ",33%,"$5,202,600 ","$1,820,910 ",285,65%,"$3,381,690 ",0,"$3,381,690 "
159.75,3.75,156,EC,"MADISON, CITY OF",4837-09,Treat Well #15 for PFAS (EC),SC,Dane,Leizinger,Zettl,"279,012","$70,466 ",55%,"$5,900,000 ","$2,950,000 ",25,0%,"$2,950,000 ",0,"$2,950,000 "
149.75,12.75,137,BASE,"WHITING, VILLAGE OF",5388-05,Rehab/Upgrade Treatment Plant for Well #1,WC,Portage,Higgins,Andruczyk,"1,598","$65,208 ",55%,"$756,400 ","$605,120 ",85,20%,$0 ,"$151,280 ","$151,280 "
145.75,3.75,142,EC,"ROTHSCHILD, VILLAGE OF",4896-13,Construct Treatment Facility for PFAs (EC),WC,Marathon,Atkinson,Andruczyk,"5,581","$77,917 ",55%,"$8,453,699 ","$4,953,699 ",25,0%,"$3,500,000 ",0,"$3,500,000 "
131.5,13.5,118,EC,"WAUSAU, CITY OF",4930-20,Interim Treatment for PFAs (EC only),WC,Marathon,Atkinson,Andruczyk,"40,199","$53,800 ",55%,"$1,767,178 ","$1,767,178 ",90,20%,$0 ,0,0
131.5,13.5,118,EC,"WAUSAU, CITY OF",4930-19,Construct GAC Treatment System for PFAs (EC),WC,Marathon,Atkinson,Andruczyk,"40,199","$53,800 ",55%,"$17,400,938 ","$12,300,938 ",90,20%,"$3,500,000 ","$1,600,000 ","$5,100,000 "
123.25,32.25,91,BASE,"BALSAM LAKE, VILLAGE OF",5329-05,Well #1 wellhouse improvements & water transmission main,NO,Polk,Boelkow,Andruczyk,914,"$44,965 ",33%,"$7,500,050 ","$5,900,050 ",215,60%,$0 ,"$1,600,000 ","$1,600,000 "
122.75,3.75,119,LSL,"ELKHORN, CITY OF",5525-05,BIL SFY24 LSL Program: Census Tract,SE,Walworth,Mills,Binder,"10,317","$68,339 ",LSL RATE,"$211,291 ","$178,237 ",25,0%,"$33,054 ",0,"$33,054 "
107.75,21.75,86,BASE,"BIRCHWOOD, VILLAGE OF",5478-07,Well #1 Chemical Feed System,NO,Washburn,Jimenez,Andruczyk,402,"$54,063 ",55%,"$207,437 ","$124,462 ",145,40%,$0 ,"$82,975 ","$82,975 "
107,12,95,LSL,"MANITOWOC, CITY OF",5191-18,BIL SFY24 LSL Program - Municipal,NE,Manitowoc,Cassidy,Hannes,"34,722","$54,767 ",LSL RATE,"$1,360,000 ","$680,000 ",80,20%,"$680,000 ",0,"$680,000 "
