"SelfScore1",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"FederalEquivalency2"
562,"AMHERST, VILLAGE OF",4753‐05,Upgrade Well #2,"$543,100.00",WC,Andruczyk,No
562,"AMHERST, VILLAGE OF",4753‐04,Treat Well #1,"$543,100.00",WC,Andruczyk,No
452,"CLINTON, VILLAGE OF",4982‐05,Treat Well #3,"$1,000,000.00",SC,Zettl,No
436,"PRESCOTT, CITY OF",4991‐11,Treat Well #3 for Nitrates and PFAs (EC),"$3,280,640.00",WC,Andruczyk,Yes
421,"AUGUSTA, CITY OF",5186‐05,Replace Well #7 with new Well #11,"$5,483,400.00",WC,Cameron,No
415,"FLORENCE, TOWN OF",5456‐09,Treat Well #1 for Mn,"$450,000.00",NO,Andruczyk,No
415,"FLORENCE, TOWN OF",5456‐10,Treat Well #2 for Mn,"$450,000.00",NO,Andruczyk,No
408,"OSHKOSH, CITY OF",4874‐16,Replace Underground Storage Tank & Pumping Stations,"$32,329,500.00",NE,Hannes,Yes
382,"WHITING, VILLAGE OF",5388‐05,Rehab/Upgrade Treatment Plant for Well #1,"$547,646.00",WC,Andruczyk,No
374,"REEDSVILLE, VILLAGE OF",4892‐03,Well No. 5 Nitrate Treatment Equipment and Upgrades,"$2,227,500.00",NE,Hannes,No
374,"REEDSVILLE, VILLAGE OF",4892‐04,Well 3 Transmission Main to Well  5,"$2,227,500.00",NE,Hannes,No
370,"OCONOMOWOC, CITY OF",5452‐08,"Construct Well #8, Abandon Well #1 and Well #2","$6,000,000.00",SE,Binder,Yes
366,"BANGOR, VILLAGE OF",5145‐06,"Construct Well /House 3, Con.Main, Treatment; Abandon Well 1","$2,650,000.00",WC,Cameron,No
350,"BALDWIN, VILLAGE OF",5384‐08,Rehab North Water Tower,"$1,066,780.00",WC,Cameron,No
349,"RHINELANDER, CITY OF",5288‐15,Add Treatment at Well #7 for PFAS (EC),"$4,580,000.00",NO,Andruczyk,Yes
342,"DANE, VILLAGE OF",5332‐03,Rehab/Upgrade Well #2,"$1,250,000.00",SC,Zettl,No
334,"LA CROSSE, CITY OF",5406‐08,Replace Well #26 (EC),"$12,600,000.00",WC,Cameron,Yes
334,"LA CROSSE, CITY OF",5406‐07,Replace Well #24 (EC),"$12,600,000.00",WC,Cameron,Yes
334,"LA CROSSE, CITY OF",5406‐06,Replace Well #23 (EC),"$12,600,000.00",WC,Cameron,Yes
334,"LA CROSSE, CITY OF",5406‐04,Treatment at Well #24 (EC),"$19,000,000.00",WC,Cameron,Yes
334,"LA CROSSE, CITY OF",5406‐03,Treatment at Well #23 (EC),"$19,000,000.00",WC,Cameron,Yes
334,"LA CROSSE, CITY OF",5406‐05,Treatment at Well #26 (EC),"$19,000,000.00",WC,Cameron,Yes
329,"WEST BEND, CITY OF",5386‐05,"Treat Wells #4, #11 and #12 for PFAs (EC)","$6,200,000.00",SE,Binder,Yes
309,"WEST BEND, CITY OF",5386‐04,Treat/Improve Well #8 for PFAS (EC),"$2,000,000.00",SE,Binder,Yes
301,"PORT WASHINGTON, CITY OF",4883‐03,Upgrade Water Treatment Plant,"$18,335,000.00",SE,Binder,No
251,"WESTON, VILLAGE OF",4935‐04,Treat Well #3 and Well #4 for PFAs (EC),"$6,440,350.00",WC,Andruczyk,Yes
216,"PRESCOTT, CITY OF",4991‐10,Treat Well #4 for Nitrates and PFAs (EC),"$3,147,625.00",WC,Andruczyk,Yes
210,"MANITOWOC, CITY OF",5191‐17,"BIL SFY24 LSL Program ‐ Census Tracts 2, 4, 5, 7","$4,208,000.00",NE,Hannes,Yes
210,"MANITOWOC, CITY OF",5191‐16,"BIL SFY24 LSL Program ‐ Census Tracts 4, 5 7 and 8","$4,450,000.00",NE,Hannes,Yes
206,"ELKHORN, CITY OF",5525‐05,BIL SFY24 LSL Program,"$900,000.00",SE,Binder,Yes
205,"ELKHORN, CITY OF",5525‐07,Replace WMs ‐ Jefferson/Wisconsin/Washington/Church Streets,"$1,997,000.00",SE,Binder,No
197,"ELKHORN, CITY OF",5525‐08,Replace Water Main ‐ Wright St,"$294,800.00",SE,Binder,No
197,"WILLIAMS BAY, VILLAGE OF",4938‐03,Install New PRV,"$2,800,000.00",SE,Binder,No
197,"WILLIAMS BAY, VILLAGE OF",5649‐02,Improvements to Water Treatment Facility,"$2,800,000.00",SE,Binder,No
190,"MANITOWOC, CITY OF",5191‐18,BIL SFY24 LSL Program ‐ Municipal,"$1,360,000.00",NE,Hannes,Yes
181,"ELKHORN, CITY OF",5525‐09,Increase Capacity ‐ Lakeland WTP,"$1,728,000.00",SE,Binder,No
