call_label,severity,field,issue,suggestion
1_col_names,ERROR,sfy2022-ppl.csv,Column name case mismatch: 'Project Description' should be 'ProjectDescription' or 'Project Description' - inconsistent with other files,Standardize to 'Project Description' across all files
1_col_names,ERROR,sfy2022-ppl.csv,Column name case mismatch: 'EstimatedProject Cost' should be 'Estimated Project Cost' (missing space),Rename to 'Estimated Project Cost'
1_col_names,WARNING,sfy2022-ppl.csv,"Unexpected extra columns: 'Region', 'CME', 'MHI' not defined in data dictionary",Verify if these columns should be added to data dictionary or removed from file
1_col_names,WARNING,SFY2022-Funding-List.csv,"Unexpected extra columns: 'Region', 'Project Manager', 'CME', '% of Market Rate' not defined in data dictionary",Verify if these columns should be added to data dictionary or removed from file
1_col_names,WARNING,SFY2022-Funding-List.csv,Column 'Total PF Points' present but not explicitly mapped in dictionary (used only for 'Disadvantaged' determination logic),Clarify if this should be a standalone column in dictionary or if mapping is sufficient
1_col_names,WARNING,SFY2022-Funding-List.csv,Column 'Eligible PF %' present but not defined in data dictionary,Add definition or clarify purpose of this column
1_col_names,INFO,both files,Column name spacing inconsistency: 'Project Number' vs 'ProjectNumber',Standardize to 'Project Number' (with space) across all files
2_types_nulls,ERROR,EstimatedProject Cost,Column is character type but should be numeric according to data dictionary. Contains currency formatting ($) that prevents numeric operations.,"Convert to numeric by removing '$' and ',' characters, then cast to numeric type"
2_types_nulls,ERROR,MHI,"Column is character type but should be numeric. Contains currency formatting and irregular spacing (e.g., '$      4 0,385' instead of '$40,385.00'). Data appears corrupted with embedded spaces.","Clean by removing '$', spaces, and commas, then convert to numeric type"
2_types_nulls,ERROR,Requested Project Costs,"Column is character type but should be numeric. Contains currency formatting with irregular spacing patterns (e.g., '$           9 81,249') indicating data corruption or parsing errors.","Remove '$', irregular spaces, and commas, then convert to numeric type"
2_types_nulls,ERROR,PF Estimate,"Column is character type but should be numeric. Contains currency formatting with irregular spacing (e.g., '$               -') and 48.3% null rate. The '-' values represent $0 or missing data.","Convert '-' to 0 or NA, remove '$' and spaces, then convert to numeric type. Document the 48.3% NA rate rationale."
2_types_nulls,ERROR,Eligible PF %,Column is character type but should be numeric. Contains percentage sign that prevents numeric operations.,Remove '%' character and convert to numeric type (as decimal or integer)
