Entity,epic_project_id,Project,PWS ID,Population,County,Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office
Adams County Regional WD,1,Miscellaneous Water Line Imps 2022,OH0100012,"21,810",Adams,"$440,540.00",Construction,Dec-21,REG,SEDO
Adams County Regional WD,2,"Winchester Industrial Park - 12"" WL to Graces Run Rd",OH0100012,"21,810",Adams,"$1,552,000.00",Construction,Dec-21,STD,SEDO
Akron,3,Caustic Soda Feed System Replacement,OH7700011,"280,000",Summit,"$665,750.00",Construction,Apr-22,STD,NEDO
Akron,4,Edgeview Neighborhood WM Ext to Failing Wells,OH7700011,"280,000",Summit,"$1,457,200.00",Construction,Mar-22,REG,NEDO
Akron,5,Lead Service Line Replacement 2021,OH7700011,"280,000",Summit,"$1,000,000.00",Construction,Jul-21,LSL,NEDO
Akron,6,NSSM Booster Station Replacement,OH7700011,"280,000",Summit,"$1,508,800.00",Construction,Aug-21,STD,NEDO
Akron,7,Process Treatment Update Study (Long-Term),OH7700011,"280,000",Summit,"$539,900.00",Planning,Jul-21,PLN,NEDO
Akron,8,Water Main Replacement Program 2021,OH7700011,"280,000",Summit,"$2,312,000.00",Construction,Aug-21,STD,NEDO
Akron,9,West High Pumping Station Replacement,OH7700011,"280,000",Summit,"$1,000,000.00",Construction,Jul-21,STD,NEDO
Akron,10,West Side Transmission Main Lining,OH7700011,"280,000",Summit,"$4,900,000.00",Construction,Aug-21,STD,NEDO
Alliance,11,"Lead Service Line Replacement, Phase II",OH7600011,"22,232",Stark,"$1,000,000.00",Construction,Feb-22,LSL,NEDO
Amesville,12,Water Distribution Improvements,OH0500112,255,Athens,"$223,000.00",Design,Jul-21,DES,SEDO
Amesville,13,Water Distribution Improvements,OH0500112,255,Athens,"$1,907,000.00",Construction,Jun-22,SML,SEDO
Anna,14,New Well and Waterline Improvements,OH7500012,"1,567",Shelby,"$40,000.00",Planning,Aug-21,PLN,SWDO
Anna,15,New Well and Waterline Improvements,OH7500012,"1,567",Shelby,"$30,000.00",Design,Jan-22,DES,SWDO
Anna,16,New Well and Waterline Improvements,OH7500012,"1,567",Shelby,"$197,450.00",Construction,Jun-22,SML,SWDO
Aqua Ohio- Lawrence County,17,Macedonia Hill Waterline Extension,OH4400803,"8,130",Lawrence,"$3,199,000.00",Construction,Jan-22,DIS/REG,SEDO
Arcanum,18,Water Tower Replacement,OH1900112,"2,100",Darke,"$10,000.00",Planning,Jul-21,PLN,SWDO
Arcanum,19,Water Tower Replacement,OH1900112,"2,100",Darke,"$60,000.00",Design,Nov-21,DES,SWDO
Ashtabula County,20,Harpersfield Water Tower,OH0400803,"14,200",Ashtabula,"$1,960,000.00",Construction,Oct-21,STD,NEDO
Ashtabula County,21,Jefferson Rd & Rt. 46 Waterline Ext,OH0400803,"14,200",Ashtabula,"$3,546,600.00",Construction,Feb-22,STD,NEDO
Ashtabula County,22,S. River Rd Waterline Ext,OH0400803,"14,200",Ashtabula,"$1,650,000.00",Construction,Mar-22,REG,NEDO
Ayersville Water & SD,23,AWSD TTHM Removal,OH2000903,"1,660",Defiance,"$850,000.00",Construction,Dec-21,SML,NWDO
Ayersville Water & SD,24,AWSD TTHM Removal,OH2000903,"1,660",Defiance,"$85,000.00",Design,Jul-21,DES,NWDO
Baltic,25,Maple St Waterline Replacement,OH7900112,795,Tuscarawas,"$25,000.00",Planning,Aug-21,PLN,SEDO
Baltic,26,Maple St Waterline Replacement,OH7900112,795,Tuscarawas,"$45,000.00",Design,Feb-22,DES,SEDO
Barnesville,27,"16"" Raw Water Transmission Main - Slope Creek",OH0700011,"6,500",Belmont,"$2,857,000.00",Construction,Jul-21,HAB,SEDO
Beaver,28,Water Storage Tank Improvements,OH6600012,434,Pike,"$619,000.00",Construction,Oct-21,SML,SEDO
Bloomingburg,29,Bloomingburg Water Treatment Plant Replacement 1,OH2400012,919,Fayette,"$254,950.00",Design,Aug-21,DES,CDO
Bloomingburg,30,Bloomingburg Water Treatment Plant Replacement 3,OH2400012,919,Fayette,"$2,238,300.00",Construction,May-22,SML,CDO
