Rank,Project Sponsor,Project Number,Project Name,Population,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,BIL Eligibility
1,Newark City,0714001-012,Construction of a cover for the Cedar Grove Reservoir,285000,500,50,20,0,0,0,80,2.85,652.85,BIL (GEN)
2,Passaic Valley Water Commission,1605002-024,Installation of a 2.0 MG storage tank next to existing Verona storage tank,347052,500,0,20,0,0,0,80,3.47052,603.47052,BIL (GEN)
4,Newark City,0714001-020,Phase-2 Lead Service Line Replacement (LSLR) Project,280139,250,50,20,0,5,0,80,2.90139,407.90139,BIL (LSLR)
5,Trenton City,1111001-011,Lead Service line replacement,391000,250,50,15,0,5,0,80,3.91,403.91,BIL (LSLR)
6,Newark City,0714001-019,Phase-1 Lead Service Line Replacement (LSLR) Project,280139,250,50,15,0,5,0,80,2.80139,402.80139,BIL (LSLR)
8,Hopatcong Borough,1912001-009,"Installation of 48-inch pipe at wells to increase chlorine contact time at
nine wells",7900,350,0,15,0,0,0,0,0.079,365.079,
10,Passaic Valley Water Commission,1605002-002,Lead Service Line Replacement in Main System,306707,250,0,15,0,5,0,80,3.10121,353.10121,BIL (LSLR)
11,Orange City,0717001-015,Orange Twp |PFAS in Well 7 Drinking Water System,32000,250,80,0,5,5,0,0,0.30134,350.30133,BIL (EC)
12,Lakewood Township Municipal Utilities Authority,1514002-001,LTMUA GAC Building (New Hampshire & Shorrock St),22000,250,80,20,0,0,0,0,0.27614,350.27615,BIL (GEN)
13,Orange City,0717001-011,Orange Twp PFOA in Well 8 Drinking Water System,30731,250,0,0,5,5,0,80,0.30134,340.30134,BIL (EC)
13,Orange City,0717001-013,Orange Twp | Well 5 Rehabilitation Project,30731,250,0,0,5,5,0,80,0.30134,340.30134,BIL (GEN)
14,Newark City,0714001-022,"PROCESS AND OPERATIONAL UPGRADES AT THE PEQUANNOCK WATER
TREATMENT PLANT",280000,250,0,0,0,0,0,80,2.94274,332.94274,BIL (GEN)
15,Atlantic City Municipal Utilities Authority,0102001-011,Lead Service Lines Replacement,108998,175,80,15,0,0,0,0,1.08998,321.08997,BIL (LSLR)
17,North Shore Water Association,1904004-001,Existing Well Requires Replacement,105,300,0,20,0,0,0,0,0.00105,320.00105,
18,New Brunswick City,1214001-005,Water Treatment Plant Improvements,50000,160,80,15,5,0,0,0,0.55,315.54999,BIL (GEN)
19,Camden City,0408001-001,PFAS Treatment Improvements at Morris-Delair Water Treatment Plant,54000,160,80,15,0,5,0,0,0.46585,315.46585,BIL (EC)
21,Atlantic City Municipal Utilities Authority,0102001-012,"Water Treatment Plant Facility Infrastructure Replacement &
Improvements and Well Redevolpment",108667,160,80,15,0,0,0,0,1.08667,306.08667,BIL (GEN)
22,Bloomfield Township,0702001-003,Lead Service Line Replacement,47982,300,0,0,5,0,0,0,0.47315,305.47315,
23,"NJ American Water Company, Inc.",1345001-017,Oak Street Treatment Plant Improvements,290470,250,50,0,0,0,0,0,2.9047,302.9047,
24,Aqua New Jersey Incorporate,1103001-005,Addition of radium treatment at Well 9 to resolve MCL exceedance,49000,250,50,0,0,0,0,0,0.49,300.49,BIL (EC)
