,Entity,Project,PWSID,Population,County,Estimated.Loan.Amount,Loan.Type,Estimated.Award.Date,Rate
0,Adams County Regional Water Dist,ARPA Water System Improvements,OH0100012,"6,500",Adams,"$2,120,600",Construction,Oct-22,STD
1,Adams County Regional Water Dist,Winchester Industrial Park Water System Improvements,OH0100012,"25,000",Adams,"$2,434,000",Construction,Oct-22,REG
2,Addyston,Distribution and Transmission Main Replacement,OH3100012,884,Hamilton,"$421,674",Design,Aug-22,PLN/DES
3,Addyston,Distribution and Transmission Main Replacement,OH3100012,900,Hamilton,"$6,248,572",Construction,Jun-23,SML
4,Addyston,Lead Service Line Replacement,OH3100012,884,Hamilton,"$88,269",Design,Aug-22,PLN/DES
5,Addyston,Lead Service Line Replacement,OH3100012,900,Hamilton,"$1,881,488",Construction,Jun-23,LSL
6,Addyston,Sekitan Avenue Lead Service Line Replacement,OH3100012,900,Hamilton,"$558,394",Construction,Jun-23,LSL
7,Addyston,Sekitan Avenue Water Main and LSL Replacement,OH3100012,884,Hamilton,"$79,233",Design,Aug-22,PLN/DES
8,Addyston,Sekitan Avenue Water Main Replacement,OH3100012,900,Hamilton,"$795,577",Construction,Jun-23,SML
9,Akron,Archwood Pumping Station Improvement,OH7700011,"280,000",Summit,"$830,000",Construction,Jun-23,STD
10,Akron,Brittain Road Reservoir Replacement Construction,OH7700011,"280,000",Summit,"$20,000,000",Construction,Aug-22,STD
11,Akron,Caustic Soda Feed System Replacement,OH7700011,"280,000",Summit,"$1,726,903",Construction,Jul-22,STD
12,Akron,Emergency Connection to Cleveland Water,OH7700011,"280,000",Summit,"$100,000,000",Construction,May-23,STD
13,Akron,Home Avenue Utility Crossing over the Little Cuyahoga River,OH7700011,"280,000",Summit,"$317,400",Construction,Sep-22,STD
14,Akron,Lead Service Line Replacement Program 2022,OH7700011,"280,000",Summit,"$5,000,000",Construction,Sep-22,LSL
15,Akron,NSSM Booster Station Replacement,OH7700011,"280,000",Summit,"$1,520,990",Construction,Jul-22,STD
16,Akron,Pumping Station Improvements Quayle,OH7700011,"280,000",Summit,"$500,000",Construction,Sep-22,STD
17,Akron,Raw Water Intake Valve Replacement & Repair ph 1,OH7700011,"280,000",Summit,"$315,900",Construction,Oct-22,STD
18,Akron,University of Akron Water Main Rehabilitation 2023,OH7700011,"280,000",Summit,"$1,975,953",Construction,Sep-22,STD
19,Akron,Water Main Replacement Program 2022,OH7700011,"280,000",Summit,"$970,109",Construction,Aug-22,STD
20,Akron,Water Plant Water Main Upgrade,OH7700011,"280,000",Summit,"$172,800",Construction,Oct-22,STD
21,Alliance,"Lead Service Line Replacement Project, Phase 3",OH760011,"25,153",Stark,"$1,000,000",Construction,Jun-23,LSL
22,Amanda,New Wellfield,OH2300012,737,Fairfield,"$112,900",Design,Sep-22,PLN/DES
23,Amanda,New Wellfield,OH2300012,737,Fairfield,"$668,800",Construction,Jun-23,SML
24,Amesville,Water Distribution Improvements,OH0500112,120,Athens,"$203,000",Design,Aug-22,PLN/DES
25,Amesville,Water Distribution Improvements,OH0500112,120,Athens,"$2,420,000",Construction,Jun-23,SML
26,Arlington,Watermain Replacement,OH3200012,"1,451",Hancock,"$425,000",Construction,Aug-22,SML
27,Ashtabula County,Harpersfield Water Tower,OH0400803,"98,622",Ashtabula,"$3,300,000",Construction,Oct-22,STD
28,Ashtabula County,Northeast Regional Waterline Extension,OH0400803,"14,200",Ashtabula,"$10,432,000",Construction,Mar-23,REG
29,Ashtabula County,S River Road Waterline Extension,OH0400803,"14,200",Ashtabula,"$1,792,000",Construction,Jan-23,REG
30,Ashtabula County,SR 307 and College Street Waterline Replacement,OH0400803,"14,200",Ashtabula,"$1,192,369",Construction,Sep-22,STD
31,Ashtabula County,Water Storage Tank Improvements,OH0400803,"14,200",Ashtabula,"$1,117,000",Construction,Oct-22,STD
32,Athens,Court St & Congress St WL Improvements,OH0500212,"32,725",Athens,"$900,000",Construction,Jun-23,STD
33,Athens,Dairy Lane Water Line Extension,OH0500212,"32,725",Athens,"$1,027,250",Construction,Jan-23,STD
34,Athens,Longview Heights Water Line Improvements,OH0500212,"32,725",Athens,"$400,000",Construction,Jan-23,STD
35,Athens,North Area & Madison Water Line Improvements,OH0500212,"32,725",Athens,"$1,314,966",Construction,Jun-23,STD
36,Athens,Southwest Water Line Area Improvements,OH0500212,"32,725",Athens,"$75,000",Design,Jan-23,STD
37,Athens,Southwest Water Line Area Improvements,OH0500212,"32,725",Athens,"$2,000,000",Construction,Jun-23,STD
38,Athens,West Union Street Water Line Improvements,OH0500212,"32,725",Athens,"$1,750,372",Construction,Apr-23,STD
39,Avon Lake,Eastern Transmission Line Redundancy Project,OH4700311,"25,206",Lorain,"$35,000,000",Construction,Dec-22,STD
40,Baltimore,W. Washington St. Waterline Replacement,OH2300112,"2,966",Fairfield,"$695,000",Construction,Mar-23,SML
41,Beaver,2022 Waterline Replacement,OH6600012,434,Pike,"$799,663",Construction,Apr-23,DIS
42,Bellaire,Lead Service Line Replacement,OH0700114,"4,097",Belmont,"$1,000,000",Construction,Sep-22,LSL
43,Belpre,2.5 MG Water Storage Tank,OH8400012,"7,051",Washington,"$146,045",Design,Aug-22,PLN/DES
44,Belpre,2.5 MG Water Storage Tank,OH8400012,"7,051",Washington,"$4,534,807",Construction,Dec-22,SML
45,Belpre,Water Main Replacement - Clement Avenue to Lockhart Street,OH8400012,500,Washington,"$550,000",Construction,Jun-23,SML
46,Blanchester,Lazenby Street Water Main Replacement,OH1400111,"4,243",Clinton,"$389,950",Construction,Jun-23,SML
47,Blanchester,Orchard View Lane & Orchard Circle Water Main Repl,OH1400111,"4,243",Clinton,"$742,200",Construction,Jun-23,SML
48,Blanchester,Reservoir 3 Improvements2,OH1400111,"4,243",Clinton,"$431,952",Construction,Sep-22,SML
49,Blanchester,Vine Street Water Tower Rehabilitation,OH1400111,"4,243",Clinton,"$695,000",Construction,Oct-22,SML
50,Bloomingburg,Bloomingburg Water Treatment Plant Replacement,OH2400012,919,Fayette,"$254,950",Design,Aug-22,PLN/DES
51,Bloomingburg,Bloomingburg Water Treatment Plant Replacement,OH2400012,919,Fayette,"$2,238,300",Construction,Apr-23,SML
52,Bowerston,New Water Treatment Plant and Raw Water Improvements Project1,OH3400112,437,Harrison,"$386,650",Design,Jul-22,PLN/DES
53,Bowerston,Water System (LSLR) Improvements Project,OH34001121,437,Harrison,"$225,000",Construction,Mar-23,LSL
54,Bowerston,Water System Improvements Project,OH34001121,740,Harrison,"$447,764",Design,Aug-22,PLN/DES
55,Bowling Green,Low Service Pump Station #1 Improvements HAB,OH8700311,"31,529",Wood,"$2,600,000",Construction,Dec-22,HAB
56,Bowling Green,The Village Subdivision Waterline Improvements,OH8700311,"31,578",Wood,"$1,750,000",Construction,Sep-22,STD
57,Bremen,Water Meter Replacement,OH2300212,"1,425",Fairfield,"$459,600",Construction,May-23,SML
58,Brilliant Water and Sewer District,2022-2023 Water Line Replacement,OH4100412,"2,100",Jefferson,"$55,000",Planning,Aug-22,PLN/DES
59,Brilliant Water and Sewer District,2022-2023 Waterline Replacement,OH4100412,"2,100",Jefferson,"$437,000",Design,Sep-22,PLN/DES
60,Brilliant Water and Sewer District,2022-2023 Waterline Replacement,OH4100412,"2,100",Jefferson,"$2,030,300",Construction,Mar-23,DIS
61,Brown County Rural Water Association,Village of Ripley / Ripley Union Water System Improvements,OH0802012,"5,000",Brown,"$5,446,050",Construction,Oct-22,DIS/REG
62,Brown County Rural Water Association,Wahlsburg Tank,OH0802012,"22,000",Brown,"$5,800,000",Construction,Oct-22,STD
63,Bucyrus,Nevada Waterline Extension,OH1700011,733,Crawford,"$1,636,518",Construction,Aug-22,REG
64,Burr Oak Regional Water District,Morgan County- Bishopville Expansion,OH0501311,761,Athens,"$665,800",Construction,Mar-23,DIS/REG
65,Cadiz,Lead Service Line Replacement Project,OH3400214,"3,550",Harrison,"$578,000",Construction,Sep-22,LSL
66,Cadiz,Phase II & Phase III Water System Improvements,OH3400214,"3,268",Harrison,"$3,677,000",Construction,Jun-23,SML
67,Caldwell,Water Main To East Tank,OH6100011,"7,550",Noble,"$1,497,117",Construction,Mar-23,SML
68,Caldwell,Water Main to East Tank,OH6100011,"2,334",Noble,"$120,000",Design,Sep-22,PLN/DES
69,Caldwell,Water Main to East Tank,OH6100011,"2,334",Noble,"$30,000",Planning,Aug-22,PLN/DES
70,Caldwell,WTP & Raw Well Source Improvements,OH6100011,"2,334",Noble,"$40,000",Planning,Aug-22,PLN/DES
71,Caldwell,WTP & Raw Well Source Improvements,OH6100011,"2,334",Noble,"$600,000",Design,Sep-22,PLN/DES
72,Caldwell,WTP & Raw Well Source Improvements,OH6100011,"2,334",Noble,"$6,000,000",Construction,Mar-23,SML
73,Canal Winchester,2023 Waterline Improvements,OH2500312,"9,286",Franklin,"$2,610,000",Construction,Mar-23,SML
74,Canfield,Canfield Tank Rehabilitation/Asset Management Program,OH5000503,"7,423",Mahoning,"$2,713,000",Construction,Jan-23,SML
75,Canton,Canton Water Dept. Service  Center Shop Renovations,OH7608112,"107,500",Stark,"$8,600,000",Construction,May-23,STD
76,Canton,Sugar Creek WTP and Wellfield Improvements,OH7608112,"107,500",Stark,"$32,000,000",Construction,Jul-22,STD
77,Carey,Water Line Replacement,OH8800012,"3,565",Wyandot,"$132,583",Construction,Apr-23,SML
78,Chagrin Falls,Maple Street Waterline Replacement,OH1800212,"5,000",Cuyahoga,"$560,000",Construction,Jan-23,SML
79,Chagrin Falls,Walnut Street Waterline Replacement,OH1800212,"5,000",Cuyahoga,"$140,000",Design,Jan-23,PLN/DES
80,Chagrin Falls,Walnut Street Waterline Replacement,OH1800212,"5,000",Cuyahoga,"$560,000",Construction,Jan-23,SML
81,Cincinnati,Apple Cooper Hanfield Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,307,000",Construction,May-23,STD/LSL
82,Cincinnati,Bevis Bonaparte Clarion Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,665,000",Construction,May-23,STD/LSL
83,Cincinnati,Burch East Hill Shaw Water Main Replacement,OH3102612,"450,200",Hamilton,"$2,422,000",Construction,May-23,STD/LSL
84,Cincinnati,Cappel Drive Waterline Replacement,OH3102612,"301,394",Hamilton,"$2,422,000",Construction,May-23,STD/LSL
85,Cincinnati,Carson Avenue Waterline Replacement,OH3102612,"301,394",Hamilton,"$2,485,000",Construction,May-23,STD/LSL
86,Cincinnati,CUF Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,111,000",Construction,May-23,STD/LSL
87,Cincinnati,Dayton Horace Naeher Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,979,000",Construction,May-23,STD/LSL
88,Cincinnati,Dunore Road Waterline Replacement,OH3102612,"301,394",Hamilton,"$593,000",Construction,May-23,STD/LSL
89,Cincinnati,E. McMillan Street Waterline Replacement,OH3102612,"301,394",Hamilton,"$1,614,000",Construction,May-23,STD/LSL
90,Cincinnati,East Price Hill Water Main Replacement,OH3102612,"750,200",Hamilton,"$3,321,000",Construction,May-23,STD/LSL
91,Cincinnati,Fairview Graham Probasco Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,817,000",Construction,May-23,STD/LSL
92,Cincinnati,Fire Flow Collection Waterline Replacement,OH3102612,"750,200",Hamilton,"$2,913,000",Construction,May-23,STD/LSL
93,Cincinnati,Hyde Park Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,688,000",Construction,May-23,STD/LSL
94,Cincinnati,Lisbon Avenue Waterline Replacement,OH3102612,"301,394",Hamilton,"$2,006,000",Construction,May-23,STD/LSL
95,Cincinnati,Symmes Fowler Water Main Replacement,OH3102612,"750,200",Hamilton,"$5,561,000",Construction,May-23,STD/LSL
96,Cincinnati,West Price Hill Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,810,000",Construction,May-23,STD/LSL
97,Cleveland,Boosted 3rd High System - Pump Station,OH1801212,"389,165",Cuyahoga,"$5,500,000",Construction,Sep-22,STD
98,Cleveland,Boosted 3rd High System - Tower,OH1801212,"1,300,000",Cuyahoga,"$12,000,000",Construction,Jul-22,STD
99,Coal Grove,Coal Grove Interconnection with Ironton,OH4400012,"1,913",Lawrence,"$126,600",Design,Aug-22,REG
100,Coal Grove,Coal Grove Interconnection with Ironton,OH4400012,"2,167",Lawrence,"$326,600",Construction,Sep-22,REG
101,Columbus,Aragon Ave Area Water Line Improvements,OH2504412,"837,038",Franklin,"$3,000,000",Construction,Oct-22,STD
102,Columbus,Atwood Terrace Area WL Improvements,OH2504412,"837,038",Franklin,"$3,500,000",Construction,Sep-22,STD
103,Columbus,Brixham Road WL Imp,OH2504412,"1,233,879",Franklin,"$3,000,000",Construction,Apr-23,STD
104,Columbus,DRWP Laboratory Upgrades CIP 690523-100000,OH2504412,"1,233,879",Franklin,"$2,000,000",Construction,Feb-23,STD
105,Columbus,"Dublin Road 30-lnch Water Line Extension, CIP 690502-100000",OH2504412,"837,038",Franklin,"$10,000,000",Construction,Oct-22,STD
106,Columbus,"English Way WL Imprs, CIP 690236-100153",OH2504412,"1,233,879",Franklin,"$115,620",Construction,Sep-22,STD
107,Columbus,"Enhanced Meter Equip (AMI) Phase 2, CIP 690358-100000",OH2504412,"837,038",Franklin,"$33,000,000",Construction,Jul-22,STD
108,Columbus,Eureka-Fremont Area WL Imprs CIP #690236-100143,OH2504412,"852,144",Franklin,"$2,000,000",Construction,Dec-22,STD
109,Columbus,"Greenway Ave Area WL Improvements, CIP 690236-100100",OH2504412,"837,038",Franklin,"$3,450,000",Construction,Sep-22,STD
110,Columbus,"HCWP Hypochlorite Disinfection Imps,  CIP 690486-100000",OH2504412,"837,038",Franklin,"$29,000,000",Construction,Oct-22,STD
111,Columbus,HCWP Lime & Soda Ash Dust Coll Sys Imprs CIP #690545-100000,OH5200412,"852,144",Franklin,"$3,000,000",Construction,Oct-22,STD
112,Columbus,Kent-Fairwood Area WL Imprs CIP #690236-10014,OH2504412,"852,144",Franklin,"$1,000,000",Construction,Jan-23,STD
113,Columbus,"Manchester Ave WL Improvements, CIP 690236-100113",OH2504412,"837,038",Franklin,"$1,000,000",Construction,Sep-22,STD
114,Columbus,Miller Ave Area WL Imprs CIP 690236-100122,OH2504412,"1,233,879",Franklin,"$3,000,000",Construction,Mar-23,STD
115,Columbus,"Norris Dr. Area WL Imprs, CIP 690236-100124",OH2504412,"1,233,879",Franklin,"$3,500,000",Construction,Jan-23,STD
116,Columbus,PAWP Control Room Renovation CIP #690291-100003,OH2504412,"852,144",Franklin,"$2,500,000",Construction,Jan-23,STD
117,Columbus,PAWP Hypochlorite Disinfection Improvements; 690487-100000,OH2504412,"837,038",Franklin,"$22,000,000",Construction,Dec-22,STD
118,Columbus,"PAWP Lime Staker & Soda Ash Feeder Repl,  CIP 690291-100002",OH2504412,"837,038",Franklin,"$12,400,000",Construction,Oct-22,STD
119,Columbus,Plant Drain & Water System Improvements,OH2504412,"852,144",Franklin,"$7,500,000",Construction,Feb-23,STD
120,Columbus,"Residuals Turnkey Dewatering Services, CIP 690540-100002",OH2504412,"1,233,879",Franklin,"$46,000,000",Construction,Dec-22,STD
121,Columbus,"Riverview Dr. Area WL Imprs, CIP 690236-100125",OH2504412,"1,233,879",Franklin,"$3,000,000",Construction,Jun-23,STD
122,Columbus,Roosevelt Ave Area WL Imprs CIP 690236-100123,OH2504412,"1,233,879",Franklin,"$3,000,000",Construction,Oct-22,STD
123,Columbus,Roswell Drive Area WL Imprs CIP #690236-100107,OH5200412,"852,144",Franklin,"$3,400,000",Construction,Sep-22,STD
124,Columbus,South Hampton Rd. Area WL Improvements,OH2504412,"1,281,510",Franklin,"$3,400,000",Construction,Aug-22,STD
