Community,Project Score,Population,Total Project Cost,Affordability Score,Potential Principal Forgiveness,Est. Notice to Proceed,Est. Construction Start,Est. Construction Completion,Est. Interst Rate,Est. Terms,Fundable,TOTAL DISBURS.,Project Description
Lone Oak,65,77,"$60,000 ",28,,4/1/2022,4/1/2022,5/31/2022,1.13%,,Fundable,"$60,000 ",20 Water Meter Replacement
City of Adel,55,5297,"$400,000 ",29,"$140,000 ",2/14/2023,3/1/2023,12/15/2023,1.13%,20,Fundable,"$400,000 ","Approximately 3,100 feet of 12” PVC  water main will be installed in  conjunction with a road re-alignment to  replace an existing water line located  west of Interstate 75 in Adel, GA. The  existing line is a 10” ductile iron pipe that  is over forty (40) years old. The new  water line will improve water supply and  pressure, as well as provide better fire  protection, for existing residential and  commercial customers in this area. The  new main will also reduce water loss in  the system and it will provide  redundancy by connecting the NW  portion of the City water system with a  500,000 gal elevated tank south of the  project site."
City of Lumpkin,50,942,"$378,000 ",33,"$189,000 ",8/1/2022,9/1/2022,12/31/2023,1.13%,20,Fundable,"$378,000 ","The City currently has approximately 580  existing water meters that will be  upgraded from existing manually read  meters to a “drive-by” automated meter  reading system.  The majority of the  City’s existing meters are nearing the end  of their service life and are no longer  accurately recording water usage.  The  City plans to replace all existing meter  registers with new meters with AMR  capable registers.  These new meters will  improve water conservation with  improved accuracy, improved leak  detection capabilities, reduce labor costs  and fuel consumption required to read  meters.  In addition to the replacement  of existing meters this project will install  backflow prevention devices on all  existing water services."
Georgetown Quitman Water &  Sewer Authority,50,,"$767,000 ",31,"$383,500 ",10/15/2022,11/15/2022,12/31/2023,1.13%,20,Fundable,"$767,000 ","The Water and Sewer Authority currently  has approximately 900 existing water  meters that will be upgraded from  existing manually read meters to a “drive- by” automated meter reading system.   The Water and Sewer Authority plans to  replace all existing meter registers with  new meters with AMR capable registers.   These new meters will improve water  conservation with improved accuracy,  improved leak detection capabilities,  reduce labor costs and fuel consumption  required to read meters. The Water and Sewer Authority also  plans to replace several existing water  mains that have frequent leaks and  require repairs.  These mains will be  replaced with new PVC water mains, gate  valves, fire hydrants, service lines, and  other necessary appurtenances."
City of Waycross,45,13638,"$3,000,000 ",34,"$1,500,000 ",9/5/2022,9/5/2022,9/1/2023,1.13%,20,Fundable,"$3,000,000 ","has a lead-based primer that is not up to  drinking water quality standards and is  out of use. It is proposed to have its  coating stripped and resurfaced and  reconnected to the City/Industrial Park  water systems to bolster both capacity  and pressure. Numerous SCADA  upgrades at 7 elevated water tank and 4  deep well locations to enhance system  security and metering infrastructure are  also to be installed. Well #4 at the  Waycross Water Plant will be  investigated and have its casing repaired  and pump replaced if necessary to  improve drinking water quality. The  Water Plant building will also undergo an  interior renovation for better use by  system operators and staff. A city-wide  lead/copper and problem service line  inspection and inventory will be made to  help address system deficiencies,  including water loss, water quality, and  pressure. Chemical feed/corrosion  control upgrades at four well sites will be  implemented using the existing buildings  to assist with disinfection and treatment  of drinking water. Approximately thirty"
City of  Blakely,45,4605,"$1,680,000 ",34,"$1,008,000 ",8/1/2022,8/30/2022,8/30/2023,1.13%,20,Fundable,"$1,680,000 ","AMI Water Meter Replacement The City currently has approximately  2,400 existing water meters that will be  upgraded from a combination of existing  manually read meters and old  nonfunctioning advanced meter  infrastructure meters to a new fixed base  advanced metering infrastructure  system.  The City plans to replace all  existing meters and registers with new  meters and AMI capable registers."
City of Oxford,45,2093,"$500,000 ",30,"$250,000 ",7/1/2022,1/2/2023,12/31/2023,1.13%,20,Fundable,"$500,000 ",This project will find lead service lines  and replace them to meet the new  compliance requirements outlined in the  LCR Revisions.
City of Ludowici,45,2223,"$900,000 ",30,"$450,000 ",11/1/2022,12/1/2022,12/1/2023,1.13%,20,Fundable,"$900,000 ","The City proposes to replace their old,  existing water meters with new radio- read water meters and repaint two  existing elevated water tanks."
City of Toccoa,45,8328,"$500,000 ",27,,7/1/2022,1/2/2023,12/31/2023,1.13%,20,Fundable,"$500,000 ",This project will find lead service lines  and replace them to meet the new  compliance requirements outlined in the  LCR Revisions.
City of Monticello,45,2687,"$500,000 ",26,,7/1/2022,1/2/2023,12/31/2023,1.13%,20,Fundable,"$500,000 ",This project will find lead service lines  and replace them to meet the new  compliance requirements outlined in the  LCR Revisions.
Coosa Water Authority,45,,"$3,830,000 ",25,,3/1/2023,3/1/2023,7/1/2026,1.13%,20,Fundable,"$2,900,000 ","Replace undersized, leaking water lines,  locate and develop one or more new  water supply wells, and improve system  storage.  Work will include water line  replacements, one or more new wells  with treatment facilities, a water storage  tank, and appurtenances."
City of Cornelia,45,4510,"$500,000 ",23,,7/1/2022,1/2/2023,12/31/2023,1.13%,20,Fundable,"$500,000 ",This project will find lead service lines  and replace them to meet the new  compliance requirements outlined in the  LCR Revisions.
City of Winder,45,17054,"$500,000 ",20,,7/1/2022,1/2/2023,12/31/2023,1.13%,20,Fundable,"$500,000 ",This project will find lead service lines  and replace them to meet the new  compliance requirements outlined in the  LCR Revisions.
Oconee County,45,39194,"$500,000 ",16,,7/1/2022,1/2/2023,12/31/2023,1.13%,20,Fundable,"$500,000 ",This project will find lead service lines  and replace them to meet the new  compliance requirements outlined in the  LCR Revisions.
Rabun County Water and Sewer  Authority,40,,"$1,800,000 ",29,"$630,000 ",12/1/2022,1/1/2023,1/1/2024,1.13%,20,Fundable,"$1,800,000 ",The Rabun County Water and Sewer  Authority proposes to extend its water  system along Wolffork to residents in an  area of Rabun County that currently lack  a public water system. These residents  are affected by dry or contaminated  wells. The project will also provide a  system loop that will improve flow and  system reliability.
City of Bowdon,40,2685,"$2,180,000 ",29,"$763,000 ",1/27/2023,3/31/2023,12/29/2023,1.13%,20,Fundable,"$2,180,000 ","Replace leaky antiquated waterlines (the  newest of which are 45 years old) and  consolidate multiple undersized  intertwined mains (3-4) serving the same  customer base. Fire hydrants on  undersized 4” tuberculated cast iron  mains and encountered lead components  will be taken out-of-service.  Additional  isolation valves and new fire hydrants will  be incorporated to enhance functionality.  Service lines will be replaced to the  recently changed-out meters. These  improvements will enhance operation,  improve reliability, reduce water loss,  and ensure lead components are  properly abandoned."
City of Dillard,40,328,"$1,750,000 ",24,,8/1/2023,9/1/2023,5/1/2024,1.13%,20,Fundable,"$1,750,000 ","The City of Dillard proposes to extend its  water system to residents in an area of  the City that currently lacks a public  water system, and construct a 200,000  water tank.  Currently, the City does not  have any water storage and relies on  other water suppliers to supply flow,  pressure, and storage."
City of Baldwin,40,3593,"$4,400,000 ",20,,12/1/2024,2/1/2025,2/1/2026,1.13%,20,Fundable,"$1,750,000 ",The City of Baldwin proposes to construct  a pre-sedimentation pond in order to  provide improved raw water quality and  reliability during drought periods and  heavy rain events.
City of Blue Ridge,35,1168,"$350,000 ",31,"$175,000 ",1/1/2023,2/1/2023,11/1/2023,1.13%,20,Fundable,"$350,000 ","Replacement and upgrade of the existing  water lines and booster pump station  surveying the Mountain Tops subdivision.   The booster pump station needs pump  replacement, addition of VFDs, electrical  upgrades, building improvements, and  other miscellaneous appurtenances.  The  existing water lines in the area of the  booster pump station also need to be  upgraded for additional flow capacity."
