APPLICANT NAME,REGION,DEP PROJECT RATING,STREET ADDRESS,CITY,COUNTY,PWSID,PROJRANK,FUND SOURCE,PROJECT COST,MTGDATE,PROJECT TYPE,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN PROJECT,GREEN CATEGORY,BUSINESS CASE,GREEN AMOUNT
PITTSBURGH WATER & SEWER AUTH. - 2024 AND 2023 A2 SMALL DIA. MAIN REPL. (LEAD),V,76,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,1,DWSRF,"$7,390,224",10/15/2025,LSL,"Project will includes replacement of approximately 1,607 lead service lines, which includes an estimate 482 private lead service lines, 562 public lead service lines. Some customers will require both public and private side replacement while others will only receive either public or private replacement based upon where the lead pipe component is located.","Due to the advanced age of the pipes, replacement of these mains will reduce the frequency of water main breaks, which will minimize the risk to public health caused by the resulting potential exposure to infectious diseases and will reduce the impact of unplanned water outages and street closures required due to emergency repairs. The replacement of lead service lines will improve public health outcomes by reducing the amount of exposure to lead.","520,000",111,Yes,Water Efficiency,Not Required,"$75,000"
PENNSYLVANIA AMERICAN - COATSVILLE LSLR PHASE 1,I,75,"114 E. LINCOLN HWY, PO BOX 791",COATESVILLE,CHESTER,1150106,2,DWSRF,"$4,200,000",7/16/2025,LSL,"The proposed project includes replacement of 240 utility owned/private owned lead and galvanized lead impacted water service lines (complete water service line replacement), all located within the City of Coatesville Census Tracts 3054, 3055 and 3056 service areas. The proposed water service line replacement process includes excavating an approximate 5’x5’ pit at the existing water main generally within the paved roadway and an approximate 5’x5’ pit at the curb box generally near the public/private property line on the private property side of the roadway curb line. From those pits, it is proposed that the contractor will disconnect the existing lead line and pull a new service line through the same trench line between the two pits (main to curb box) and between the last pit and the home (curb box to home) for a complete lead service line replacement from the house to the watermain.",System has a number of owned/privately owned lead and galvanized lead impacted water service lines that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will help eliminate lead and eliminate chance of lead poisoning within the service area.,"13,000",110,No,N/A,N/A,$0
PITTSBURGH WATER & SEWER AUTHORITY - 2025B LSLR,V,73,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,3,DWSRF,"$25,490,000",7/16/2025,LSL,"PWSA estimates that this project 2025B will replace around about 3,123 lead service lines. PWSA started efforts to replace public lead service lines in 2017 and included private lead service lines starting in early 2018. While great strides have been made in both corrosion control treatment (CCT) and Lead Service Line Replacement (LSLR), much work remains. As critical as CCT is to water quality, the issue of lead in drinking water will not be resolved until all lead service lines are removed from the system. PWSA’s goal is to remove all lead service lines by 2026 - – given the latest budget projections this has been extended to the end of 2027.","Based on PWSA's prioritization model run and following the previous Neighborhood LSLR Program 2023A, 2023B, 2024A, 2024B, and 2025A, PWSA estimates that this project 2025B will replace around about 3,123 lead service lines.","520,000",108,No,N/A,N/A,$0
"MERCERSBURG WATER AUTHORITY - WATER SYSTEM IMPROVEMENTS, PHASE 1",III,73,113 SOUTH MAIN ST,MERCERBURG,FRANKLIN,7280021,4,DWSRF,"$2,061,800",10/16/2024,"TREAT, WS, PS","This project includes construction of the Park Avenue water treatment facility which will treat water from the new Park Avenue Well (150-gpm). The new facility will contain systems for raw water straining, softening, nitrate removal, orthophosphate addition, sodium hypochlorite addition, and chlorine contact time. This project also includes construction of a 300,000-gal finished water storage tank and a 500-gpm booster pump station to deliver water from the new facility. The Buck Run water treatment facility will treat water from the existing Buck Run and Zimm wells, and will be submitted to PENNVEST as a separate project.","The Mercersburg Water Authority (Authority) owns the Buck Run filter plant which treats surface water from the Buck Run Reservoir. The existing reservoir and filter plant are in need of major rehabilitation or replacement as evidenced by numerous violations of the Safe Drinking Water Act which were recorded in a Notice of Violation (NOV) dated February 26, 2020. The Authority entered into a Consent Order and Agreement (COA) with the Department on September 10, 2020. This COA required the Authority to prepare an Existing Facilities and Treatment Alternative Study which outlined methods for compliance, the costs of those methods, and the Authority’s plan for achieving compliance. The Study concluded that the lowest cost, feasible compliance alternative was the development of a new groundwater source and the construction of two new water treatment facilities: the Park Avenue water treatment facility and the Buck Run water treatment facility. This alternative will allow the Authority to abandon the Buck Run Reservoir and existing filter plant.","2,350",88,No,N/A,N/A,$0
"MERCERSBURG WATER AUTHORITY – WATER SYSTEM IMPROVEMENTS, PHASE 2",III,73,113 SOUTH MAIN ST,MERCERBURG,FRANKLIN,7280021,5,DWSRF,"$3,845,572",1/21/2026,TREAT,"This water system improvement project includes abandoning the existing Buck Run water treatment facility and replacing it with a new greensand filtration facility. The new facility will treat water from the existing Buck Run Well with 50 gallon per minute capacity and the Zimm Well with 100 gallon per minute capacity using pH adjustment, oxidation and pressure filtration to remove iron, disinfection, and orthophosphate addition for corrosion control. The new facility, in conjunction with the Park Avenue well and treatment facility which are under construction, will allow the Authority to remove the Buck Run reservoir from service and continue to supply a reliable quality and quantity of water to its customers.","The Mercersburg Water Authority (Authority) owns the Buck Run filter plant which treats surface water from the Buck Run Reservoir. The existing reservoir and filter plant are in need of major rehabilitation or replacement as evidenced by numerous violations of the Safe Drinking Water Act which were recorded in a Notice of Violation (NOV) dated February 26, 2020. The Authority entered into a Consent Order and Agreement (COA) with the Department on September 10, 2020. This COA required the Authority to prepare an Existing Facilities and Treatment Alternative Study which outlined methods for compliance, the costs of those methods, and the Authority’s plan for achieving compliance. The Study concluded that the lowest cost, feasible compliance alternative was the development of a new groundwater source and the construction of two new water treatment facilities, the Park Avenue water treatment facility and the Buck Run water treatment facility. This alternative will allow the Authority to abandon the Buck Run Reservoir and existing filter plant.","2,350",88,No,N/A,Not Required,$0
WILKINSBURG-PENN JOINT WATER AUTHORITY - LEAD SERVICE LINE REPLACEMENTS PHASE 4,V,73,2200 ROBINSON BOULEVARD,WILKINSBURG,ALLEGHENY,5020056,6,DWSRF,"$10,000,000",1/21/2026,LSL,"Project includes replacement of 1,000 residential lead services lines throughout the service area with ¾ inch copper service line.","Authority has approximately 3,000 remaining service lines with lead that are mandated to be replaced by the latest edition of the Lead and Copper Rule. System also has very high unaccounted for water loss.","125,000",114,No,N/A,N/A,$0
PENNSYLVANIA-AMERICAN WATER COMPANY - UNIONTOWN LSLR PHASE 1,V,71,"300 GALLEY ROAD, P.O.BOX 1290",MCMURRAY,FAYETTE,5260020,7,DWSRF,"$5,400,000",10/15/2025,LSL,Project will include replacement of approximately 389 lead service lines as identified throughout the service area.,"To meet PADEP and EPA requirements, PAWC is required to replace all lead and lead impacted galvanized water service lines. PAWC has numerous lead service lines in the project areas and is working to replace the ones that we have currently identified.","23,125",106,No,N/A,N/A,$0
PITTSBURGH WATER & SEWER AUTHORITY- 2026A LSLR,V,70,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,8,DWSRF,"$31,510,340",1/21/2026,LSL,"Based on PWSA's prioritization model run and following the previous Neighborhood LSLR Program 2023A, 2023B, 2024A, 2024B, 2025A, and 2025B, PWSA estimates that this project 2026A will replace about 3,495 lead service lines. Total project cost is $34,847,620.83 including Pennvest $31,510,340.39 and Pittsburgh Water Capital $3,337,280.45.","PWSA started efforts to replace public lead service lines in 2017 and included private lead service lines starting in early 2018. While great strides have been made in both corrosion control treatment (CCT) and Lead Service Line Replacement (LSLR), much work remains. As critical as CCT is to water quality, the issue of lead in drinking water will not be resolved until all lead service lines are removed from the system. PWSA’s goal is to remove all lead service lines by 2026 - given the latest budget projections this has been extended to the end of 2027.","520,000",105,No,N/A,N/A,$0
THE MUNICIPAL AUTHORITY OF THE BOROUGH OF PORTAGE - WATERLINE & METER REPLACEMENT PROJECT,V,69,606 CAMBRIA STREET,PORTAGE,CAMBRIA,4110027,9,DWSRF,"$16,565,000",7/16/2025,"DS, LSL","The proposed project includes the installation of approximately 34,500 linear feet of water mains, approximately 15,700 linear feet of service lines, 24 fire hydrants, approximately 580 meter pits, and appurtenances by utilizing mostly open trench methods of excavation. Installations around railroad crossings and stream crossings will be completed by jack and bore to allow ease of replacement in the future, if required. The project also consists of replacing 6 identified lead and galvanized service lines and during construction, if any additional lead and galvanized service lines are encountered, the contractor will replace those as well.","Old, antiquated lines, exist in the system, many of which are nearing 100 years of service. This area has seen more breaks and leaks in recent months. Since the Authority has a high unaccounted water loss of 62.9%, this area seems to be a place to start water line replacement since it has a lot of older lines. As per a recommendation from the DEP, many of the meters will be removed from the structures and placed in meter pits at the property lines.","7,600",88,Yes,Water Efficiency,Not Required,"$13,323,800"
ERIE CITY WATER AUTHORITY - CUSTOMER SIDE GALVANIZED SERVICE LINE REPLACEMENT - PHASE 3,VI,68,340 WEST BAYFRONT PARKWAY,ERIE,ERIE,6250028,10,DWSRF,"$6,500,000",7/16/2025,LSL,"The project will replace galvanized, or wrought iron, lines on the customer (private) side that are currently or were previously downstream of a lead line, from the curb valve to the location where the service line enters the house. These services are often aged, deteriorated, and leaking as well. The project is Phase 3 of a 5 Phase effort. The project aims to replace approximately 860 total galvanized customer side service lines over a period of three years.","Existing galvanized, or wrought iron, lines on the customer (private) side that are currently or were previously downstream of a lead line, which can leach out lead in the water.","180,000",91,No,N/A,N/A,$0
