epic_merge_id,APPLICANT NAME,REGION,DEP PROJECT RATING,STREET ADDRESS,CITY,COUNTY,PWSID,PROJRANK,FUND SOURCE,PROJECT COST,MTGDATE,PROJECT TYPE,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN PROJECT,GREEN CATEGORY,BUSINESS CASE,GREEN AMOUNT
1,"MERCERSBURG WATER AUTHORITY - WATER SYSTEM IMPROVEMENTS, PHASE 1",III,73,113 SOUTH MAIN ST,MERCERBURG,FRANKLIN,7280021,1,DWSRF,"$2,061,800",10/16/2024,"TREAT, WS, PS","This project includes construction of the Park Avenue water treatment facility which will treat water from the new Park Avenue Well (150-gpm). The new facility will contain systems for raw water straining, softening, nitrate removal, orthophosphate addition, sodium hypochlorite addition, and chlorine contact time. This project also includes construction of a 300,000-gal finished water storage tank and a 500-gpm booster pump station to deliver water from the new facility. The Buck Run water treatment facility will treat water from the existing Buck Run and Zimm wells, and will be submitted to PENNVEST as a separate project.","The Mercersburg Water Authority (Authority) owns the Buck Run filter plant which treats surface water from the Buck Run Reservoir. The existing reservoir and filter plant are in need of major rehabilitation or replacement as evidenced by numerous violations of the Safe Drinking Water Act which were recorded in a Notice of Violation (NOV) dated February 26, 2020. The Authority entered into a Consent Order and Agreement (COA) with the Department on September 10, 2020. This COA required the Authority to prepare an Existing Facilities and Treatment Alternative Study which outlined methods for compliance, the costs of those methods, and the Authority’s plan for achieving compliance. The Study concluded that the lowest cost, feasible compliance alternative was the development of a new groundwater source and the construction of two new water treatment facilities: the Park Avenue water treatment facility and the Buck Run water treatment facility. This alternative will allow the Authority to abandon the Buck Run Reservoir and existing filter plant.","2,350",88,No,N/A,N/A,$0
2,CITY OF PHILADELPHIA - EAST PARK BOOSTER PUMPING STATION,I,63,1101 MARKET STREET,PHILADELPHIA,PHILADELPHIA,1510001,2,DWSRF,"$68,775,000",1/22/2025,PS,"A new East Park Booster Pump Station will be constructed to replace the aging station and to provide upgrades to existing operations. The proposed project includes constructing a new building in the vicinity of the existing booster pump station. The new station will improve emergency resiliency by providing four pumps with 24 million gallon per day (MGD) capacity each, which provides an additional pump to allow for maintenance and repairs along with on-site emergency backup.","The existing East Park Booster Pump Station, built in 1937 near the intersection of Girard Avenue and 33rd Street, is a critical station in Philadelphia Water Department’s distribution system feeding the sole water transmission main that moves water from the east to the west side of the Schuylkill River. The station’s two main functions are to provide approximately seven (7) MGD of water into the Belmont gravity district during typical operation, and to act as the only emergency backup to the Belmont Water Treatment Plant during events, such as treatment plant upsets and large transmission main breaks. The existing station has three (3) pumps with a rated capacity of 25 MGD.","1,600,000",78,Yes,Energy Efficiency,N/A,"$8,150,000"
3,BOROUGH OF BRACKENRIDGE - WATER FILTRATION PLANT CONSENT ORDER IMPROVEMENTS,V,61,1000 BRACKENRIDGE AVENUE,BRACKENRIDGE,ALLEGHENY,5020006,3,APPLICATION PENDING,"$5,950,000",,TREAT,"The Borough proposes to upgrade its existing water treatment plant to remedy structural and operational deficiencies. The project includes site piping improvements for the Clearwell and on-site distribution storage tanks to provide automatic shutdown capability isolating the Clearwell from distribution storage, construction of a new flocculation tank with flash mixing, installation of new Lamella plate clarifier equipment inside the existing clarifier tank, repairs and improvements to backwash equalization chamber and piping, improvement in general electrical control systems, and demolition of exterior circular clarifier in accordance with consent order and agreement (COA) with the Pennsylvania Department of Environmental Protection (PADEP).","Brackenridge Borough entered into a COA with the PADEP on June 27, 2024, to improve the water treatment plant. Improvements to the Clearwell and on-site distribution storage tanks are necessary to provide automatic shutdown capability isolating the Clearwell from distribution storage. As part of this project other improvements are proposed to remedy structural repairs needed which include clarifier improvements.","3,700",80,No,N/A,N/A,$0
4,SCHUYLKILL COUNTY MUNICIPAL AUTHORITY - MOREA SYSTEM IMPROVEMENTS,II,61,77 MAIN STREET,MOREA COLLIERY,SCHUYLKILL,3540021,4,DWSRF,"$8,450,000",1/22/2025,"SRC, TREAT, DS","The project consists of constructing a new treatment facility including iron and manganese removal, chemical supplication, and disinfection. The system will produce 144,000 gallons per day (GPD) of drinking water. A new 100 gallon per minute (gpm) submersible well pump and two 100 gpm high service booster pumps will be installed as well as 830 linear feet of 8-inch diameter ductile iron transmission main from the treatment plant to the distribution system. Additionally, 120 service lines will be equipped with new meters and any private service lines found to be lead will be replaced and all public service lines will be replaced.","Catastrophic failure hit the Morea Citizens Water Company (MCWC) on December 25, 2022, with a system tank completely failing. With failure of the tank, there was no water storage for operational, emergency, or fire purposes. An emergency interconnection was made to Schuylkill County Municipal Authority (SCMA) and the use of Well No. 2 was discontinued. SCMA has taken over the MCWC system and plans to complete the needed upgrades for source reliability in the event of emergencies or fire service needs.",225,86,No,N/A,N/A,$0
5,CLEARFIELD MUNICIPAL AUTHORITY - MONTGOMERY RUN WATER TREATMENT FACILITY UPGRADES,IV,61,107 EAST MARKET STREET,CLEARFIELD,CLEARFIELD,6170008,5,APPLICATION PENDING,"$25,900,000",,TREAT,"The project will construct a new treatment building which will house the membrane filtration system and associated equipment, as well as a new below grade baffled concrete Clearwell with new high service pumps. Several pieces of process equipment, chemical feed systems, pumps, valves, instrumentation, SCADA, and electrical equipment will also be replaced.",The Montgomery Run Water Treatment Facility is currently under a CO&A with the department and was constructed in 1990. Specific equipment no longer meets DEP regulations and is no longer reliable to produce drinking water to its customers. This project is step one in allowing CMA to move forward to rehabilitate the reservoir.,"14,000",84,No,N/A,N/A,$0
6,2025 NORTHAMPTON BUCKS COUNTY MUNICIPAL AUTHORITY - CHURCHVILLE PUBLIC WATER PROJECT,I,58,111 TOWNSHIP ROAD,RICHBORO,BUCKS,1090089,6,APPLICATION PENDING,"$19,919,605",,"DS, PFAS, TREAT??","The scope of work currently proposed includes extension of the Northampton Bucks County Municipal Authority public water system to residences without water main access in the Churchville Manor and Hillside Manor subdivisions of Northampton Township, in addition to the connections to homes in the Churchville area that currently have water main access (for a total of 334 connections). The proposed work includes the construction of 8-inch water main, water service connections, fire hydrant and flushing station installations, and trench restoration. Project also includes treatment upgrades to all the NBCMA public wells that supply the PWS.","The Northampton, Bucks County Municipal Authority (NBCMA), is planning the connection of numerous parcels identified by NBCMA and Northampton Township to the public water system (PWS), in addition to treatment upgrades to all the NBCMA public wells that supply the PWS. NBCMA is currently participating in an Environmental Services Cooperative Agreement (ESCA) with the United States (US) Department of the Navy related to past activities which occurred at the former Naval Air Warfare Center (NAWC) Warminster facility neighboring Northampton Township to address groundwater contamination issues resulting from perfluorooctanesulfonic acid (PFOS) and perfluorooctanoic acid (PFOA). As per current ESCA modification No. 000004 “it is anticipated that future connections to the PWS will be required in addition to the construction/installation of new treatment systems to the public well number 7.” NBCMA is committed to fulfilling the ESCA with the Navy. NBCMA also will be required to install additional treatment systems to each of its public wells that supply the PWS as the new EPA MCLs of per- and polyfluoroalkyl substances (PFAS) will be enforced in approximately five years. In addition to recurring exceedances of the proposed EPA PFAS MCLs, there have been exceedances of the Pennsylvania PFAS MCLs at Wells 2 and 4 in 2024. Furthermore, inquiries from residents about public water connection and access has spiked in recent times as residents have become more aware about the potential contamination issues.","36,750",63,No,N/A,N/A,$0
7,PITTSBURGH WSA - 2023 SMALL DIAMETER WATER MAIN REPLACEMENT (NON-LEAD),V,53,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,7,DWSRF,"$62,672,221",10/16/2024,DS,"This project will replace an estimated 52,880 feet of 8-inch and 12-inch water lines thus replacing older and undersized mains. 2023 Small Diameter Water Main Replacement – Contract A1, 2023 Small Diameter Water Main Replacement – Contract B1, and 2023 Small Diameter Water Main Replacement – Contract B2 include the replacement of aging 8” to 12” diameter pipes with new zinc coated ductile iron pipe ranging from 8” to 12”. This work includes the replacement of water mains, valves, fire hydrants, and water service lines. Water mains were selected for replacement based on a number of risk-factors, including the prioritization of undersized mains, and mains with a history of break.","Due to the advanced age of the pipes, replacement of these mains will reduce the frequency of water main breaks, which will minimize the risk to public health caused by the resulting potential exposure to infectious diseases and will reduce the impact of unplanned water outages and street closures required due to emergency repairs. The replacement of older, leak prone mains will also provide for more efficient management of water resources by reducing the amount of treated water that is lost from the system. Furthermore, the additional volume of water that will be able to be delivered to areas with inadequate flow will reduce restrictions on development within the affected areas.","520,000",84,Yes,Water Efficiency,N/A,"$68,646,695"
8,AQUA PENNSYLVANIA - WATER MAIN REPLACEMENTS (2024-2027) (PROFI),I,45,762 LANCASTER AVE.,BRYN MAWR,CHESTER,1460073,8,DWSRF,"$77,500,000",7/17/2024,DS,"The Proposed work includes twenty-one (21) water main replacement projects for planned construction in years 2024 through 2027. Construction for the first phase of projects is planned to commence in spring of 2025; identification of the individual projects that will be included in the first phase is dependent on the receipt of any relevant approvals and other requirements. As identified above, the water main replacements will take place throughout fourteen (14) municipalities and four (4) counties in the southeastern region of Pennsylvania. The total estimated linear footage of water main replacement is nearly 133,400 lineal feet with pipes ranging from 8 to 20 inches in diameter.","Aqua is initiating several capital improvements collectively titled Aqua PA Water Main Replacements (2024-2027) to be located in multiple streets within the municipalities of Bensalem Township, Hatboro Borough, Lower Southampton Township, and Warminster Township, Bucks County; Tredyffrin Township, Uwchlan Township, and West Bradford Township, Chester County; Aldan Borough, Haverford Township, Marple Township, Nether Providence Township, Springfield Township, and Upper Darby Township, Delaware County; and, Collegeville Borough, Lower Merion Township, and Perkiomen Township, Montgomery County. The new water mains will be installed within existing roadway, public right-of-way, and previously disturbed and maintained areas. These projects will construct new water mains to replace existing water mains that are at the end of useful life, history of leaks, and/or in poor condition.","747,460",60,No,N/A,N/A,$0
9,M. A OF THE CITY OF NEW KENSINGTON - 2024 WATERLINE REPLACEMENTS/WTP FILTER MEDIA REPLA,V,43,"P O BOX 577, 920 BARNES STREET",NEW KENSINGTON,WESTMORELAND,5650070,9,DWSRF,"$3,856,741",10/16/2024,"DS, TREAT","The project includes replacement of approximately 5,400 linear feet of 8-inch diameter waterline, and 200 linear feet of 2-inch diameter waterline and appurtenances to residents in the City of New Kensington. The proposed funds would be used to replace the waterlines and appurtenances to residents in the City of New Kensington. In addition, new media for the treatment plant will restore the filters removal efficiency and allow for “return to normal” production levels.","The waterlines located on 7th Street are old and deteriorated. These areas have experienced numerous breaks which resulted in periodic service shutdowns and costly, emergency repairs. The water loss during these events is stretching the operating budgets to their limits. As a result of the breaks/leaks, the residents are also subjected to poor roadway conditions due to multiple patches/ditches. The waterlines located on Beamer Avenue, Lincoln Avenue, Dugan Way, Wills Road and Fairmont Street are old and deteriorated. These areas have experienced numerous breaks which resulted in periodic service shutdowns and costly, emergency repairs. The water loss during these events is stretching the operating budgets to their limits. As a result of the breaks/leaks, the residents are also subjected to poor roadway conditions due to multiple patches/ditches. The existing filter media in the treatment plant has degraded over time. Recent media analysis has shown that it is still filtering, the containment reduction is not as efficient as it can be. This results in reduced output and extra backwashing.","47,800",58,Yes,Water Efficiency,N/A,"$3,185,116"
10,AQUA PENNSYLVANIA INC. - HIGHLAND GLEN WELL PFAS PROJECT PWSID 1460073,I,41,762 LANCASTER AVE.,BRYN MAWR,CHESTER,1460073,10,APPLICATION PENDING,"$2,250,000",,"TREAT, PFAS","Samples of water collected at the treatment facility for Highland Glen Well in Aqua PA's Main system have shown detections of PFOA and PFOS. The proposed PFAS treatment project includes replacement of the well pump and installation of one train of anion exchange treatment vessels with pre-filtration, with heat tracing and insulation for piping and a heated enclosure for the treatment vessel valve tree, to be located separate and adjacent to the existing well facility.",Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. Aqua PA has been monitoring perfluoroalkyl substances (PFAS) in its water supply. Samples of water collected at entry points in the Aqua PA Main system (PWSID 1460073) have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate detections of PFOA and PFOS in these systems.,"747,460",46,No,N/A,N/A,$0
