Priority Score,Financial Need Points,Project Points,Municipality,Project Number,Project Description,Region,Project manager,CME,Population,"MHI (<$49,397)",% of Market Rate,Requested Project Costs,Estimated Loan Amount,Total PF Points,Eligible PF %,PF Estimate
,,,,,,,,,,"WI MHI =    $61,747  ",,,,,,"Total PF $ Available = $20,878,410"
185,15,170,"MAYVILLE, CITY OF",5443-10,Replace Public-Side LSLs,SC,Surillo,Zettl,"5,112","46,889",33%,"$522,996 ","$392,247 ",100,25%,"$130,749 "
156.5,13.5,143,"TWO RIVERS, CITY OF1",4920-48,"Replace WM & LSLs on Roosevelt,Wilson,17th,26th,35th,Jackson,Lincoln",NE,Aerts,Hannes,"11,411","47,228",55%,"$2,056,759 ","$1,645,407 ",90,20%,"$411,352 "
152.25,11.25,141,"WINNECONNE, VILLAGE OF",4939-04,"Treatment at Well 2, Upgrade Pumping Facilities",NE,Balgooyen,Hannes,"2,502","64,606",55%,"$3,238,805 ","$2,752,984 ",75,15%,"$485,821 "
144.25,11.25,133,"WINNECONNE, VILLAGE OF",4939-03,"Treatment at Well 1, Upgrade Pumping Facilities",NE,Balgooyen,Hannes,"2,502","64,606",55%,"$3,238,805 ","$2,752,984 ",75,15%,"$485,821 "
138.5,13.5,125,"TWO RIVERS, CITY OF1",4920-42,Replace Public LSLs (2023),NE,Aerts,Hannes,"11,411","47,228",55%,"$359,750 ","$287,800 ",90,20%,"$71,950 "
108.75,42.75,66,"BRUCE, VILLAGE OF",5545-04,Replace WM on River Ave,NO,Olson,Andruczk,756,"39,250",33%,"$583,966 ","$204,388 ",285,65%,"$379,578 "
108.75,30.75,78,"MILWAUKEE, CITY OF1,2",4851-41,"Replace WMs, Multiple Locations",SE,Atkinson,Binder,"587,976","41,838",55%,"$5,232,950 ","$3,732,950 ",205,60%,"$1,500,000 "
102.75,3.75,99,"KAUKAUNA, CITY OF1",5120-09,"Replace WMs on 6th,7th,8th,Whitney,Sullivan,Hendricks,Island",NE,Cassidy,Hannes,"16,634","62,822",55%,"$2,430,747 ","$2,430,747 ",25,0%,$
95,33,62,"LADYSMITH, CITY OF",5369-18,Construct STH27 WM Loop w/ River Crossing,NO,Olson,Andruczk,"3,322","39,888",33%,"$644,576 ","$257,830 ",220,60%,"$386,746 "
92.75,42.75,50,"BRUCE, VILLAGE OF",5545-03,Construct WTP for Wells #1 and 3 Mn,NO,Olson,Andruczk,756,"39,250",33%,"$802,590 ","$280,906 ",285,65%,"$521,684 "
90.25,32.25,58,"MUSCODA, VILLAGE OF",5159-05,New elevated tank to replace existing tank,SC,Calhoon,Zettl,"1,238","41,689",33%,"$1,068,516 ","$427,406 ",215,60%,"$641,110 "
83.5,22.5,61,"ARENA, VILLAGE OF",4757-02,"Construct Well/House #2, Distr,Sewer,Bkup Power, Land,SCADA",SC,Surillo,Zettl,839,"55,104",55%,"$1,985,519 ","$1,191,311 ",150,40%,"$794,208 "
79,15,64,"MAYVILLE, CITY OF",5443-09,Replace Existing Water Treatment System/SCADA,SC,Surillo,Zettl,"5,112","46,889",33%,"$2,856,890 ","$2,142,667 ",100,25%,"$714,223 "
77,15,62,"MERRIMAC, VILLAGE OF",4849-02,Rehab Well #1,SC,Aerts,Zettl,431,"94,375",55%,"$426,300 ","$298,410 ",110,30%,"$127,890 "
73,18,55,"SPENCER, VILLAGE OF2",5436-07,Construct New Well/Treatment/SCADA,WC,Cargill,Andruczk,"1,932","54,063",55%,"$5,006,850 ","$3,506,850 ",120,30%,"$1,500,000 "
72.5,10.5,62,"DENMARK, VILLAGE OF",5550-05,Connect to CBCWA for water supply,NE,Bushby,Hannes,"2,322","65,759",55%,"$1,471,727 ","$1,250,967 ",70,15%,"$220,760 "
71.5,10.5,61,"ALTOONA, CITY OF",5209-05,"Construct well #8, wellhouse, emergency power & connect main",WC,Leja-Brennan,Cameron,"8,651","55,571",55%,"$1,823,503 ","$1,549,977 ",70,15%,"$273,526 "
71.5,22.5,49,"THORP, CITY OF",4922-15,Replace WMs on School and Church Streets,WC,Brietzman,Cameron,"1,581","45,385",33%,"$909,109 ","$545,465 ",150,40%,"$363,644 "
70.75,33.75,37,"WAUZEKA, VILLAGE OF",4932-02,Replace WM on Main from Dousman to Timber,WC,Leizinger,Zettl,692,"47,679",33%,"$1,204,500 ","$481,800 ",225,60%,"$722,700 "
69.5,22.5,47,"RHINELANDER, CITY OF",5288-17,"Replace WMs along Oneida, King, Conro, and Anderson",NO,Leizinger,Andruczk,"7,832","40,822",33%,"$3,336,969 ","$2,002,181 ",150,40%,"$1,334,788 "
