RANK,SYSTEM,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
1,Ellsworth,Other - Reduce Nitrate Connect to LPSRW,1530005-2,40.0,497,"$7,517,000.00"
2,Westbrook,Treatment - New RO Plant for Nitrite,1170005-2,30.0,900,"$6,890,100.00"
3,Clitherall,New System - NO3 Connect to Battle Lake,1560033-2,30.0,25,"$9,634,500.00"
4,Hayward,Treatment - Radium Treatment & New Well,1240012-1,30.0,227,"$3,881,000.00"
5,Danube,Treatment - New Ra/Fe/Mn Plant,1650004-2,30.0,493,"$4,787,000.00"
6,Rush City,Treatment - Plant Upgrade,1130013-7,30.0,"3,175","$287,503.00"
7,Lake Lillian,Treatment - WTP Improvements Remove As,1340004-3,30.0,258,"$6,420,000.00"
8,Lexington,Treatment - Radium TP & Booster Station,1020032-2,30.0,"2,071","$5,000,000.00"
9,Elysian,Treatment - Radium Treatment with RO,1400003-2,30.0,703,"$7,601,100.00"
10,Tower,Treatment - Plant Improvements,1690051-2,25.0,500,"$5,600,000.00"
11,Avoca,Other - Manganese Connect to Red Rock,1510001-1,23.0,142,"$503,200.00"
12,Rose Creek,Source - New Well,1500014-1,23.0,454,"$2,370,000.00"
13,Rich Prairie Sewer and Water District,Other - LSL Replacement,1490004-6,20.0,"1,500","$496,700.00"
14,Clinton,Treatment - Manganese Plant,1060003-2,20.0,450,"$1,690,000.00"
15,Aurora,Other - LSL Replacement (W 3rd Ave/Main),1690002-10,20.0,"1,709","$300,000.00"
16,Aurora,Other - LSL Replacement (W 1st Ave N),1690002-8,20.0,"1,709","$396,000.00"
17,Pine River,Treatment - Manganese New Plant,1110019-6,20.0,960,"$3,297,000.00"
18,Belview,Treatment - Manganese Plant,1640001-2,20.0,360,"$3,017,000.00"
19,Crosby,Other - LSL Replacement,1180008-12,20.0,"2,677","$250,000.00"
20,Marble,Other - LSL Replacement,1310023-5,20.0,550,"$991,875.00"
21,Palisade,Treatment - Manganese New Plant,1010013-2,20.0,165,"$2,000,000.00"
22,Clearbrook,Treatment - Manganese Plant & Well,1150003-3,20.0,671,"$4,080,998.00"
23,Sebeka,Other - LSL Replacement,1800002-15,20.0,777,"$49,800.00"
24,Hill City,Treatment - Manganese Treatment Plant,1010011-2,20.0,569,"$6,500,000.00"
25,Staples,Other - LSL Replacement (2024 Phase),1770011-10,20.0,"1,859","$283,500.00"
26,Staples,Other - LSL Replacement (4th St. NE),1770011-11,20.0,"1,859","$126,000.00"
27,Browns Valley,Treatment - Manganese Treatment Plant,1780001-3,20.0,595,"$3,622,610.00"
28,Kiester,Other - LSL Replacement,1220008-6,20.0,589,"$203,000.00"
29,Henning,Other - LSL Replacement,1560016-10,20.0,806,"$3,325,000.00"
30,Walker,Other - LSL Replacement,1110013-9,20.0,890,"$33,000.00"
31,Little Falls,Other - LSL Replacement-4th Street,1490002-10,20.0,"9,049","$472,500.00"
32,Little Falls,Other - LSL Replacement-1st Street,1490002-11,20.0,"9,049","$252,000.00"
33,Riverton,Treatment - Wellhouse & Treatment Expans,1180025-6,20.0,152,"$729,000.00"
34,Princeton,Other - LSL Replacement,1480008-8,20.0,"4,753","$600,000.00"
35,Ely,Other - LSL Replacement,1690014-6,20.0,"3,280","$358,000.00"
36,Madison,Other - LSL Replacement,1370004-7,20.0,"1,483","$72,150.00"
37,Chisholm,Other - LSL Replacement,1690007-4,20.0,"4,784","$300,000.00"
38,Browerville,Other - LSL Replacement,1770002-8,20.0,920,"$275,000.00"
39,Morgan,Treatment - Manganese Plant,1640006-3,20.0,896,"$4,775,000.00"
40,Wells,Other - LSL Replacement,1220010-5,20.0,"2,283","$50,000.00"
41,Glenville,Treatment - Gross Alpha TP & Wells,1240010-1,20.0,670,"$5,300,000.00"
42,Pipestone,Other - LSL Replacement Main St. Area,1590005-13,20.0,"4,185","$62,500.00"
43,Granada,Treatment - Manganese & Radium Plant,1460004-1,20.0,247,"$6,885,000.00"
44,Granada,Other - LSL Replacement,1460004-3,20.0,247,"$55,000.00"
45,Red Lake Falls,Other - LSL Replacement,1630003-5,20.0,"1,372","$1,190,696.00"
46,Hibbing,Other - LSL Replacement Phase 2,1690022-13,20.0,"16,224","$1,512,000.00"
47,Hibbing,Other - LSL Replacement  Phase 1,1690022-9,20.0,"16,224","$500,000.00"
48,Winsted,Treatment - Manganese Plant,1430010-5,20.0,"2,296","$8,000,000.00"
49,Albert Lea,Other - LSL Replacement,1240001-4,20.0,"18,433","$1,500,000.00"
50,Lewisville,Other - LSL Replacement,1830003-8,20.0,333,"$65,250.00"
51,International Falls,Other - LSL Replacement,1360002-4,20.0,"5,859","$970,000.00"
52,Winnebago,Other - LSL Replacement - Cleveland Ave.,1220011-7,20.0,"1,253","$23,250.00"
53,Sauk Rapids,Other - LSL Repl Along Division St.,1050004-5,20.0,"13,926","$354,062.00"
54,Willmar,Other - LSL Replacement,1340016-2,20.0,"20,823","$400,700.00"
55,Two Harbors,Other - LSL Replacement,1380005-10,20.0,"3,616","$400,000.00"
56,Saint Cloud,Other - LSL Repl (Pantown Neighborhood),1730027-27,20.0,"54,937","$1,183,000.00"
57,Royalton,Other - LSL Replacement,1490006-8,20.0,"1,236","$300,000.00"
58,Atwater,Treatment - Manganese Treatment & Well,1340001-9,20.0,"1,141","$7,303,000.00"
59,Wabasso,Treatment - Manganese Plant & Well,1640013-3,20.0,671,"$1,965,000.00"
60,Belview,Other - LSL Replacement,1640001-7,20.0,337,"$229,500.00"
61,Russell,Other - LSL Replacement Phase 1,1420008-6,20.0,312,"$69,000.00"
62,Russell,Other - LSL Replacement Phase 2,1420008-7,20.0,312,"$84,000.00"
63,Lamberton,Other - LSL Replacement,1640003-14,20.0,847,"$613,600.00"
64,Winsted,Other - LSL Replacement,1430010-9,20.0,"1,912","$44,000.00"
65,Wabasha,Other - LSL Replacement,1790013-6,20.0,"2,477","$69,750.00"
66,Red Wing,Other - LSL Replacement,1250013-14,20.0,"16,366","$4,471,000.00"
67,Raymond,Other - LSL Replacement,1340008-5,20.0,722,"$500,000.00"
68,Delavan,Treatment - Manganese Plant Rehab,1220003-1,20.0,206,"$1,504,010.00"
69,Atwater,Other - LSL Replacement,1340001-11,20.0,"1,136","$232,400.00"
70,Duluth,Other - LSL Repl Phase 5,1690011-17,20.0,"86,711","$2,500,000.00"
71,Duluth,Other - LSL Repl Phase 6,1690011-18,20.0,"86,711","$2,500,000.00"
72,Duluth,Other - LSL Repl Phase 7,1690011-19,20.0,"86,711","$2,500,000.00"
73,Duluth,Other - LSL Repl Phase 8,1690011-20,20.0,"86,711","$2,500,000.00"
74,Avoca,Treatment - Manganese TP & Well Pump,1510001-2,20.0,142,"$210,435.00"
