System Name,"MDH2024PPLRank","MDH2024PPLPoints",Project Description,"ProjectNumber",Population,"Est.ConstStart","EstimatedProject Cost","EstimatedDWRF Loan","EstimatedDWRFEmergingContaminantPF GrantNOT FINAL(1)","EstimatedDWRFDisadvantgdCommunityPrincipalForgivenessNOT FINAL(2)","EstimatedWIF GrantNOT FINAL(3)","State orFederalAppropriation",Other Funds,IUP Status
McKinley,301,10,Storage - Tower Improvements,1690033-2,96,Jun-24,"438,562",-,-,-,,-,-,Refer to RD
Jeffers,322,10,Storage - Tower Rehab,1170002-1,342,Jun-24,"666,000",-,-,-,,-,-,Refer to RD
McKinley,388,10,Watermain - Grand Ave. Improvements,1690033-3,131,Jun-24,"2,143,952",-,-,-,,-,-,Refer to RD
Hayward,391,10,Watermain - Replacement,1240012-2,227,,"2,554,000",-,-,-,,-,-,Refer to RD
Lewisville,455,10,Watermain - Replace Cast Iron WMs,1830003-6,333,May-24,"5,009,000",-,-,-,,-,-,Refer to RD
Lewisville,456,10,Storage - Replace Tower,1830003-7,333,May-24,"1,015,000",-,-,-,,-,-,Refer to RD
Bellingham,457,10,Storage - Replace Tower,1370001-2,168,Jun-24,"1,500,000",-,-,-,,-,-,Refer to RD
Bellingham,458,10,Watermain - Repl CIP,1370001-3,168,Jun-24,"500,000",-,-,-,,-,-,Refer to RD
Bellingham,459,10,Conservation - Install Meters,1370001-4,168,Jun-24,"400,000",-,-,-,,-,-,Refer to RD
Sacred Heart,476,10,Treatment - RO to Address Chlorides,1650013-3,555,Nov-23,"8,617,000",-,-,-,,-,"6,893,600",Refer to RD
Sacred Heart,477,10,Storage - Tower Rehab,1650013-5,555,Nov-23,"1,298,000",-,-,-,,-,"600,000",Refer to RD
Minnesota Lake,483,10,Storage - Replacement Tank,1220013-2,562,Jul-24,"1,500,000",-,-,-,,-,-,Refer to RD
Le Sueur,544,10,Other - SCADA upgrade,1400010-11,"4,174",Jan-25,"1,500,000",-,-,-,,-,-,2025 project
Altura,568,10,Source - Rehab Well Houses,1850018-1,451,May-24,"1,099,000",-,-,-,,-,-,Refer to RD
Altura,569,10,Watermain - Replacement,1850018-2,451,May-24,"3,691,000",-,-,-,,-,-,Refer to RD
Lincoln-Pipestone Rural Wa,586,10,Treatment - Holland WTP biotta addition,1410007-5,"13,644",May-24,"8,511,000",-,-,-,,"4,000,000",-,Refer to RD
Bowlus,602,10,Storage - Water Tower Rehab,1490009-4,273,May-24,"673,000",-,-,-,,-,-,Refer to RD
Bloomington,629,10,Treatment - Sam H Hobbs Plant Improvmn,1270001-3,"89,436",May-25,"8,300,000",-,-,-,,-,-,2025 project
Alpha,699,7,Treatment - Plant & Well Rehab,1320001-1,162,Jun-24,"2,074,950",-,-,-,,-,-,Refer to RD
Foley,707,6,"Storage - New 200,000 Gal Tower",1050001-5,"2,712",Jun-24,"1,749,100",-,-,-,,-,-,Below fundable
Red Rock Rural Water Syst,744,5,Watermain - Imprmnts & Repl Gr Storage,1170009-3,"5,840",May-24,"2,625,000",-,-,-,,-,-,Below fundable
Barnesville,759,5,Watermain - Replacement - Phase 1,1140001-4,"2,600",May-24,"3,500,000",-,-,-,,-,-,Below fundable
Foley,788,5,Storage - Tower Rehab,1050001-6,"2,712",Jun-26,"407,000",-,-,-,,-,-,Below fundable
Lowry,798,5,Other - Meter Replacement,1610007-9,345,Jun-24,"220,800",-,-,-,,-,-,Below fundable
Utica,800,5,Watermain - Reconstruct Distribution Sys,1850011-3,276,May-24,"2,830,000",-,-,-,,-,-,Below fundable
Cottonwood,803,5,Watermain - Phase 1 Improvements,1420002-1,"1,160",May-24,"1,586,570",-,-,-,,-,-,Below fundable
Lewiston,808,5,Storage - Replacement Tower,1850006-12,"1,828",Jun-22,"1,950,000",-,-,-,,-,-,Below fundable
Lewiston,811,5,Watermain - Watermain Reconstruction,1850006-9,"1,828",,"255,000",-,-,-,,-,-,Below fundable
Alpha,834,5,Watermain - Replacement,1320001-2,162,Jun-24,"1,381,392",-,-,-,,-,-,Below fundable
Golden Valley,836,5,Watermain - Winnetka Ave. Rehab Project,1270014-1,"22,247",Jun-24,"5,000,000",-,-,-,,-,-,Below fundable
Orono,845,5,Treatment - New North System WTP,1270041-1,"8,252",Jul-24,"11,200,000",-,-,-,,-,-,Below fundable
