System Name,MDH 2024 PL Rank,MDH 2024 PPL Points,Project Description,Project Number,Population,Est. Const Start,Estimated total project Cost,Estimated project cost PUBLIC,Estimated project cost PRIVATE,Estimated DWRF LSL PF Grant,Estimated DWRF LSL Loan,Estimated State LSL Grant,IUP Status
PART A - FUNDABLE:  Carryover Projects From Prior IUPs - Lead Service Lines,,,,,,,,,,,,,
Princeton,34,20,Other - LSL Replacement,1480008-8,"4,753",May-24,"600,000",-,"600,000","600,000",-,-,23 Carryover
Sauk Rapids,54,20,Other - LSL Repl Along Division St.,1050004-5,"13,926",Sep-23,"177,031",-,"177,031","177,031",-,-,23 Carryover
Saint Paul Reg Water Servic,76,20,Other - LSL Replacement Phase 3,1620026-25,"305,877",Oct-23,"15,000,000","5,000,000","10,000,000","10,000,000","2,500,000","2,500,000",23 Carryover
Saint Cloud,440,10,Other - LSL Replacement Wilson Ave,1730027-10,"40,112",May-24,"364,000",-,"364,000","364,000",-,-,23 Carryover
Saint Cloud,441,10,Other - LSL Replacement Germain St,1730027-12,"40,112",May-24,"56,000",-,"56,000","56,000",-,-,23 Carryover
Sauk Rapids,465,10,Other - LSL Replacement - Private,1050004-3,"13,083",Apr-22,"142,395",-,"142,395","142,395",-,-,22 Carryover
Duluth,488,10,Other - LSL Repl - Phase  1,1690011-12,"85,915",Apr-24,"2,500,000","1,250,000","1,250,000","1,250,000","625,000","625,000",23 Carryover
Duluth,489,10,Other - LSL Repl - Phase 2,1690011-14,"85,852",Apr-24,"2,500,000","1,250,000","1,250,000","1,250,000","625,000","625,000",23 Carryover
Duluth,490,10,Other - LSL Repl - Phase 3,1690011-15,"85,852",Apr-24,"2,500,000","1,250,000","1,250,000","1,250,000","625,000","625,000",23 Carryover
Duluth,491,10,Other - LSL Repl - Phase 4,1690011-16,"85,852",Apr-24,"2,500,000","1,250,000","1,250,000","1,250,000","625,000","625,000",23 Carryover
PART B - FUNDABLE:  New Project Requests - Lead Service Lines,,,,,,,,,,,,,
Rich Prairie Sewer and Wat,13,20,Other - LSL Replacement,1490004-6,"1,500",May-24,"496,700","167,700","329,000","329,000","83,850","83,850",Part B
Aurora,15,20,Other - LSL Replacement (W 3rd Ave/Main 1690002-10,,"1,709",Jun-24,"300,000","120,000","180,000","180,000","60,000","60,000",Part B
Aurora,16,20,Other - LSL Replacement (W 1st Ave N),1690002-8,"1,709",Jun-24,"396,000","158,400","237,600","237,600","79,200","79,200",Part B
Crosby,19,20,Other - LSL Replacement,1180008-12,"2,749",May-24,"250,000","50,000","200,000","200,000","25,000","25,000",Part B
Marble,20,20,Other - LSL Replacement,1310023-5,550,May-24,"991,875","396,750","595,125","595,125","198,375","198,375",Part B
Staples,25,20,Other - LSL Replacement (2024 Phase),1770011-10,"1,859",May-24,"283,500","105,750","177,750","177,750","52,875","52,875",Part B
Kiester,28,20,Other - LSL Replacement,1220008-6,589,Mar-24,"203,000","101,500","101,500","101,500","50,750","50,750",Part B
Little Falls,31,20,Other - LSL Replacement-4th Street,1490002-10,"9,049",May-24,"472,500","176,250","296,250","296,250","88,125","88,125",Part B
Madison,36,20,Other - LSL Replacement,1370004-7,"1,483",Jul-24,"144,300","72,150","72,150","72,150","36,075","36,075",Part B
